t,AE
0,-0.00114944458007812
1e-07,-0.00119354248046875
2e-07,-0.00125930786132813
3e-07,-0.00115432739257813
4e-07,-0.00111160278320312
5e-07,-0.00114593505859375
6e-07,-0.00114105224609375
7e-07,-0.00110137939453125
8e-07,-0.00117660522460937
9e-07,-0.00122695922851562
1e-06,-0.00121017456054688
1.1e-06,-0.001241455078125
1.2e-06,-0.00127731323242187
1.3e-06,-0.00125274658203125
1.4e-06,-0.00123382568359375
1.5e-06,-0.001220703125
1.6e-06,-0.00118209838867187
1.7e-06,-0.00118438720703125
1.8e-06,-0.0011572265625
1.9e-06,-0.00116775512695313
2e-06,-0.00118682861328125
2.1e-06,-0.00120040893554688
2.2e-06,-0.00122528076171875
2.3e-06,-0.00122467041015625
2.4e-06,-0.00118240356445312
2.5e-06,-0.00112152099609375
2.6e-06,-0.00106979370117187
2.7e-06,-0.00101058959960938
2.8e-06,-0.00103347778320313
2.9e-06,-0.001025390625
3e-06,-0.001063232421875
3.1e-06,-0.00102981567382812
3.2e-06,-0.00100341796875
3.3e-06,-0.000949554443359375
3.4e-06,-0.000901641845703125
3.5e-06,-0.00087493896484375
3.6e-06,-0.000884552001953125
3.7e-06,-0.0008624267578125
3.8e-06,-0.000843658447265625
3.9e-06,-0.000890960693359375
4e-06,-0.000889129638671875
4.1e-06,-0.000988616943359375
4.2e-06,-0.0009930419921875
4.3e-06,-0.000965118408203125
4.4e-06,-0.000929107666015625
4.5e-06,-0.000935516357421875
4.6e-06,-0.000930328369140625
4.7e-06,-0.0009600830078125
4.8e-06,-0.000972442626953125
4.9e-06,-0.0010205078125
5e-06,-0.0010064697265625
5.1e-06,-0.0010589599609375
5.2e-06,-0.00103530883789062
5.3e-06,-0.00105972290039063
5.4e-06,-0.00100173950195313
5.5e-06,-0.00098388671875
5.6e-06,-0.0009893798828125
5.7e-06,-0.00105392456054687
5.8e-06,-0.0010748291015625
5.9e-06,-0.00109786987304688
6e-06,-0.00110443115234375
6.1e-06,-0.00113479614257813
6.2e-06,-0.00112716674804688
6.3e-06,-0.00115005493164063
6.4e-06,-0.00116195678710938
6.5e-06,-0.0011407470703125
