t,AE
0,-0.00123825073242188
1e-07,-0.00133392333984375
2e-07,-0.00127426147460938
3e-07,-0.00157867431640625
4e-07,-0.00177993774414063
5e-07,-0.00178421020507813
6e-07,-0.0019464111328125
7e-07,-0.00196243286132813
8e-07,-0.00175796508789062
9e-07,-0.00169052124023438
1e-06,-0.00173004150390625
1.1e-06,-0.00168365478515625
1.2e-06,-0.00171035766601563
1.3e-06,-0.00164474487304688
1.4e-06,-0.00155624389648437
1.5e-06,-0.00159774780273437
1.6e-06,-0.00172561645507813
1.7e-06,-0.00181442260742187
1.8e-06,-0.00182510375976562
1.9e-06,-0.0018914794921875
2e-06,-0.00186447143554687
2.1e-06,-0.00178878784179688
2.2e-06,-0.00188812255859375
2.3e-06,-0.00196136474609375
2.4e-06,-0.00193618774414063
2.5e-06,-0.001881103515625
2.6e-06,-0.00181182861328125
2.7e-06,-0.00176788330078125
2.8e-06,-0.00166793823242188
2.9e-06,-0.00168594360351562
3e-06,-0.0017059326171875
3.1e-06,-0.00159576416015625
3.2e-06,-0.00159713745117188
3.3e-06,-0.00164535522460937
3.4e-06,-0.001646728515625
3.5e-06,-0.00161956787109375
3.6e-06,-0.0016510009765625
3.7e-06,-0.00167892456054688
3.8e-06,-0.0016619873046875
3.9e-06,-0.001622314453125
4e-06,-0.00163314819335938
4.1e-06,-0.00165283203125
4.2e-06,-0.00171478271484375
4.3e-06,-0.00168487548828125
4.4e-06,-0.00167388916015625
4.5e-06,-0.0016943359375
4.6e-06,-0.0016461181640625
4.7e-06,-0.00160903930664063
4.8e-06,-0.00180938720703125
4.9e-06,-0.00187530517578125
5e-06,-0.00176528930664062
5.1e-06,-0.00175506591796875
5.2e-06,-0.00172866821289063
5.3e-06,-0.00179672241210938
5.4e-06,-0.00186752319335938
5.5e-06,-0.00193618774414063
5.6e-06,-0.002021484375
5.7e-06,-0.00192794799804687
5.8e-06,-0.00183563232421875
5.9e-06,-0.00186874389648437
6e-06,-0.0018731689453125
6.1e-06,-0.00184982299804688
6.2e-06,-0.00195022583007813
6.3e-06,-0.00197845458984375
6.4e-06,-0.0018804931640625
6.5e-06,-0.00171798706054688
6.6e-06,-0.00165863037109375
6.7e-06,-0.00176467895507813
6.8e-06,-0.00180862426757813
6.9e-06,-0.00183807373046875
7e-06,-0.001783447265625
7.1e-06,-0.00178298950195312
7.2e-06,-0.00170257568359375
7.3e-06,-0.00165512084960937
7.4e-06,-0.00168319702148438
7.5e-06,-0.00170333862304687
7.6e-06,-0.00166671752929688
7.7e-06,-0.0016485595703125
7.8e-06,-0.00159622192382812
7.9e-06,-0.00147415161132812
8e-06,-0.0013800048828125
8.1e-06,-0.00138702392578125
8.2e-06,-0.00143203735351562
8.3e-06,-0.00145095825195313
8.4e-06,-0.00146530151367188
8.5e-06,-0.00143081665039062
8.6e-06,-0.00127304077148438
8.7e-06,-0.00126968383789062
8.8e-06,-0.00134902954101562
8.9e-06,-0.00134994506835937
9e-06,-0.00142242431640625
9.1e-06,-0.00145370483398437
9.2e-06,-0.00134765625
9.3e-06,-0.00137725830078125
9.4e-06,-0.00137619018554687
9.5e-06,-0.00132125854492188
9.6e-06,-0.00126434326171875
9.7e-06,-0.00131317138671875
9.8e-06,-0.00135986328125
9.9e-06,-0.0013555908203125
1e-05,-0.00135223388671875
1.01e-05,-0.00137237548828125
1.02e-05,-0.0012420654296875
1.03e-05,-0.00120773315429688
1.04e-05,-0.0013348388671875
1.05e-05,-0.00133804321289062
1.06e-05,-0.00139007568359375
1.07e-05,-0.00141387939453125
1.08e-05,-0.001343994140625
1.09e-05,-0.00128036499023437
1.1e-05,-0.00127639770507813
1.11e-05,-0.00135833740234375
1.12e-05,-0.00122467041015625
1.13e-05,-7.568359375e-05
1.14e-05,0.00485931396484375
1.15e-05,0.0186903381347656
1.16e-05,0.0478663635253906
1.17e-05,0.0986239624023438
1.18e-05,0.173686676025391
1.19e-05,0.269381256103516
1.2e-05,0.374969940185547
1.21e-05,0.475459289550781
1.22e-05,0.554271240234375
1.23e-05,0.597370300292969
1.24e-05,0.594631042480469
1.25e-05,0.540223846435547
1.26e-05,0.431849365234375
1.27e-05,0.27069091796875
1.28e-05,0.0642655944824219
1.29e-05,-0.174237060546875
1.3e-05,-0.424911804199219
1.31e-05,-0.663048553466797
1.32e-05,-0.867441711425781
1.33e-05,-1.02206985473633
1.34e-05,-1.11585662841797
1.35e-05,-1.14290588378906
1.36e-05,-1.10269195556641
1.37e-05,-0.999489593505859
1.38e-05,-0.842351684570313
1.39e-05,-0.641833953857422
1.4e-05,-0.409744415283203
1.41e-05,-0.160668640136719
1.42e-05,0.0887236022949219
1.43e-05,0.319581909179687
1.44e-05,0.510169982910156
1.45e-05,0.645379638671875
1.46e-05,0.7192041015625
1.47e-05,0.734423675537109
1.48e-05,0.699801330566406
1.49e-05,0.627396850585938
1.5e-05,0.530309600830078
1.51e-05,0.421280822753906
1.52e-05,0.310528717041016
1.53e-05,0.205712432861328
1.54e-05,0.111446685791016
1.55e-05,0.0304705810546875
1.56e-05,-0.0350680541992187
1.57e-05,-0.084764404296875
1.58e-05,-0.118371429443359
1.59e-05,-0.136923980712891
1.6e-05,-0.141882781982422
1.61e-05,-0.134309844970703
1.62e-05,-0.116606140136719
1.63e-05,-0.0925114440917969
1.64e-05,-0.0662165832519531
1.65e-05,-0.0429205322265625
1.66e-05,-0.0267764282226562
1.67e-05,-0.0179827880859375
1.68e-05,-0.0145790100097656
1.69e-05,-0.0134332275390625
1.7e-05,-0.0103944396972656
1.71e-05,-0.00319992065429688
1.72e-05,0.00747177124023438
1.73e-05,0.0205160522460937
1.74e-05,0.0335108947753906
1.75e-05,0.0436933898925781
1.76e-05,0.0496885681152344
1.77e-05,0.0513418579101562
1.78e-05,0.0487442016601562
1.79e-05,0.042728271484375
1.8e-05,0.0342329406738281
1.81e-05,0.0241893005371094
1.82e-05,0.0133335876464844
1.83e-05,0.00287918090820312
1.84e-05,-0.00634597778320312
1.85e-05,-0.013331298828125
1.86e-05,-0.0171888732910156
1.87e-05,-0.0178311157226562
1.88e-05,-0.0150912475585937
1.89e-05,-0.00931961059570312
1.9e-05,-0.0019305419921875
1.91e-05,0.00580047607421875
1.92e-05,0.0123704528808594
1.93e-05,0.0159257507324219
1.94e-05,0.0160746765136719
1.95e-05,0.0125761413574219
1.96e-05,0.00564712524414062
1.97e-05,-0.0030462646484375
1.98e-05,-0.012784423828125
1.99e-05,-0.02273681640625
2e-05,-0.0308709716796875
2.01e-05,-0.0356378173828125
2.02e-05,-0.0352165222167969
2.03e-05,-0.0286079406738281
2.04e-05,-0.0181379699707031
2.05e-05,-0.00970245361328125
2.06e-05,-0.0105908203125
2.07e-05,-0.0271311950683594
2.08e-05,-0.0615798950195312
2.09e-05,-0.111056365966797
2.1e-05,-0.168489685058594
2.11e-05,-0.226020202636719
2.12e-05,-0.278234405517578
2.13e-05,-0.323306579589844
2.14e-05,-0.362112579345703
2.15e-05,-0.396598510742187
2.16e-05,-0.426759643554687
2.17e-05,-0.44984619140625
2.18e-05,-0.461675567626953
2.19e-05,-0.458647613525391
2.2e-05,-0.439176635742188
2.21e-05,-0.404145050048828
2.22e-05,-0.355784759521484
2.23e-05,-0.296231994628906
2.24e-05,-0.226793060302734
2.25e-05,-0.148522796630859
2.26e-05,-0.0622468566894531
2.27e-05,0.0304667663574219
2.28e-05,0.127896270751953
2.29e-05,0.227331237792969
2.3e-05,0.325391845703125
2.31e-05,0.418799133300781
2.32e-05,0.504494476318359
2.33e-05,0.579468231201172
2.34e-05,0.641340484619141
2.35e-05,0.688003997802734
2.36e-05,0.716603088378906
2.37e-05,0.724786987304687
2.38e-05,0.712381896972656
2.39e-05,0.680447540283203
2.4e-05,0.631720123291016
2.41e-05,0.569326629638672
2.42e-05,0.496410827636719
2.43e-05,0.415838165283203
2.44e-05,0.329966430664063
2.45e-05,0.241715393066406
2.46e-05,0.1549560546875
2.47e-05,0.0724674987792969
2.48e-05,-0.003829345703125
2.49e-05,-0.0726530456542969
2.5e-05,-0.134044036865234
2.51e-05,-0.188008575439453
2.52e-05,-0.233900756835938
2.53e-05,-0.27064453125
2.54e-05,-0.296716003417969
2.55e-05,-0.309892578125
2.56e-05,-0.307670593261719
2.57e-05,-0.288604278564453
2.58e-05,-0.254572143554687
2.59e-05,-0.21155029296875
2.6e-05,-0.167848663330078
2.61e-05,-0.131814117431641
2.62e-05,-0.1099853515625
2.63e-05,-0.105683746337891
2.64e-05,-0.118847351074219
2.65e-05,-0.146742706298828
2.66e-05,-0.184345092773437
2.67e-05,-0.225320587158203
2.68e-05,-0.261641693115234
2.69e-05,-0.285253295898438
2.7e-05,-0.288264312744141
2.71e-05,-0.264093017578125
2.72e-05,-0.208716430664063
2.73e-05,-0.12333740234375
2.74e-05,-0.0150198364257813
2.75e-05,0.104319763183594
2.76e-05,0.220512847900391
2.77e-05,0.322304382324219
2.78e-05,0.404587097167969
2.79e-05,0.468857727050781
2.8e-05,0.51771484375
2.81e-05,0.550992736816406
2.82e-05,0.563135528564453
2.83e-05,0.543832397460937
2.84e-05,0.483289489746094
2.85e-05,0.378654022216797
2.86e-05,0.237457580566406
2.87e-05,0.0759922790527344
2.88e-05,-0.0845567321777344
2.89e-05,-0.223664703369141
2.9e-05,-0.327577362060547
2.91e-05,-0.391726684570313
2.92e-05,-0.419752502441406
2.93e-05,-0.419166870117188
2.94e-05,-0.397994995117188
