t,LDV
0,3.85127563476563e-05
1e-07,2.51982116699219e-05
2e-07,2.48065795898437e-05
3e-07,3.52570190429688e-05
4e-07,5.97284240722656e-05
5e-07,3.98705749511719e-05
6e-07,2.27450866699219e-05
7e-07,2.37016296386719e-05
8e-07,2.27194213867188e-05
9e-07,2.90004272460937e-05
1e-06,4.06589050292969e-05
1.1e-06,2.66033325195313e-05
1.2e-06,3.0082275390625e-05
1.3e-06,4.15677795410156e-05
1.4e-06,2.6483154296875e-05
1.5e-06,3.96423034667969e-05
1.6e-06,3.24846801757813e-05
1.7e-06,2.37761535644531e-05
1.8e-06,3.7778564453125e-05
1.9e-06,3.67726745605469e-05
2e-06,3.36360473632812e-05
2.1e-06,4.76885681152344e-05
2.2e-06,3.76246643066406e-05
2.3e-06,2.40577087402344e-05
2.4e-06,1.90450439453125e-05
2.5e-06,4.29446105957031e-05
2.6e-06,3.91886596679687e-05
2.7e-06,3.91326293945313e-05
2.8e-06,3.21539916992188e-05
2.9e-06,3.274267578125e-05
3e-06,4.08287658691406e-05
3.1e-06,3.1876220703125e-05
3.2e-06,3.31861267089844e-05
3.3e-06,4.18995361328125e-05
3.4e-06,4.10685424804687e-05
3.5e-06,3.38300476074219e-05
3.6e-06,3.306005859375e-05
3.7e-06,2.10961303710937e-05
3.8e-06,3.41499328613281e-05
3.9e-06,4.43158264160156e-05
4e-06,2.569482421875e-05
4.1e-06,2.723046875e-05
4.2e-06,3.51558227539062e-05
4.3e-06,4.67482604980469e-05
4.4e-06,2.07696533203125e-05
4.5e-06,3.04114379882812e-05
4.6e-06,2.96620178222656e-05
4.7e-06,3.42444152832031e-05
4.8e-06,3.90219421386719e-05
4.9e-06,3.37259826660156e-05
5e-06,2.96448364257812e-05
5.1e-06,2.74287414550781e-05
5.2e-06,3.46497192382813e-05
5.3e-06,4.96873474121094e-05
5.4e-06,4.90699462890625e-05
5.5e-06,2.18338012695313e-05
5.6e-06,3.33057861328125e-05
5.7e-06,3.31990356445312e-05
5.8e-06,2.93219604492188e-05
5.9e-06,2.39127197265625e-05
6e-06,3.93497314453125e-05
6.1e-06,3.31355590820312e-05
6.2e-06,3.32557678222656e-05
6.3e-06,3.32222595214844e-05
6.4e-06,3.55921325683594e-05
6.5e-06,3.85674133300781e-05
6.6e-06,4.77935485839844e-05
6.7e-06,3.6459716796875e-05
6.8e-06,3.61971435546875e-05
6.9e-06,3.95870361328125e-05
7e-06,3.4219482421875e-05
7.1e-06,2.80136108398438e-05
7.2e-06,2.60768432617187e-05
7.3e-06,4.46316223144531e-05
7.4e-06,3.97271728515625e-05
7.5e-06,2.003955078125e-05
7.6e-06,3.07298278808594e-05
7.7e-06,3.29848937988281e-05
7.8e-06,4.28153686523438e-05
7.9e-06,2.2097900390625e-05
8e-06,3.97012329101562e-05
8.1e-06,2.5733154296875e-05
8.2e-06,2.51686401367188e-05
8.3e-06,3.23053588867187e-05
8.4e-06,3.11324157714844e-05
8.5e-06,3.54205017089844e-05
8.6e-06,2.01884765625e-05
8.7e-06,2.72384338378906e-05
8.8e-06,3.62121276855469e-05
8.9e-06,4.27695922851563e-05
9e-06,2.77950744628906e-05
9.1e-06,1.43629760742188e-05
9.2e-06,2.7359375e-05
9.3e-06,3.68130187988281e-05
9.4e-06,5.57793273925781e-05
9.5e-06,4.28817443847656e-05
9.6e-06,2.16388854980469e-05
9.7e-06,2.59343872070313e-05
9.8e-06,3.96223449707031e-05
9.9e-06,3.86572875976563e-05
1e-05,2.97187805175781e-05
1.01e-05,3.75334777832031e-05
1.02e-05,2.97934875488281e-05
1.03e-05,3.05458984375e-05
1.04e-05,3.52107543945312e-05
1.05e-05,4.55499267578125e-05
1.06e-05,3.20864868164063e-05
1.07e-05,2.82182312011719e-05
1.08e-05,2.86600036621094e-05
1.09e-05,3.97565002441406e-05
1.1e-05,3.6871337890625e-05
1.11e-05,2.41047668457031e-05
1.12e-05,4.41936340332031e-05
1.13e-05,3.876708984375e-05
1.14e-05,3.52130737304687e-05
1.15e-05,2.80723266601562e-05
1.16e-05,5.10428161621094e-05
1.17e-05,3.765380859375e-05
1.18e-05,3.79342956542969e-05
1.19e-05,2.99064025878906e-05
1.2e-05,2.00789184570313e-05
1.21e-05,3.8887451171875e-05
1.22e-05,4.16324768066406e-05
1.23e-05,3.51560668945312e-05
1.24e-05,3.35465698242187e-05
1.25e-05,3.4663818359375e-05
1.26e-05,3.917529296875e-05
1.27e-05,2.69693908691406e-05
1.28e-05,3.55242309570313e-05
1.29e-05,2.95921936035156e-05
1.3e-05,2.3468017578125e-05
1.31e-05,5.226708984375e-05
1.32e-05,3.05430603027344e-05
1.33e-05,2.81927795410156e-05
1.34e-05,2.63155822753906e-05
1.35e-05,2.93673706054687e-05
1.36e-05,3.91184387207031e-05
1.37e-05,2.88905334472656e-05
1.38e-05,3.42007751464844e-05
1.39e-05,4.63578186035156e-05
1.4e-05,3.75414733886719e-05
1.41e-05,2.51381530761719e-05
1.42e-05,4.07785949707031e-05
1.43e-05,3.62633361816406e-05
1.44e-05,3.8767578125e-05
