t,V10,V25,V50,V75,V100,V125,V150,V175,V200
0,6.78817749023438e-06,3.25886535644531e-05,2.96826171875e-05,6.94212341308594e-05,2.49073791503906e-05,7.09747314453125e-06,2.43180847167969e-05,-5.0201416015625e-06,9.7509765625e-06
1e-07,2.11903381347656e-05,5.40635681152344e-05,5.05319213867187e-05,6.14952087402344e-05,4.31854248046875e-05,2.79762268066406e-05,1.59866333007813e-05,1.73036193847656e-05,9.87625122070312e-06
2e-07,3.60359191894531e-05,1.6832275390625e-05,8.13804626464844e-05,2.55462646484375e-05,1.75735473632812e-05,3.58558654785156e-05,1.92485046386719e-05,2.43574523925781e-05,1.61546325683594e-05
3e-07,1.57333374023438e-06,2.17141723632813e-05,3.47686767578125e-05,5.30337524414063e-05,5.89642333984375e-05,3.05850219726563e-05,-5.27175903320313e-06,2.58987426757812e-06,2.75741577148438e-06
4e-07,3.27127075195313e-05,4.21159362792969e-05,2.89651489257813e-05,5.05690002441406e-05,5.22990417480469e-05,1.45693969726563e-05,-7.89443969726562e-06,4.26010131835937e-06,7.181396484375e-06
5e-07,2.37855529785156e-05,1.68986511230469e-05,4.16180419921875e-05,3.02763366699219e-05,4.52156066894531e-05,3.57063293457031e-05,8.9569091796875e-06,1.83084106445313e-05,3.33857727050781e-05
6e-07,2.38542175292969e-05,1.74966430664063e-05,2.42079162597656e-05,4.14523315429687e-05,3.45442199707031e-05,1.87416076660156e-05,1.06404113769531e-05,1.80316162109375e-05,1.38470458984375e-05
7e-07,1.28363037109375e-05,4.39973449707031e-05,2.93632507324219e-05,4.70875549316406e-05,4.00218200683594e-05,2.69488525390625e-05,1.13250732421875e-05,1.89305114746094e-05,-5.91064453125e-06
8e-07,1.6859130859375e-05,4.33932495117188e-05,3.3291015625e-05,3.91604614257812e-05,5.44839477539062e-05,4.045654296875e-05,1.78288269042969e-05,-4.04327392578125e-06,3.52156066894531e-05
9e-07,2.63719177246094e-05,9.55642700195313e-06,5.77592468261719e-05,2.95306396484375e-05,5.33609008789063e-05,5.07510375976562e-05,5.03143310546875e-06,2.74215698242188e-06,3.01707458496094e-05
1e-06,3.92985534667969e-05,2.37971496582031e-05,3.93435668945312e-05,4.25259399414062e-05,6.32791137695313e-05,2.59992980957031e-05,4.55673217773438e-06,-6.951904296875e-07,-1.55587768554688e-05
1.1e-06,1.81179809570313e-05,3.67800903320313e-05,2.70256042480469e-05,5.34896850585938e-05,3.47874450683594e-05,2.31440734863281e-05,1.01118469238281e-05,2.01933288574219e-05,5.34957885742187e-06
1.2e-06,1.19007873535156e-05,1.01686096191406e-05,4.53092956542969e-05,5.42816162109375e-05,2.79348754882813e-05,3.19239807128906e-05,6.17401123046875e-06,1.52020263671875e-05,1.85195922851563e-05
1.3e-06,1.67948913574219e-05,6.03184509277344e-05,5.7823486328125e-05,1.3282470703125e-05,5.35847473144531e-05,3.66777038574219e-05,9.40109252929687e-06,-7.93869018554688e-06,2.07366943359375e-05
1.4e-06,1.70297241210938e-05,4.16603088378906e-05,4.16220092773438e-05,3.08810424804688e-05,5.11837768554687e-05,4.36996459960937e-06,1.14439392089844e-05,-1.80709838867188e-06,3.42315673828125e-06
1.5e-06,2.91407775878906e-05,2.87570190429687e-05,2.93609619140625e-05,3.08174133300781e-05,4.18856811523438e-05,2.09751892089844e-05,1.76766967773438e-05,1.11622619628906e-05,1.01712036132813e-05
1.6e-06,1.40840148925781e-05,2.77383422851563e-05,6.23989868164063e-05,2.28330993652344e-05,4.32484436035156e-05,1.98835754394531e-05,1.20315551757813e-06,4.2620849609375e-06,2.2322998046875e-05
1.7e-06,7.425537109375e-06,3.87034606933594e-05,6.6920166015625e-05,4.48773193359375e-05,1.63743591308594e-05,3.46302795410156e-05,1.66212463378906e-05,1.98770141601562e-05,2.11032104492187e-05
1.8e-06,4.17961120605469e-05,5.01564025878906e-05,4.92611694335938e-05,4.43997192382813e-05,1.70858764648437e-05,1.45034790039063e-05,2.00523376464844e-05,1.66307067871094e-05,5.791015625e-06
1.9e-06,2.22061157226563e-06,2.005615234375e-05,2.64254760742187e-05,6.30824279785156e-05,5.75888061523438e-05,2.83692932128906e-05,2.90203857421875e-05,6.78924560546875e-06,2.24494934082031e-05
2e-06,4.84515380859375e-05,1.70597839355469e-05,4.09921264648438e-05,4.59219360351563e-05,5.16569519042969e-05,1.86380004882812e-05,3.62075805664063e-06,1.08062744140625e-05,-5.58609008789063e-06
2.1e-06,1.36430358886719e-05,1.94688415527344e-05,3.78433227539062e-05,3.41352844238281e-05,2.32252502441406e-05,2.94209289550781e-05,-1.87423706054687e-06,-4.68704223632812e-06,2.64077758789063e-05
2.2e-06,2.10176086425781e-05,3.6224365234375e-05,3.06005859375e-05,3.88311767578125e-05,4.62030029296875e-05,4.12396240234375e-05,-1.54739379882813e-06,3.46176147460938e-06,2.51423645019531e-05
2.3e-06,2.81523132324219e-05,5.307373046875e-05,3.97042846679688e-05,6.40890502929688e-05,4.72845458984375e-05,3.34249877929687e-05,2.34086608886719e-05,3.6024169921875e-05,9.47341918945313e-06
2.4e-06,1.98794555664063e-05,3.64300537109375e-05,5.48040771484375e-05,4.52415466308594e-05,4.92404174804687e-05,1.111328125e-05,1.47361755371094e-05,1.48867797851563e-05,1.78752136230469e-05
2.5e-06,5.53436279296875e-06,4.53266906738281e-05,5.02236938476563e-05,4.51704406738281e-05,4.21885681152344e-05,1.88888549804688e-05,8.61663818359375e-07,2.29263305664062e-06,9.0594482421875e-06
2.6e-06,2.80247497558594e-05,3.56130981445313e-05,5.03352355957031e-05,5.29133605957031e-05,3.50428771972656e-05,3.5355224609375e-05,8.9117431640625e-06,1.46565246582031e-05,4.8358154296875e-06
2.7e-06,2.51014709472656e-05,-1.48617553710937e-05,3.77693176269531e-05,4.67184448242187e-05,3.69917297363281e-05,1.10882568359375e-05,1.09947204589844e-05,3.677978515625e-05,1.24244689941406e-05
2.8e-06,3.13081359863281e-05,2.19879150390625e-05,3.20516967773438e-05,5.03140258789062e-05,3.14817810058594e-05,1.91810607910156e-05,-8.99810791015625e-06,1.97689819335937e-05,-7.08160400390625e-07
2.9e-06,2.71836853027344e-05,3.318115234375e-05,3.81593322753906e-05,4.03535461425781e-05,3.92570495605469e-05,2.38070678710937e-05,1.69526672363281e-05,1.11610412597656e-05,1.30227661132813e-05
3e-06,3.94636535644531e-05,2.36337280273437e-05,3.59748840332031e-05,5.31619262695313e-05,5.43119812011719e-05,4.65762329101563e-05,-5.987548828125e-07,1.74884033203125e-05,1.50949096679688e-05
3.1e-06,1.7515869140625e-05,1.45535278320313e-05,4.76661682128906e-05,2.49653625488281e-05,2.77359008789063e-05,3.09368896484375e-05,1.35345458984375e-05,-2.2967529296875e-06,1.10890197753906e-05
3.2e-06,1.48114013671875e-05,3.65028381347656e-05,6.06814575195313e-05,5.12229919433594e-05,4.79092407226563e-05,4.76242065429688e-05,2.03358459472656e-05,9.002685546875e-06,1.38313293457031e-05
3.3e-06,3.18443298339844e-05,3.90837097167969e-05,4.3399658203125e-05,4.81291198730469e-05,7.02659606933594e-05,3.16023254394531e-05,1.84671020507812e-05,2.69883728027344e-05,-6.15066528320313e-06
3.4e-06,5.50277709960938e-06,3.33363342285156e-05,7.34492492675781e-05,3.60057067871094e-05,4.15121459960937e-05,1.39398193359375e-05,-6.961669921875e-06,2.29608154296875e-05,1.58450317382812e-05
3.5e-06,1.89141845703125e-05,2.4981689453125e-05,5.7794189453125e-05,2.83757019042969e-05,4.1026611328125e-05,3.78536987304688e-05,-4.7894287109375e-06,1.51791381835937e-05,1.01971435546875e-05
3.6e-06,2.62123107910156e-05,3.55796813964844e-05,4.30836486816406e-05,4.7308349609375e-05,4.98641967773438e-05,3.98344421386719e-05,3.40377807617187e-06,2.0672607421875e-05,-1.45329284667969e-05
3.7e-06,1.69682312011719e-05,4.51248168945313e-05,2.89096069335937e-05,3.014404296875e-05,3.77957153320313e-05,3.7449951171875e-05,2.89875793457031e-05,8.47579956054688e-06,9.669189453125e-06
3.8e-06,1.24986267089844e-05,3.59999084472656e-05,3.0841064453125e-05,3.21284484863281e-05,3.18699645996094e-05,5.91358947753906e-05,4.69345092773438e-06,2.84317016601563e-05,2.28778076171875e-05
3.9e-06,5.04508972167969e-05,4.67613220214844e-05,2.50355529785156e-05,4.60847473144531e-05,5.33802795410156e-05,4.85028076171875e-05,-4.70184326171875e-06,4.6968994140625e-05,2.14738464355469e-05
4e-06,2.28132629394531e-05,2.463623046875e-05,1.37176513671875e-05,6.39674377441406e-05,4.55194091796875e-05,3.3123779296875e-06,2.72621154785156e-05,2.59706115722656e-05,1.62918090820313e-06
4.1e-06,1.6920166015625e-05,2.43449401855469e-05,3.919189453125e-05,4.30155944824219e-05,4.4957275390625e-05,3.94676208496094e-05,-3.87176513671875e-06,1.98908996582031e-05,1.71522521972656e-05
4.2e-06,2.69441223144531e-05,2.58595275878906e-05,2.42514038085937e-05,4.54791259765625e-05,4.11070251464844e-05,1.72187805175781e-05,-1.66458129882813e-06,1.31094360351563e-05,1.38313293457031e-05
4.3e-06,1.44973754882813e-05,2.30949401855469e-05,4.61759948730469e-05,7.83505249023437e-05,3.30398559570313e-05,2.1456298828125e-05,2.28530883789063e-06,-4.57046508789063e-06,1.32099914550781e-05
4.4e-06,2.79203796386719e-05,1.43682861328125e-05,5.27499389648437e-05,4.34312438964844e-05,5.691650390625e-05,2.40975952148437e-05,3.80615234375e-06,3.12567138671875e-05,4.98886108398438e-06
4.5e-06,4.31976318359375e-06,2.95269775390625e-05,4.77447509765625e-05,3.74369812011719e-05,4.87495422363281e-05,3.34356689453125e-05,-1.71737670898438e-06,2.65513610839844e-05,1.79428100585938e-06
4.6e-06,2.35552978515625e-05,2.5015869140625e-05,3.19418334960937e-05,6.69230651855469e-05,5.58039855957031e-05,3.9503173828125e-05,1.89265441894531e-05,1.99128723144531e-05,1.23121643066406e-05
4.7e-06,2.47013854980469e-05,2.48876953125e-05,4.57106018066406e-05,1.61361694335938e-05,6.03103637695313e-05,2.91557312011719e-05,-5.9234619140625e-06,1.12602233886719e-05,3.35693359375e-07
4.8e-06,2.49603271484375e-05,4.68557739257813e-05,3.199462890625e-05,4.77035522460938e-05,4.65272521972656e-05,3.46873474121094e-05,-1.5399169921875e-05,1.68795776367187e-05,3.51654052734375e-06
4.9e-06,3.02708435058594e-05,3.88116455078125e-05,2.34034729003906e-05,6.43644714355469e-05,4.33680725097656e-05,2.58404541015625e-05,1.55364990234375e-06,2.35110473632813e-05,2.35417175292969e-05
5e-06,-1.39791870117188e-05,9.224853515625e-06,3.86225891113281e-05,3.92552185058594e-05,6.89582824707031e-05,3.30209350585938e-05,1.64677429199219e-05,3.00186157226563e-05,4.5880126953125e-06
5.1e-06,1.65138244628906e-05,2.24525451660156e-05,3.59974670410156e-05,4.21385192871094e-05,3.42353820800781e-05,3.02731323242188e-05,-2.2064208984375e-06,9.3792724609375e-06,2.43617248535156e-05
5.2e-06,1.67913818359375e-05,3.63615417480469e-05,4.83255004882813e-05,4.17283630371094e-05,3.27375793457031e-05,2.97154235839844e-05,7.54074096679687e-06,-3.765869140625e-06,5.72708129882812e-06
5.3e-06,3.10040283203125e-05,3.40687561035156e-05,2.03013610839844e-05,1.39985656738281e-05,4.09487915039063e-05,4.4844970703125e-05,-1.76173400878906e-05,-4.55001831054688e-06,-1.94244384765625e-06
5.4e-06,4.89021301269531e-05,3.08955383300781e-05,4.18208312988281e-05,3.84893798828125e-05,5.35630798339844e-05,1.42805480957031e-05,1.10627746582031e-05,1.22720336914063e-05,1.21705627441406e-05
5.5e-06,1.85591125488281e-05,3.04701232910156e-05,4.92605590820313e-05,3.02728271484375e-05,2.22294616699219e-05,3.91242980957031e-05,1.2772216796875e-05,2.41583251953125e-05,2.41793823242187e-05
5.6e-06,2.09426879882813e-06,2.54118347167969e-05,3.6754150390625e-05,4.313720703125e-05,4.40765380859375e-05,4.52679443359375e-05,2.664794921875e-05,1.71974182128906e-05,2.87721252441406e-05
5.7e-06,5.96923828125e-06,2.78579711914063e-06,3.66087341308594e-05,3.71943664550781e-05,5.15731811523438e-05,3.68336486816406e-05,-2.11029052734375e-06,1.23141479492187e-05,-2.04437255859375e-06
