t,LDV
0,6.96750183105469e-05
1e-07,6.17891540527344e-05
2e-07,7.01748657226563e-05
3e-07,5.34817810058594e-05
4e-07,5.57457580566406e-05
5e-07,5.0842529296875e-05
6e-07,5.52315063476562e-05
7e-07,5.55264587402344e-05
8e-07,5.87573852539063e-05
9e-07,5.60732727050781e-05
1e-06,5.27573852539063e-05
1.1e-06,4.93690795898438e-05
1.2e-06,5.88643493652344e-05
1.3e-06,5.93855590820313e-05
1.4e-06,5.54718017578125e-05
1.5e-06,5.48837890625e-05
1.6e-06,4.9031005859375e-05
1.7e-06,6.40325622558594e-05
1.8e-06,5.69183349609375e-05
1.9e-06,5.81631164550781e-05
2e-06,7.02776184082031e-05
2.1e-06,5.41660461425781e-05
2.2e-06,5.32820434570313e-05
2.3e-06,4.72914123535156e-05
2.4e-06,6.07538452148438e-05
2.5e-06,6.33648681640625e-05
2.6e-06,5.79916687011719e-05
2.7e-06,5.61224975585937e-05
2.8e-06,5.31847534179688e-05
2.9e-06,4.37882690429688e-05
3e-06,5.62834777832031e-05
3.1e-06,5.990185546875e-05
3.2e-06,4.35657653808594e-05
3.3e-06,5.48721618652344e-05
3.4e-06,4.58995056152344e-05
3.5e-06,6.48295288085938e-05
3.6e-06,6.11019592285156e-05
3.7e-06,5.27308349609375e-05
3.8e-06,6.2300048828125e-05
3.9e-06,5.80948486328125e-05
4e-06,4.87618103027344e-05
4.1e-06,5.88850708007812e-05
4.2e-06,6.1606689453125e-05
4.3e-06,5.29187927246094e-05
4.4e-06,5.63347473144531e-05
4.5e-06,5.15054626464844e-05
4.6e-06,5.82623596191406e-05
4.7e-06,5.94079284667969e-05
4.8e-06,5.18222351074219e-05
4.9e-06,5.71000061035156e-05
5e-06,6.48639526367188e-05
5.1e-06,5.9957763671875e-05
5.2e-06,6.10104370117188e-05
5.3e-06,6.23714904785156e-05
5.4e-06,5.40683288574219e-05
5.5e-06,6.38688049316406e-05
5.6e-06,5.68114318847656e-05
5.7e-06,6.26942138671875e-05
5.8e-06,6.926025390625e-05
5.9e-06,6.36631774902344e-05
6e-06,5.32827758789063e-05
6.1e-06,5.99407348632813e-05
6.2e-06,6.3482666015625e-05
6.3e-06,6.09112854003906e-05
6.4e-06,5.291455078125e-05
6.5e-06,5.34533386230469e-05
