t,LDV
0,4.82258758544922e-05
1e-07,5.21398315429687e-05
2e-07,5.20753936767578e-05
3e-07,3.38631134033203e-05
4e-07,2.56206512451172e-05
5e-07,5.48687896728516e-05
6e-07,4.20159149169922e-05
7e-07,4.95054016113281e-05
8e-07,3.66171112060547e-05
9e-07,4.90687103271484e-05
1e-06,4.3314453125e-05
1.1e-06,3.65011138916016e-05
1.2e-06,3.99004058837891e-05
1.3e-06,3.13062286376953e-05
1.4e-06,4.58892669677734e-05
1.5e-06,3.67552795410156e-05
1.6e-06,3.78321380615234e-05
1.7e-06,3.94624176025391e-05
1.8e-06,4.42868194580078e-05
1.9e-06,4.05433959960937e-05
2e-06,3.58209686279297e-05
2.1e-06,5.28132629394531e-05
2.2e-06,2.16767883300781e-05
2.3e-06,3.52373504638672e-05
2.4e-06,4.07881622314453e-05
2.5e-06,2.952587890625e-05
2.6e-06,4.45945739746094e-05
2.7e-06,4.59670562744141e-05
2.8e-06,5.12325286865234e-05
2.9e-06,3.57175598144531e-05
3e-06,3.86224212646484e-05
3.1e-06,3.88901519775391e-05
3.2e-06,2.88071746826172e-05
3.3e-06,4.52170867919922e-05
3.4e-06,4.67387237548828e-05
3.5e-06,2.64510498046875e-05
3.6e-06,4.13886566162109e-05
3.7e-06,4.856494140625e-05
3.8e-06,3.57302398681641e-05
3.9e-06,4.65238342285156e-05
4e-06,6.5254638671875e-05
4.1e-06,3.80986785888672e-05
4.2e-06,3.44434051513672e-05
4.3e-06,2.69007415771484e-05
4.4e-06,3.45322418212891e-05
4.5e-06,4.791455078125e-05
4.6e-06,2.81236114501953e-05
4.7e-06,3.8566162109375e-05
4.8e-06,5.27924957275391e-05
4.9e-06,4.15222930908203e-05
5e-06,4.94287414550781e-05
5.1e-06,4.43550567626953e-05
5.2e-06,4.72767791748047e-05
5.3e-06,4.47032775878906e-05
5.4e-06,3.86419372558594e-05
5.5e-06,3.48680267333984e-05
5.6e-06,3.40749206542969e-05
5.7e-06,5.02351226806641e-05
5.8e-06,5.18373565673828e-05
5.9e-06,3.6081787109375e-05
6e-06,4.1271728515625e-05
6.1e-06,4.50870361328125e-05
6.2e-06,4.00322723388672e-05
6.3e-06,3.6185791015625e-05
6.4e-06,5.88073120117188e-05
6.5e-06,3.77801361083984e-05
6.6e-06,3.52262573242187e-05
6.7e-06,3.19329071044922e-05
6.8e-06,4.08148345947266e-05
6.9e-06,3.75370330810547e-05
7e-06,4.34347991943359e-05
7.1e-06,4.79437713623047e-05
7.2e-06,4.47754058837891e-05
7.3e-06,4.37446441650391e-05
7.4e-06,4.16381378173828e-05
7.5e-06,3.40799255371094e-05
7.6e-06,5.26011505126953e-05
7.7e-06,2.00876922607422e-05
7.8e-06,3.91491088867188e-05
7.9e-06,4.79167022705078e-05
8e-06,4.82369537353516e-05
8.1e-06,3.98346862792969e-05
8.2e-06,4.36357421875e-05
8.3e-06,4.716943359375e-05
8.4e-06,4.02483215332031e-05
8.5e-06,4.79561767578125e-05
8.6e-06,5.2936279296875e-05
8.7e-06,3.53823852539063e-05
8.8e-06,3.11271057128906e-05
8.9e-06,3.58273468017578e-05
9e-06,4.40509643554688e-05
9.1e-06,5.51400756835937e-05
9.2e-06,5.57606353759766e-05
9.3e-06,2.14021759033203e-05
9.4e-06,2.65276489257812e-05
9.5e-06,5.07129974365234e-05
9.6e-06,4.92014617919922e-05
9.7e-06,3.19308166503906e-05
9.8e-06,3.49326324462891e-05
9.9e-06,5.20751342773438e-05
1e-05,4.29939422607422e-05
1.01e-05,4.74368286132813e-05
1.02e-05,5.62579956054688e-05
1.03e-05,3.51417083740234e-05
1.04e-05,3.24982604980469e-05
1.05e-05,4.69718017578125e-05
1.06e-05,6.27971801757813e-05
1.07e-05,3.35944213867187e-05
1.08e-05,5.17947998046875e-05
1.09e-05,3.53471221923828e-05
1.1e-05,2.62747344970703e-05
1.11e-05,3.46867065429688e-05
1.12e-05,4.61474761962891e-05
1.13e-05,3.14850769042969e-05
1.14e-05,5.48310241699219e-05
1.15e-05,4.65130920410156e-05
1.16e-05,3.69672088623047e-05
1.17e-05,3.47720336914063e-05
1.18e-05,2.81343994140625e-05
1.19e-05,4.76916351318359e-05
1.2e-05,2.27858734130859e-05
1.21e-05,4.74238433837891e-05
1.22e-05,5.79324340820313e-05
1.23e-05,4.29457397460938e-05
1.24e-05,4.27213745117187e-05
1.25e-05,3.83621673583984e-05
1.26e-05,4.20585479736328e-05
1.27e-05,3.57617797851563e-05
1.28e-05,4.78508758544922e-05
1.29e-05,5.38108520507813e-05
1.3e-05,3.61291198730469e-05
1.31e-05,5.16243743896484e-05
1.32e-05,3.40399169921875e-05
1.33e-05,3.34571075439453e-05
1.34e-05,4.0439697265625e-05
1.35e-05,4.23145904541016e-05
1.36e-05,4.75133361816406e-05
1.37e-05,4.129150390625e-05
1.38e-05,4.66808929443359e-05
1.39e-05,2.76796569824219e-05
1.4e-05,5.1020263671875e-05
1.41e-05,5.71850128173828e-05
1.42e-05,5.41966247558594e-05
1.43e-05,2.20507507324219e-05
1.44e-05,3.65717468261719e-05
1.45e-05,4.07683715820313e-05
1.46e-05,3.44809875488281e-05
1.47e-05,4.00842590332031e-05
1.48e-05,5.02085113525391e-05
1.49e-05,3.42828063964844e-05
1.5e-05,3.31408843994141e-05
1.51e-05,4.99822998046875e-05
1.52e-05,5.04443359375e-05
1.53e-05,5.47356719970703e-05
1.54e-05,2.55197296142578e-05
1.55e-05,4.03677825927734e-05
1.56e-05,4.79384613037109e-05
1.57e-05,3.91204986572266e-05
1.58e-05,3.94447021484375e-05
1.59e-05,4.23348693847656e-05
1.6e-05,2.79700164794922e-05
1.61e-05,4.54654388427734e-05
1.62e-05,4.60590362548828e-05
1.63e-05,4.45479431152344e-05
1.64e-05,6.03046112060547e-05
1.65e-05,4.08314056396484e-05
1.66e-05,3.33323516845703e-05
1.67e-05,4.47444763183594e-05
1.68e-05,4.5689208984375e-05
1.69e-05,3.12584228515625e-05
1.7e-05,4.02342224121094e-05
1.71e-05,4.60527954101563e-05
1.72e-05,8.00802154541016e-05
1.73e-05,0.000405035308837891
1.74e-05,0.00113467248535156
1.75e-05,0.00118818724060059
1.76e-05,0.00081961784362793
1.77e-05,0.000483963043212891
1.78e-05,-0.000975711791992188
1.79e-05,-0.00202051928710938
1.8e-05,-0.00137774322509766
1.81e-05,-0.00108264865112305
1.82e-05,-0.000555800537109375
1.83e-05,0.000404814346313477
1.84e-05,0.000362952896118164
1.85e-05,0.000211054595947266
1.86e-05,0.000167455810546875
1.87e-05,-0.00013922509765625
1.88e-05,0.000168425827026367
1.89e-05,0.000409987442016602
1.9e-05,0.000345480926513672
1.91e-05,0.000530535247802734
1.92e-05,0.000440982772827148
1.93e-05,0.000159486419677734
1.94e-05,0.000137431793212891
1.95e-05,1.47048797607422e-05
1.96e-05,-6.09806823730469e-06
1.97e-05,0.000129526580810547
1.98e-05,1.72962188720703e-05
1.99e-05,-2.7291748046875e-05
2e-05,3.12942047119141e-05
2.01e-05,-8.04029693603516e-05
2.02e-05,-6.59926605224609e-05
2.03e-05,-7.04824829101563e-06
2.04e-05,1.28504028320312e-05
2.05e-05,8.4326904296875e-05
2.06e-05,9.56482849121094e-05
2.07e-05,7.49112701416016e-05
2.08e-05,6.61292877197266e-05
2.09e-05,5.92641448974609e-05
2.1e-05,1.11989440917969e-05
2.11e-05,2.89712982177734e-05
2.12e-05,4.27818756103516e-05
2.13e-05,5.47620239257813e-05
2.14e-05,3.23094024658203e-05
2.15e-05,2.96894226074219e-05
2.16e-05,1.83411865234375e-05
2.17e-05,-8.03446960449219e-06
2.18e-05,2.49274749755859e-05
2.19e-05,5.71266937255859e-05
2.2e-05,6.36452331542969e-05
2.21e-05,8.84046173095703e-05
2.22e-05,6.47862396240234e-05
2.23e-05,2.50325164794922e-05
2.24e-05,2.15561676025391e-05
2.25e-05,1.54931640625e-06
2.26e-05,-1.90587463378906e-05
2.27e-05,2.80451812744141e-05
2.28e-05,3.97889862060547e-05
2.29e-05,4.06185607910156e-05
2.3e-05,4.97541351318359e-05
2.31e-05,7.28568420410156e-05
2.32e-05,5.27066497802734e-05
2.33e-05,6.66252593994141e-05
2.34e-05,7.83127746582031e-05
2.35e-05,7.36393737792969e-05
2.36e-05,9.2830322265625e-05
2.37e-05,5.29885101318359e-05
2.38e-05,3.85753784179687e-05
2.39e-05,4.25516815185547e-05
2.4e-05,-1.07008972167969e-05
2.41e-05,-4.02499542236328e-05
2.42e-05,-2.600244140625e-05
2.43e-05,-4.63090667724609e-05
2.44e-05,-9.53816223144531e-06
2.45e-05,1.40168762207031e-05
2.46e-05,3.26376037597656e-05
2.47e-05,7.67642822265625e-05
2.48e-05,8.26838989257813e-05
2.49e-05,9.99810180664062e-05
2.5e-05,0.000115738021850586
2.51e-05,0.000130056655883789
2.52e-05,0.00011197021484375
2.53e-05,9.25457000732422e-05
2.54e-05,4.10208282470703e-05
2.55e-05,1.51457214355469e-05
2.56e-05,3.06031494140625e-05
2.57e-05,5.01746520996094e-05
2.58e-05,4.93139953613281e-05
2.59e-05,7.53501892089844e-06
2.6e-05,2.90135192871094e-06
2.61e-05,1.60013732910156e-05
2.62e-05,2.70970153808594e-06
2.63e-05,3.86436462402344e-05
2.64e-05,6.01267547607422e-05
2.65e-05,5.95596313476562e-05
2.66e-05,6.68238067626953e-05
2.67e-05,7.44859771728516e-05
2.68e-05,3.67254943847656e-05
2.69e-05,1.74244384765625e-05
2.7e-05,3.69659423828125e-05
2.71e-05,3.12685089111328e-05
2.72e-05,2.83594970703125e-05
2.73e-05,7.84971618652344e-06
2.74e-05,-2.02054901123047e-05
2.75e-05,-4.76196594238281e-05
2.76e-05,-4.63095855712891e-05
2.77e-05,-2.76106872558594e-05
2.78e-05,1.01620635986328e-05
2.79e-05,6.20781097412109e-05
2.8e-05,6.72586822509766e-05
2.81e-05,7.80855560302734e-05
2.82e-05,0.000110346969604492
2.83e-05,0.000127355163574219
2.84e-05,0.00010770832824707
2.85e-05,0.000132893676757812
2.86e-05,0.000125467758178711
2.87e-05,0.000119874908447266
2.88e-05,0.000108870056152344
2.89e-05,5.46011962890625e-05
2.9e-05,3.86059265136719e-05
2.91e-05,7.1881103515625e-06
2.92e-05,-2.12125396728516e-05
2.93e-05,-2.30730895996094e-05
2.94e-05,-5.80703735351563e-06
2.95e-05,-1.09636077880859e-05
2.96e-05,-9.63339233398438e-06
2.97e-05,2.23480224609375e-07
2.98e-05,3.91943359375e-06
2.99e-05,-2.40737915039062e-06
3e-05,3.25691833496094e-05
3.01e-05,3.06283416748047e-05
3.02e-05,6.50917053222656e-05
3.03e-05,7.15927124023438e-05
3.04e-05,3.63882141113281e-05
3.05e-05,5.70136260986328e-05
3.06e-05,4.9873779296875e-05
3.07e-05,4.36106109619141e-05
3.08e-05,6.54100799560547e-05
3.09e-05,5.25317077636719e-05
3.1e-05,4.21039123535156e-05
3.11e-05,4.18071136474609e-05
3.12e-05,1.98473358154297e-05
3.13e-05,2.77067718505859e-05
3.14e-05,6.28092193603516e-05
3.15e-05,1.92841491699219e-05
3.16e-05,-2.29183044433594e-05
3.17e-05,-1.7946533203125e-05
3.18e-05,2.34941253662109e-05
3.19e-05,5.87748260498047e-05
3.2e-05,8.57200775146484e-05
3.21e-05,0.000134853469848633
3.22e-05,0.000144837509155273
3.23e-05,0.000141174499511719
3.24e-05,0.000182255920410156
3.25e-05,0.000197261810302734
3.26e-05,0.000252805999755859
3.27e-05,0.000272784072875977
3.28e-05,0.000252273178100586
3.29e-05,0.000208201110839844
3.3e-05,0.000161474380493164
3.31e-05,0.000111339691162109
3.32e-05,5.69918212890625e-05
3.33e-05,-6.63169250488281e-05
3.34e-05,-0.000174520263671875
3.35e-05,-0.000268509414672852
3.36e-05,-0.000313098693847656
3.37e-05,-0.000319224975585938
3.38e-05,-0.000302845703125
3.39e-05,-0.000272022232055664
3.4e-05,-0.000222318130493164
3.41e-05,-0.000125930038452148
3.42e-05,-4.87331848144531e-05
3.43e-05,5.59612731933594e-05
3.44e-05,0.000120210021972656
3.45e-05,0.000163778381347656
3.46e-05,0.000194361557006836
3.47e-05,0.000205014633178711
3.48e-05,0.000191155258178711
3.49e-05,0.000169662170410156
3.5e-05,0.000142571746826172
3.51e-05,0.000128171188354492
3.52e-05,0.000123932525634766
3.53e-05,0.000111802581787109
3.54e-05,0.000110545501708984
3.55e-05,0.000130165344238281
3.56e-05,0.000176307571411133
3.57e-05,0.000119952850341797
3.58e-05,8.44321441650391e-05
3.59e-05,2.06378326416016e-05
3.6e-05,-7.39169311523437e-05
3.61e-05,-0.000103357788085937
3.62e-05,-0.000150856246948242
3.63e-05,-0.000151399978637695
3.64e-05,-9.93637847900391e-05
3.65e-05,-7.69409942626953e-05
3.66e-05,-9.30275573730469e-05
3.67e-05,-7.63787231445313e-05
3.68e-05,-5.7650390625e-05
3.69e-05,-4.06101531982422e-05
3.7e-05,7.15266571044922e-05
3.71e-05,0.000181770263671875
3.72e-05,0.000261941375732422
3.73e-05,0.000283703033447266
3.74e-05,0.000230663726806641
3.75e-05,0.000187613037109375
3.76e-05,0.000184010787963867
3.77e-05,0.000197394454956055
3.78e-05,0.000266492446899414
3.79e-05,0.000343370391845703
3.8e-05,0.000363187942504883
3.81e-05,0.000307740219116211
3.82e-05,0.000202357971191406
3.83e-05,6.48761596679688e-05
3.84e-05,-3.65215606689453e-05
3.85e-05,-0.000125523162841797
3.86e-05,-0.000212525177001953
3.87e-05,-0.000246702743530273
3.88e-05,-0.000290230453491211
3.89e-05,-0.000367101974487305
3.9e-05,-0.000339430435180664
3.91e-05,-0.000279847274780273
3.92e-05,-0.000177260635375977
3.93e-05,-3.59896545410156e-05
3.94e-05,7.12650451660156e-05
3.95e-05,0.00013292121887207
3.96e-05,0.000139818450927734
3.97e-05,0.000132640502929688
3.98e-05,0.000120437805175781
3.99e-05,0.000131857574462891
4e-05,0.000139689758300781
4.01e-05,0.000162897155761719
4.02e-05,0.000191299087524414
4.03e-05,0.000190245407104492
4.04e-05,0.00017413737487793
4.05e-05,0.000114031967163086
4.06e-05,4.58574676513672e-05
4.07e-05,7.00349426269531e-06
4.08e-05,1.25514831542969e-05
4.09e-05,-1.24260711669922e-05
4.1e-05,1.00688934326172e-05
4.11e-05,2.30931396484375e-05
4.12e-05,3.30516510009766e-05
4.13e-05,7.00702056884766e-05
4.14e-05,0.000119870407104492
4.15e-05,0.000134819610595703
4.16e-05,0.000139001953125
4.17e-05,8.04555358886719e-05
4.18e-05,1.16267242431641e-05
4.19e-05,-9.58805236816406e-05
4.2e-05,-0.000173717727661133
4.21e-05,-0.000183325134277344
4.22e-05,-0.000217902160644531
4.23e-05,-0.000212024505615234
4.24e-05,-0.000138231979370117
4.25e-05,-4.21960754394531e-05
4.26e-05,7.08275451660156e-05
4.27e-05,0.000232042907714844
4.28e-05,0.000319539260864258
4.29e-05,0.000365947204589844
4.3e-05,0.000352497756958008
4.31e-05,0.000260723892211914
4.32e-05,0.00015863786315918
4.33e-05,-3.66836547851563e-06
4.34e-05,-0.000145040176391602
4.35e-05,-0.000231350189208984
4.36e-05,-0.000334980682373047
4.37e-05,-0.000391050094604492
4.38e-05,-0.000429875228881836
4.39e-05,-0.00039877995300293
4.4e-05,-0.000308020034790039
4.41e-05,-0.000223739776611328
4.42e-05,-0.000139713027954102
4.43e-05,-3.90245819091797e-05
4.44e-05,5.5264892578125e-05
4.45e-05,0.000118061752319336
4.46e-05,0.000195109756469727
4.47e-05,0.000282657791137695
4.48e-05,0.000423221618652344
4.49e-05,0.000509066192626953
4.5e-05,0.000584876190185547
4.51e-05,0.000607812347412109
4.52e-05,0.000582961074829102
4.53e-05,0.0005182509765625
4.54e-05,0.000419271911621094
4.55e-05,0.000338424530029297
4.56e-05,0.000190455551147461
4.57e-05,8.34004058837891e-05
4.58e-05,-1.75278930664063e-05
4.59e-05,-8.69640502929688e-05
4.6e-05,-0.000175916610717773
4.61e-05,-0.000234333068847656
4.62e-05,-0.00025914729309082
4.63e-05,-0.000246309112548828
4.64e-05,-0.000215328842163086
4.65e-05,-0.000211985610961914
4.66e-05,-0.000133570495605469
4.67e-05,-8.42842254638672e-05
4.68e-05,-3.17820739746094e-05
4.69e-05,2.91937866210937e-05
4.7e-05,7.86406555175781e-05
4.71e-05,9.19398040771484e-05
4.72e-05,0.000118068313598633
4.73e-05,0.000162088134765625
4.74e-05,0.000209159652709961
4.75e-05,0.000172405120849609
4.76e-05,0.000170220520019531
4.77e-05,0.00015745295715332
4.78e-05,0.000133767333984375
4.79e-05,0.000141684768676758
4.8e-05,0.000130307250976563
4.81e-05,8.49932556152344e-05
4.82e-05,4.01601867675781e-05
4.83e-05,-1.36485748291016e-05
4.84e-05,-5.40452117919922e-05
4.85e-05,-7.77803649902344e-05
4.86e-05,-6.95730438232422e-05
4.87e-05,-6.72293853759766e-05
4.88e-05,-8.59125671386719e-05
4.89e-05,-0.000104418365478516
4.9e-05,-0.000116543853759766
4.91e-05,-0.000124475021362305
4.92e-05,-0.000132638153076172
4.93e-05,-0.00018324169921875
4.94e-05,-0.000196854110717773
4.95e-05,-0.00024565119934082
4.96e-05,-0.000235222457885742
4.97e-05,-0.000178978286743164
4.98e-05,-0.000101032958984375
4.99e-05,2.08236236572266e-05
5e-05,0.000104041442871094
5.01e-05,0.000138956817626953
5.02e-05,0.000184949615478516
5.03e-05,0.000201894866943359
5.04e-05,0.000183449432373047
5.05e-05,0.000194354858398437
5.06e-05,0.000237412780761719
5.07e-05,0.000202115264892578
5.08e-05,0.000188297714233398
5.09e-05,0.000177966506958008
5.1e-05,0.000171908660888672
5.11e-05,0.000276451232910156
5.12e-05,0.000463059936523438
5.13e-05,0.000489510314941406
5.14e-05,0.000387775665283203
5.15e-05,0.000215945755004883
5.16e-05,-0.000148318725585938
5.17e-05,-0.000463299163818359
5.18e-05,-0.000339768249511719
5.19e-05,-0.000112155975341797
5.2e-05,9.95400238037109e-05
5.21e-05,0.000386097610473633
5.22e-05,0.000352845932006836
5.23e-05,0.000185450256347656
5.24e-05,4.09279327392578e-05
5.25e-05,-0.000168341506958008
5.26e-05,-0.000180654861450195
5.27e-05,-4.07962036132813e-05
5.28e-05,-2.17642364501953e-05
5.29e-05,6.55462951660156e-05
5.3e-05,0.000117705383300781
5.31e-05,1.15464630126953e-05
5.32e-05,-3.27439880371094e-05
5.33e-05,-0.000111318771362305
5.34e-05,-0.000182608383178711
5.35e-05,-6.05096282958984e-05
5.36e-05,1.44091491699219e-05
5.37e-05,6.52330017089844e-06
5.38e-05,8.69218902587891e-05
5.39e-05,5.36793975830078e-05
5.4e-05,1.08634948730469e-05
5.41e-05,0.000109486846923828
5.42e-05,0.000144637542724609
5.43e-05,0.000188263854980469
5.44e-05,0.000221833648681641
5.45e-05,0.000174388977050781
5.46e-05,0.000131863342285156
5.47e-05,9.71290588378906e-05
5.48e-05,4.05445861816406e-05
5.49e-05,6.00898132324219e-05
5.5e-05,5.96862182617188e-05
5.51e-05,5.69590759277344e-06
5.52e-05,-3.36494445800781e-06
5.53e-05,-3.60845336914062e-05
5.54e-05,-0.000116341857910156
5.55e-05,-0.00015663134765625
5.56e-05,-0.000176397720336914
5.57e-05,-0.000172983291625977
5.58e-05,-0.000105335494995117
5.59e-05,-4.50291748046875e-05
5.6e-05,1.37588653564453e-05
5.61e-05,1.66984710693359e-05
5.62e-05,1.59025268554688e-05
5.63e-05,-1.94053344726563e-05
5.64e-05,-2.96750640869141e-05
5.65e-05,-4.68407897949219e-05
5.66e-05,-3.37153015136719e-05
5.67e-05,-8.8868408203125e-06
5.68e-05,-2.01907806396484e-05
