t,LDV
0,1.8177490234375e-05
1e-07,3.09344482421875e-05
2e-07,3.11476745605469e-05
3e-07,3.3742919921875e-05
4e-07,2.33753356933594e-05
5e-07,2.60480651855469e-05
6e-07,2.02893676757813e-05
7e-07,2.31723937988281e-05
8e-07,2.85400695800781e-05
9e-07,2.46944885253906e-05
1e-06,2.06188354492188e-05
1.1e-06,3.53851013183594e-05
1.2e-06,2.00029907226562e-05
1.3e-06,2.83196716308594e-05
1.4e-06,3.46081237792969e-05
1.5e-06,3.14520568847656e-05
1.6e-06,2.65641479492188e-05
1.7e-06,8.95236206054688e-06
1.8e-06,3.66795349121094e-05
1.9e-06,2.1476806640625e-05
2e-06,1.28290710449219e-05
2.1e-06,2.06359558105469e-05
2.2e-06,1.75325927734375e-05
2.3e-06,2.95593872070313e-05
2.4e-06,2.22220764160156e-05
2.5e-06,8.98342895507813e-06
2.6e-06,2.72553405761719e-05
2.7e-06,4.33460388183594e-05
2.8e-06,2.43567504882813e-05
2.9e-06,3.21605529785156e-05
3e-06,3.59594421386719e-05
3.1e-06,1.74326477050781e-05
3.2e-06,2.17876586914062e-05
3.3e-06,3.3736572265625e-05
3.4e-06,2.6356201171875e-05
3.5e-06,1.8984619140625e-05
3.6e-06,3.44085083007812e-05
3.7e-06,1.69754333496094e-05
3.8e-06,2.52850646972656e-05
3.9e-06,1.93145446777344e-05
4e-06,2.0635498046875e-05
4.1e-06,3.48910522460938e-05
4.2e-06,2.64676818847656e-05
4.3e-06,2.74121704101563e-05
4.4e-06,2.35696105957031e-05
4.5e-06,3.0745361328125e-05
4.6e-06,3.02087707519531e-05
4.7e-06,1.52578430175781e-05
4.8e-06,2.81524658203125e-05
4.9e-06,3.76087646484375e-05
5e-06,2.81012573242188e-05
5.1e-06,3.68131713867187e-05
5.2e-06,3.38358764648438e-05
5.3e-06,2.35745239257813e-05
5.4e-06,2.22532348632813e-05
5.5e-06,2.66638793945313e-05
5.6e-06,2.15950012207031e-05
5.7e-06,2.68341979980469e-05
5.8e-06,3.60264892578125e-05
5.9e-06,2.27732238769531e-05
6e-06,2.733544921875e-05
6.1e-06,2.26298828125e-05
6.2e-06,2.36169128417969e-05
6.3e-06,2.61211242675781e-05
6.4e-06,4.07733154296875e-05
6.5e-06,2.59585571289063e-05
6.6e-06,2.46330871582031e-05
6.7e-06,3.56520080566406e-05
6.8e-06,3.72901000976562e-05
6.9e-06,2.75916442871094e-05
7e-06,2.9345947265625e-05
7.1e-06,2.29323425292969e-05
7.2e-06,2.5374267578125e-05
7.3e-06,1.98216247558594e-05
7.4e-06,2.17582397460937e-05
7.5e-06,3.19104919433594e-05
7.6e-06,1.96211242675781e-05
7.7e-06,2.24259033203125e-05
7.8e-06,2.56290283203125e-05
7.9e-06,3.3385986328125e-05
8e-06,2.36394348144531e-05
8.1e-06,2.56051940917969e-05
8.2e-06,2.73011169433594e-05
8.3e-06,1.90442504882813e-05
8.4e-06,1.98185424804688e-05
8.5e-06,2.68231506347656e-05
8.6e-06,2.1459228515625e-05
8.7e-06,2.20268859863281e-05
8.8e-06,1.78925170898437e-05
8.9e-06,3.4758544921875e-05
9e-06,3.07730407714844e-05
9.1e-06,2.10122375488281e-05
9.2e-06,3.39057312011719e-05
