,OL,datacase,xs,ys,zs,xi,eta,zeta,dist,xi1,eta1,zeta1
OL01__BD_0220,OL01,BD_0220,0.19,0.05,0.07,0.217,-0.006,0.0,0.09362157870918435,0.027,-0.056,0
OL01__BD_0340,OL01,BD_0340,0.19,0.05,0.07,0.339,0.001,0.0,0.17176146249959567,0.149,-0.049,0
OL01__BD_0460,OL01,BD_0460,0.19,0.05,0.07,0.458,0.001,0.0,0.2812916635807041,0.268,-0.049,0
OL01__BD_0580,OL01,BD_0580,0.19,0.05,0.07,0.578,0.004,0.0,0.39693828235633805,0.388,-0.046,0
OL02__BD_0220,OL02,BD_0220,0.41,0.05,0.07,0.217,-0.006,0.0,0.21280272554645532,-0.193,-0.056,0
OL02__BD_0340,OL02,BD_0340,0.41,0.05,0.07,0.339,0.001,0.0,0.11109455432198284,-0.071,-0.049,0
OL02__BD_0460,OL02,BD_0460,0.41,0.05,0.07,0.458,0.001,0.0,0.09800510190801297,0.048,-0.049,0
OL02__BD_0580,OL02,BD_0580,0.41,0.05,0.07,0.578,0.004,0.0,0.18772320048411703,0.168,-0.046,0
OL02__BD_0700,OL02,BD_0700,0.41,0.05,0.07,0.698,0.0,0.0,0.30057278652599273,0.288,-0.05,0
OL03__BD_0340,OL03,BD_0340,0.64,0.05,0.07,0.339,0.001,0.0,0.3128929529407781,-0.301,-0.049,0
OL03__BD_0460,OL03,BD_0460,0.64,0.05,0.07,0.458,0.001,0.0,0.201059692628831,-0.182,-0.049,0
OL03__BD_0580,OL03,BD_0580,0.64,0.05,0.07,0.578,0.004,0.0,0.10421132376090426,-0.062,-0.046,0
OL03__BD_0700,OL03,BD_0700,0.64,0.05,0.07,0.698,0.0,0.0,0.10374969879474347,0.058,-0.05,0
OL03__BD_0820,OL03,BD_0820,0.64,0.05,0.07,0.817,-0.003,0.0,0.1975803633967707,0.177,-0.053,0
OL03__BD_0940,OL03,BD_0940,0.64,0.05,0.07,0.936,-0.005,0.0,0.30909707213107024,0.296,-0.055,0
OL04__BD_0580,OL04,BD_0580,0.91,0.05,0.07,0.578,0.004,0.0,0.34240327101241314,-0.332,-0.046,0
OL04__BD_0700,OL04,BD_0700,0.91,0.05,0.07,0.698,0.0,0.0,0.2287881115792515,-0.212,-0.05,0
OL04__BD_0820,OL04,BD_0820,0.91,0.05,0.07,0.817,-0.003,0.0,0.1278983971752579,-0.093,-0.053,0
OL04__BD_0940,OL04,BD_0940,0.91,0.05,0.07,0.936,-0.005,0.0,0.09274157643689265,0.026,-0.055,0
OL04__BD_1060,OL04,BD_1060,0.91,0.05,0.07,1.058,-0.002,0.0,0.17177892769487185,0.148,-0.052,0
OL04__BD_1180,OL04,BD_1180,0.91,0.05,0.07,1.175,-0.004,0.0,0.27935819300675613,0.265,-0.054,0
OL05__BD_0820,OL05,BD_0820,1.16,0.05,0.07,0.817,-0.003,0.0,0.35405931706424554,-0.343,-0.053,0
OL05__BD_0940,OL05,BD_0940,1.16,0.05,0.07,0.936,-0.005,0.0,0.24104149020448729,-0.224,-0.055,0
OL05__BD_1060,OL05,BD_1060,1.16,0.05,0.07,1.058,-0.002,0.0,0.13419388957772993,-0.102,-0.052,0
OL05__BD_1180,OL05,BD_1180,1.16,0.05,0.07,1.175,-0.004,0.0,0.08967162315916895,0.015,-0.054,0
OL05__BD_1300,OL05,BD_1300,1.16,0.05,0.07,1.301,0.0,0.0,0.16516960979550688,0.141,-0.05,0
OL05__BD_1420,OL05,BD_1420,1.16,0.05,0.07,1.417,-0.005,0.0,0.2719816170258572,0.257,-0.055,0
OL05__BD_1540,OL05,BD_1540,1.16,0.05,0.07,1.542,-0.003,0.0,0.3919604571892426,0.382,-0.053,0
OL06__BD_1060,OL06,BD_1060,1.37,0.05,0.07,1.058,-0.002,0.0,0.3239567872417555,-0.312,-0.052,0
OL06__BD_1180,OL06,BD_1180,1.37,0.05,0.07,1.175,-0.004,0.0,0.21410511437142277,-0.195,-0.054,0
OL06__BD_1300,OL06,BD_1300,1.37,0.05,0.07,1.301,0.0,0.0,0.11027692415006879,-0.069,-0.05,0
OL06__BD_1420,OL06,BD_1420,1.37,0.05,0.07,1.417,-0.005,0.0,0.10066777041337509,0.047,-0.055,0
OL06__BD_1540,OL06,BD_1540,1.37,0.05,0.07,1.542,-0.003,0.0,0.1931139559948995,0.172,-0.053,0
OL06__BD_1660,OL06,BD_1660,1.37,0.05,0.07,1.659,0.0,0.0,0.30153109292409624,0.289,-0.05,0
OL07__BD_1300,OL07,BD_1300,1.66,0.05,0.07,1.301,0.0,0.0,0.3691625658161997,-0.359,-0.05,0
OL07__BD_1420,OL07,BD_1420,1.66,0.05,0.07,1.417,-0.005,0.0,0.2587933538559287,-0.243,-0.055,0
OL07__BD_1540,OL07,BD_1540,1.66,0.05,0.07,1.542,-0.003,0.0,0.14708160999934689,-0.118,-0.053,0
OL07__BD_1660,OL07,BD_1660,1.66,0.05,0.07,1.659,0.0,0.0,0.08602906485601249,-0.001,-0.05,0
OL07__BD_1780,OL07,BD_1780,1.66,0.05,0.07,1.776,0.002,0.0,0.14373586887064768,0.116,-0.048,0
OL07__BD_1900,OL07,BD_1900,1.66,0.05,0.07,1.899,-0.002,0.0,0.2544110846641711,0.239,-0.052,0
OL07__BD_2020,OL07,BD_2020,1.66,0.05,0.07,2.02,0.001,0.0,0.3700013513488837,0.36,-0.049,0
OL08__BD_1540,OL08,BD_1540,1.91,0.05,0.07,1.542,-0.003,0.0,0.37832922171040384,-0.368,-0.053,0
OL08__BD_1660,OL08,BD_1660,1.91,0.05,0.07,1.659,0.0,0.0,0.2653318676676436,-0.251,-0.05,0
OL08__BD_1780,OL08,BD_1780,1.91,0.05,0.07,1.776,0.002,0.0,0.15861904047118672,-0.134,-0.048,0
OL08__BD_1900,OL08,BD_1900,1.91,0.05,0.07,1.899,-0.002,0.0,0.08789197915623473,-0.011,-0.052,0
OL08__BD_2020,OL08,BD_2020,1.91,0.05,0.07,2.02,0.001,0.0,0.13928747251637535,0.11,-0.049,0
OL08__BD_2140,OL08,BD_2140,1.91,0.05,0.07,2.136,-0.007,0.0,0.24336187047275934,0.226,-0.057,0
OL08__BD_2260,OL08,BD_2260,1.91,0.05,0.07,2.258,-0.001,0.0,0.35861539286539285,0.348,-0.051,0
OL09__BD_1780,OL09,BD_1780,2.16,0.05,0.07,1.776,0.002,0.0,0.3932683562149389,-0.384,-0.048,0
OL09__BD_1900,OL09,BD_1900,2.16,0.05,0.07,1.899,-0.002,0.0,0.2751817581163404,-0.261,-0.052,0
OL09__BD_2020,OL09,BD_2020,2.16,0.05,0.07,2.02,0.001,0.0,0.16401524319403984,-0.14,-0.049,0
OL09__BD_2140,OL09,BD_2140,2.16,0.05,0.07,2.136,-0.007,0.0,0.09340770846134704,-0.024,-0.057,0
OL09__BD_2260,OL09,BD_2260,2.16,0.05,0.07,2.258,-0.001,0.0,0.13078608488673393,0.098,-0.051,0
OL09__BD_2380,OL09,BD_2380,2.16,0.05,0.07,2.373,-0.002,0.0,0.23015864094141683,0.213,-0.052,0
OL09__BD_2500,OL09,BD_2500,2.16,0.05,0.07,2.5,0.002,0.0,0.35043401661368423,0.34,-0.048,0
OL10__BD_2020,OL10,BD_2020,2.41,0.05,0.07,2.02,0.001,0.0,0.399250547901941,-0.39,-0.049,0
OL10__BD_2140,OL10,BD_2140,2.41,0.05,0.07,2.136,-0.007,0.0,0.2884874347350332,-0.274,-0.057,0
OL10__BD_2260,OL10,BD_2260,2.41,0.05,0.07,2.258,-0.001,0.0,0.1749428478103636,-0.152,-0.051,0
OL10__BD_2380,OL10,BD_2380,2.41,0.05,0.07,2.373,-0.002,0.0,0.09472592042308164,-0.037,-0.052,0
OL10__BD_2500,OL10,BD_2500,2.41,0.05,0.07,2.5,0.002,0.0,0.12370933675353682,0.09,-0.048,0
OL10__BD_2620,OL10,BD_2620,2.41,0.05,0.07,2.62,-0.005,0.0,0.22808989455914083,0.21,-0.055,0
OL10__BD_2740,OL10,BD_2740,2.41,0.05,0.07,2.74,-0.003,0.0,0.34148059974177164,0.33,-0.053,0
OL11__BD_2380,OL11,BD_2380,2.65,0.05,0.07,2.373,-0.002,0.0,0.29040144627739,-0.277,-0.052,0
OL11__BD_2500,OL11,BD_2500,2.65,0.05,0.07,2.5,0.002,0.0,0.1723484841824841,-0.15,-0.048,0
OL11__BD_2620,OL11,BD_2620,2.65,0.05,0.07,2.62,-0.005,0.0,0.09394147114027962,-0.03,-0.055,0
OL11__BD_2740,OL11,BD_2740,2.65,0.05,0.07,2.74,-0.003,0.0,0.12573384588089262,0.09,-0.053,0
OL11__BD_2860,OL11,BD_2860,2.65,0.05,0.07,2.861,-0.002,0.0,0.22830900113661776,0.211,-0.052,0
OL11__BD_2980,OL11,BD_2980,2.65,0.05,0.07,2.98,0.001,0.0,0.3408826777646527,0.33,-0.049,0
OL12__BD_2620,OL12,BD_2620,2.91,0.05,0.07,2.62,-0.005,0.0,0.3033562262423503,-0.29,-0.055,0
OL12__BD_2740,OL12,BD_2740,2.91,0.05,0.07,2.74,-0.003,0.0,0.1913347851280576,-0.17,-0.053,0
