,datacase,X,Y,Z,Er
0,BD_0220,0.217,-0.006,0.0,3.2478649418055434e-08
1,BD_0340,0.339,0.001,0.0,9.053873041325257e-08
2,BD_0460,0.458,0.001,0.0,1.2717790572809324e-07
3,BD_0580,0.578,0.004,0.0,1.662998037515994e-09
4,BD_0700,0.698,0.0,0.0,1.0961119706927624e-08
5,BD_0820,0.817,-0.003,0.0,3.0116729002777905e-08
6,BD_0940,0.936,-0.005,0.0,6.126504367397424e-08
7,BD_1060,1.058,-0.002,0.0,4.8967713076566235e-09
8,BD_1180,1.175,-0.004,0.0,2.055599468608775e-08
9,BD_1300,1.301,0.0,0.0,6.156043753079211e-09
10,BD_1420,1.417,-0.005,0.0,1.7220902937209403e-07
11,BD_1540,1.542,-0.003,0.0,3.5048661042333066e-09
12,BD_1660,1.659,0.0,0.0,1.7445723478821687e-07
13,BD_1780,1.776,0.002,0.0,1.2766696840416983e-07
14,BD_1900,1.899,-0.002,0.0,6.53354939516667e-08
15,BD_2020,2.02,0.001,0.0,8.028597447280363e-08
16,BD_2140,2.136,-0.007,0.0,3.552183387746026e-09
17,BD_2260,2.258,-0.001,0.0,2.2512956774625238e-07
18,BD_2380,2.373,-0.002,0.0,1.2142432830063922e-08
19,BD_2500,2.5,0.002,0.0,2.8328374834599715e-07
20,BD_2620,2.62,-0.005,0.0,6.026686254861229e-09
21,BD_2740,2.74,-0.003,0.0,5.7345296787894487e-08
22,BD_2860,2.861,-0.002,0.0,1.005899299527122e-07
23,BD_2980,2.98,0.001,0.0,8.06380842885174e-09
24,BD_3100,3.095,-0.001,0.0,2.90631190178115e-07
25,BD_3220,3.218,-0.004,0.0,1.4142086798883659e-07
26,BD_3340,3.341,0.004,0.0,1.4378332783498687e-09
27,BD_3460,3.461,0.002,0.0,1.7674413586925162e-08
28,BD_3580,3.579,-0.002,0.0,7.815636373395931e-08
29,BD_3700,3.699,0.002,0.0,1.2890996506539202e-07
30,BD_3820,3.821,0.007,0.0,4.350505988764645e-08
31,BD_3940,3.941,0.001,0.0,1.915130392260187e-07
