# balldrop event loc for green's function
#     x     y    z    gid
# --------------------------------------------------------------------------------------------
2.70000000e-05 1.00000000e-06 5.60000000e-05 0
1.49000000e-04 1.00000000e-06 4.90000000e-05 1
2.68000000e-04 1.00000000e-06 4.90000000e-05 2
3.88000000e-04 1.00000000e-06 4.60000000e-05 3
-1.93000000e-04 1.00000000e-06 5.60000000e-05 4
-7.10000000e-05 1.00000000e-06 4.90000000e-05 5
4.80000000e-05 1.00000000e-06 4.90000000e-05 6
1.68000000e-04 1.00000000e-06 4.60000000e-05 7
2.88000000e-04 1.00000000e-06 5.00000000e-05 8
-3.01000000e-04 1.00000000e-06 4.90000000e-05 9
-1.82000000e-04 1.00000000e-06 4.90000000e-05 10
-6.20000000e-05 1.00000000e-06 4.60000000e-05 11
5.80000000e-05 1.00000000e-06 5.00000000e-05 12
1.77000000e-04 1.00000000e-06 5.30000000e-05 13
2.96000000e-04 1.00000000e-06 5.50000000e-05 14
-3.32000000e-04 1.00000000e-06 4.60000000e-05 15
-2.12000000e-04 1.00000000e-06 5.00000000e-05 16
-9.30000000e-05 1.00000000e-06 5.30000000e-05 17
2.60000000e-05 1.00000000e-06 5.50000000e-05 18
1.48000000e-04 1.00000000e-06 5.20000000e-05 19
2.65000000e-04 1.00000000e-06 5.40000000e-05 20
-3.43000000e-04 1.00000000e-06 5.30000000e-05 21
-2.24000000e-04 1.00000000e-06 5.50000000e-05 22
-1.02000000e-04 1.00000000e-06 5.20000000e-05 23
1.50000000e-05 1.00000000e-06 5.40000000e-05 24
1.41000000e-04 1.00000000e-06 5.00000000e-05 25
2.57000000e-04 1.00000000e-06 5.50000000e-05 26
3.82000000e-04 1.00000000e-06 5.30000000e-05 27
-3.12000000e-04 1.00000000e-06 5.20000000e-05 28
-1.95000000e-04 1.00000000e-06 5.40000000e-05 29
-6.90000000e-05 1.00000000e-06 5.00000000e-05 30
4.70000000e-05 1.00000000e-06 5.50000000e-05 31
1.72000000e-04 1.00000000e-06 5.30000000e-05 32
2.89000000e-04 1.00000000e-06 5.00000000e-05 33
-3.59000000e-04 1.00000000e-06 5.00000000e-05 34
-2.43000000e-04 1.00000000e-06 5.50000000e-05 35
-1.18000000e-04 1.00000000e-06 5.30000000e-05 36
-1.00000000e-06 1.00000000e-06 5.00000000e-05 37
1.16000000e-04 1.00000000e-06 4.80000000e-05 38
2.39000000e-04 1.00000000e-06 5.20000000e-05 39
3.60000000e-04 1.00000000e-06 4.90000000e-05 40
-3.68000000e-04 1.00000000e-06 5.30000000e-05 41
-2.51000000e-04 1.00000000e-06 5.00000000e-05 42
-1.34000000e-04 1.00000000e-06 4.80000000e-05 43
-1.10000000e-05 1.00000000e-06 5.20000000e-05 44
1.10000000e-04 1.00000000e-06 4.90000000e-05 45
2.26000000e-04 1.00000000e-06 5.70000000e-05 46
3.48000000e-04 1.00000000e-06 5.10000000e-05 47
-3.84000000e-04 1.00000000e-06 4.80000000e-05 48
-2.61000000e-04 1.00000000e-06 5.20000000e-05 49
-1.40000000e-04 1.00000000e-06 4.90000000e-05 50
-2.40000000e-05 1.00000000e-06 5.70000000e-05 51
9.80000000e-05 1.00000000e-06 5.10000000e-05 52
2.13000000e-04 1.00000000e-06 5.20000000e-05 53
3.40000000e-04 1.00000000e-06 4.80000000e-05 54
-3.90000000e-04 1.00000000e-06 4.90000000e-05 55
-2.74000000e-04 1.00000000e-06 5.70000000e-05 56
-1.52000000e-04 1.00000000e-06 5.10000000e-05 57
-3.70000000e-05 1.00000000e-06 5.20000000e-05 58
9.00000000e-05 1.00000000e-06 4.80000000e-05 59
2.10000000e-04 1.00000000e-06 5.50000000e-05 60
3.30000000e-04 1.00000000e-06 5.30000000e-05 61
-2.77000000e-04 1.00000000e-06 5.20000000e-05 62
-1.50000000e-04 1.00000000e-06 4.80000000e-05 63
-3.00000000e-05 1.00000000e-06 5.50000000e-05 64
9.00000000e-05 1.00000000e-06 5.30000000e-05 65
2.11000000e-04 1.00000000e-06 5.20000000e-05 66
3.30000000e-04 1.00000000e-06 4.90000000e-05 67
-2.90000000e-04 1.00000000e-06 5.50000000e-05 68
-1.70000000e-04 1.00000000e-06 5.30000000e-05 69
-4.90000000e-05 1.00000000e-06 5.20000000e-05 70
7.00000000e-05 1.00000000e-06 4.90000000e-05 71
1.85000000e-04 1.00000000e-06 5.10000000e-05 72
3.08000000e-04 1.00000000e-06 5.40000000e-05 73
-2.99000000e-04 1.00000000e-06 5.20000000e-05 74
-1.80000000e-04 1.00000000e-06 4.90000000e-05 75
-6.50000000e-05 1.00000000e-06 5.10000000e-05 76
5.80000000e-05 1.00000000e-06 5.40000000e-05 77
1.81000000e-04 1.00000000e-06 4.60000000e-05 78
3.01000000e-04 1.00000000e-06 4.80000000e-05 79
-3.15000000e-04 1.00000000e-06 5.10000000e-05 80
-1.92000000e-04 1.00000000e-06 5.40000000e-05 81
-6.90000000e-05 1.00000000e-06 4.60000000e-05 82
5.10000000e-05 1.00000000e-06 4.80000000e-05 83
1.69000000e-04 1.00000000e-06 5.20000000e-05 84
2.89000000e-04 1.00000000e-06 4.80000000e-05 85
-3.19000000e-04 1.00000000e-06 4.60000000e-05 86
-1.99000000e-04 1.00000000e-06 4.80000000e-05 87
-8.10000000e-05 1.00000000e-06 5.20000000e-05 88
3.90000000e-05 1.00000000e-06 4.80000000e-05 89
1.61000000e-04 1.00000000e-06 4.30000000e-05 90
2.81000000e-04 1.00000000e-06 4.90000000e-05 91
-3.31000000e-04 1.00000000e-06 5.20000000e-05 92
-2.11000000e-04 1.00000000e-06 4.80000000e-05 93
-8.90000000e-05 1.00000000e-06 4.30000000e-05 94
3.10000000e-05 1.00000000e-06 4.90000000e-05 95
6.80000000e-05 1.00000000e-06 4.40000000e-05 96
-5.40000000e-05 1.00000000e-06 5.10000000e-05 97
-1.73000000e-04 1.00000000e-06 5.10000000e-05 98
-2.93000000e-04 1.00000000e-06 5.40000000e-05 99
3.18000000e-04 1.00000000e-06 4.40000000e-05 100
1.96000000e-04 1.00000000e-06 5.10000000e-05 101
7.70000000e-05 1.00000000e-06 5.10000000e-05 102
-4.30000000e-05 1.00000000e-06 5.40000000e-05 103
-1.63000000e-04 1.00000000e-06 5.00000000e-05 104
