,onset_npt,sensor,onset_t[ms],onset_d_ref[mm]
fb03-087__0129,301,OL07,      0.0201,      124.62
fb03-087__0088,299,OL07,      0.0199,      123.38
fb03-087__0031,303,OL07,      0.0203,      125.86
fb03-087__0020,299,OL07,      0.0199,      123.38
fb03-087__0027,301,OL07,      0.0201,      124.62
fb03-087__0095,298,OL07,      0.0198,      122.76
fb03-087__0072,300,OL07,        0.02,         124
fb03-087__0061,301,OL07,      0.0201,      124.62
fb03-087__0131,297,OL07,      0.0197,      122.14
fb03-087__0018,298,OL07,      0.0198,      122.76
fb03-087__0099,302,OL07,      0.0202,      125.24
fb03-087__0120,299,OL07,      0.0199,      123.38
fb03-087__0077,296,OL07,      0.0196,      121.52
fb03-087__0062,301,OL07,      0.0201,      124.62
fb03-087__0004,301,OL07,      0.0201,      124.62
fb03-087__0089,300,OL07,        0.02,         124
fb03-087__0085,303,OL07,      0.0203,      125.86
fb03-087__0052,300,OL07,        0.02,         124
fb03-087__0111,299,OL07,      0.0199,      123.38
fb03-087__0100,299,OL07,      0.0199,      123.38
fb03-087__0109,299,OL07,      0.0199,      123.38
fb03-087__0055,303,OL07,      0.0203,      125.86
fb03-087__0076,297,OL07,      0.0197,      122.14
fb03-087__0069,302,OL07,      0.0202,      125.24
fb03-087__0050,306,OL07,      0.0206,      127.72
fb03-087__0075,303,OL07,      0.0203,      125.86
fb03-087__0038,300,OL07,        0.02,         124
fb03-087__0040,299,OL07,      0.0199,      123.38
fb03-087__0043,299,OL07,      0.0199,      123.38
fb03-087__0102,298,OL07,      0.0198,      122.76
fb03-087__0118,299,OL07,      0.0199,      123.38
fb03-087__0059,292,OL07,      0.0192,      119.04
fb03-087__0044,297,OL07,      0.0197,      122.14
fb03-087__0030,287,OL07,      0.0187,      115.94
fb03-087__0024,292,OL07,      0.0192,      119.04
fb03-087__0110,276,OL07,      0.0176,      109.12
fb03-087__0019,291,OL07,      0.0191,      118.42
fb03-087__0009,291,OL07,      0.0191,      118.42
fb03-087__0081,290,OL07,       0.019,       117.8
fb03-087__0049,291,OL07,      0.0191,      118.42
fb03-087__0037,297,OL07,      0.0197,      122.14
fb03-087__0126,295,OL07,      0.0195,       120.9
fb03-087__0021,296,OL07,      0.0196,      121.52
fb03-087__0128,299,OL07,      0.0199,      123.38
