datacase,rdist,incidentangle,dip,azimuth,k_M0uz,TR,beta_coef_p,OL
fb03-087__0004,  0.09662687,   55.269486,   43.578036,  -55.737352,1.3874895e+15,     3.3e-06,  0.71152195,OL23
fb03-087__0009,  0.09795567,   56.720919,   44.388838,   -51.66666,1.3171758e+15,     3.1e-06,  0.66791734,OL23
fb03-087__0018,  0.09648867,   56.147263,   43.491725,   -54.03606,1.3543821e+15,     3.5e-06,  0.73553725,OL23
fb03-087__0019,  0.09754614,   57.089207,   44.142564,  -51.274335,1.3115623e+15,     3.1e-06,  0.66547626,OL23
fb03-087__0020,  0.09621103,   56.394546,   43.317161,  -53.781163,1.350143e+15,     3.3e-06,  0.70458302,OL23
fb03-087__0021,  0.09636941,   55.740776,   43.416934,  -54.990263,1.3724613e+15,       3e-06,   0.6553203,OL23
fb03-087__0024,  0.09844827,   56.560868,   44.680949,  -51.598716,1.316864e+15,     3.1e-06,  0.66898419,OL23
fb03-087__0027,  0.09577057,   56.793167,   43.036971,  -53.366788,1.3436331e+15,     3.3e-06,  0.70216122,OL23
fb03-087__0030,  0.09843907,   52.445622,   44.675534,  -60.101098,1.501387e+15,     3.3e-06,  0.72956361,OL23
fb03-087__0031,  0.09891184,    54.84676,   44.951838,   -54.58146,1.3653816e+15,     3.2e-06,  0.69805947,OL23
fb03-087__0037,  0.09280524,   55.361646,   41.038571,   -59.96354,1.5144734e+15,     3.8e-06,  0.77618806,OL23
fb03-087__0038,  0.09555757,   58.097377,   42.900017,  -50.927504,1.3078021e+15,     2.8e-06,  0.59391038,OL23
fb03-087__0040,  0.09388083,   59.179399,   41.787093,  -50.253061,1.3034933e+15,     2.8e-06,  0.58598345,OL23
fb03-087__0043,  0.09559844,   55.425464,    42.92637,  -56.431968,1.404436e+15,     3.2e-06,  0.69426827,OL23
fb03-087__0044,  0.09552781,    59.31468,   42.880805,  -48.586054,1.281554e+15,     3.2e-06,  0.66993017,OL23
fb03-087__0049,  0.09790078,   57.049243,   44.356012,  -51.078718,1.3093188e+15,     2.9e-06,  0.62486779,OL23
fb03-087__0050,  0.09505952,    56.65661,   42.575984,   -54.33287,1.3622997e+15,     3.5e-06,  0.73270347,OL23
fb03-087__0052,  0.09799935,   55.611619,   44.414921,  -53.806793,1.3503427e+15,     3.4e-06,  0.72452244,OL23
fb03-087__0055,  0.09309706,   56.229239,    41.24447,   -57.47511,1.4403332e+15,     3.3e-06,  0.70559306,OL23
fb03-087__0059,  0.09817363,   56.804374,   44.518637,  -51.340192, 1.31303e+15,     3.6e-06,  0.74520252,OL23
fb03-087__0061,  0.09614832,   56.190598,   43.277515,  -54.260222,1.3588136e+15,     3.3e-06,  0.70582963,OL23
fb03-087__0062,  0.09713296,   55.332859,   43.890865,   -55.12996,1.3747038e+15,     3.3e-06,  0.71112712,OL23
fb03-087__0069,  0.09523833,   58.119546,   42.692937,  -51.160061,1.3113915e+15,     2.9e-06,  0.61718996,OL23
fb03-087__0072,  0.09699098,   55.454324,   43.803612,   -55.00798,1.372336e+15,     3.3e-06,  0.71037166,OL23
fb03-087__0075,  0.09405617,    58.42439,    41.90647,  -51.625066,1.3210011e+15,       3e-06,  0.63675001,OL23
fb03-087__0076,  0.09553304,   57.556777,   42.884183,  -52.028396,1.3229907e+15,     2.8e-06,  0.59795172,OL23
fb03-087__0077,  0.09651036,   55.618108,   43.505297,  -55.113952,1.374769e+15,       3e-06,  0.65619511,OL23
fb03-087__0081,   0.0980322,   57.792426,   44.434513,  -49.579806,1.2919297e+15,     3.1e-06,  0.66086966,OL23
fb03-087__0085,  0.09432159,    59.93741,    42.08581,  -48.366461,1.2816906e+15,     2.9e-06,  0.60460254,OL23
fb03-087__0088,  0.09693587,   55.252252,   43.769638,  -55.480476,1.3818896e+15,     3.1e-06,  0.67783994,OL23
fb03-087__0089,  0.09566119,   56.893394,   42.966763,  -53.261918,1.3420583e+15,     3.3e-06,  0.70155541,OL23
fb03-087__0095,  0.09733223,   55.413942,   44.012665,  -54.782407,1.3678786e+15,     3.4e-06,   0.7256934,OL23
fb03-087__0099,  0.09648867,   56.147263,   43.491725,   -54.03606,1.3543821e+15,     3.6e-06,  0.74869226,OL23
fb03-087__0100,  0.09655309,   56.351302,   43.532005,   -53.56089,1.3460217e+15,     3.1e-06,  0.67038654,OL23
fb03-087__0102,  0.09587101,   56.438884,    43.10122,  -54.004779,1.3545689e+15,     3.3e-06,  0.70431268,OL23
fb03-087__0109,  0.09776284,   54.802624,    44.27327,  -55.657946,1.385507e+15,       3e-06,  0.66206547,OL23
fb03-087__0110,  0.09165697,   56.191251,   40.207001,  -59.534455,1.5106958e+15,     3.7e-06,  0.76070088,OL23
fb03-087__0111,  0.09739225,   55.616687,   44.049201,   -54.31478,1.3591081e+15,       3e-06,  0.65620526,OL23
fb03-087__0118,  0.09495394,   59.284602,   42.506598,  -49.108112,1.2876533e+15,     2.8e-06,  0.58522446,OL23
fb03-087__0120,  0.09622889,   55.863803,   43.328438,  -54.865807,1.3701864e+15,     3.4e-06,  0.72303488,OL23
fb03-087__0126,  0.09503289,   58.609218,   42.558506,  -50.365631,1.301677e+15,     2.8e-06,  0.59013341,OL23
fb03-087__0128,  0.09712395,   54.608741,   43.885339,   -56.66397,1.4076707e+15,     3.1e-06,  0.68227883,OL23
fb03-087__0129,  0.09617075,   57.797965,   43.291705,  -51.000967,1.3080626e+15,     3.3e-06,  0.69614542,OL23
fb03-087__0131,  0.09572878,   58.512741,   43.010177,  -49.969741,1.2959025e+15,     2.7e-06,  0.56524591,OL23
