index,expr_id,datacase,gougeevent_id,AEsensor,Qinv_quart,M0,Tw,Tshift,stf_type,peakSTFamp,fitting_flag,error_fraction,error_thresh,RMSE,SNR_sensor,SNR_thresh,validflag
fb03-087__OL23,fb03-087,fb03-087__0004,4,23,50,3.59696370e-01,2.52632129e-06,2.67009350e-08,cosine,2.84758897e+05,True,5.79320649e-03,6.00000000e-02,1.64966709e+03,1.51881151e+01,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0004,4,7,50,6.64095807e-01,2.75977095e-06,-1.68031172e-08,cosine,4.81268786e+05,True,8.78946408e-03,6.00000000e-02,4.23009471e+03,2.39979373e+01,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0004,4,8,50,5.65187521e-01,2.38906653e-06,3.45264108e-08,cosine,4.73145066e+05,True,3.97251873e-03,6.00000000e-02,1.87957764e+03,2.72355536e+01,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0004,4,22,50,7.81446802e-01,2.56030128e-06,-2.86077164e-08,cosine,6.10433243e+05,True,1.09494958e-02,6.00000000e-02,6.68393624e+03,2.97514068e+01,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0009,9,23,50,3.71831585e-02,2.71490338e-06,-1.91791263e-07,cosine,2.73918743e+04,True,5.93222590e-02,6.00000000e-02,1.62494786e+03,8.75687980e+00,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0009,9,7,50,5.07682226e-02,2.59868439e-06,-1.14133675e-07,cosine,3.90722353e+04,True,2.46737849e-02,6.00000000e-02,9.64059928e+02,1.53304940e+01,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0009,9,8,50,4.57360708e-02,1.98225041e-06,-1.15153304e-07,cosine,4.61455745e+04,True,2.39358812e-02,6.00000000e-02,1.10453499e+03,1.61220093e+01,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0009,9,22,50,5.42768480e-02,2.08925627e-06,-7.10101210e-08,cosine,5.19580567e+04,True,4.55560867e-02,6.00000000e-02,2.36700574e+03,5.34388363e+00,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0018,18,23,50,5.27884671e-01,3.29750962e-06,-1.29971851e-07,cosine,3.20171725e+05,True,3.15024178e-02,6.00000000e-02,1.00861834e+04,9.52238365e+00,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0018,18,7,50,7.24351329e-01,2.79541348e-06,-1.39413989e-08,cosine,5.18242710e+05,True,9.16810999e-03,6.00000000e-02,4.75130617e+03,1.15207084e+01,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0018,18,8,50,7.74688727e-01,2.81023732e-06,-9.30578921e-08,cosine,5.51333142e+05,True,2.63820516e-02,6.00000000e-02,1.45452994e+04,1.11680093e+01,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0018,18,22,50,9.96393583e-01,2.55912499e-06,-2.87995738e-08,cosine,7.78698646e+05,True,7.82503509e-03,6.00000000e-02,6.09334423e+03,2.07983112e+01,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0019,19,23,50,3.94590562e-02,2.74944346e-06,-1.66121665e-07,cosine,2.87033043e+04,True,4.51161993e-02,6.00000000e-02,1.29498400e+03,1.77919945e+01,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0019,19,7,50,5.56881837e-02,2.60988019e-06,-1.12935397e-07,cosine,4.26748966e+04,True,2.54767759e-02,6.00000000e-02,1.08721878e+03,2.07154507e+01,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0019,19,8,50,4.87288436e-02,2.12130856e-06,-7.98778181e-09,cosine,4.59422495e+04,True,1.79884599e-02,6.00000000e-02,8.26430315e+02,8.65523733e+00,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0019,19,22,50,7.91453664e-02,2.45729929e-06,-2.04644973e-07,cosine,6.44165461e+04,True,5.22869017e-02,6.00000000e-02,3.36814161e+03,2.23594043e+01,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0020,20,23,50,6.01122171e-01,2.92119561e-06,-6.66452368e-08,cosine,4.11559000e+05,True,3.33560128e-02,6.00000000e-02,1.37279673e+04,1.09541085e+01,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0020,20,7,50,8.42966014e-01,2.82222731e-06,-1.62627617e-08,cosine,5.97376227e+05,True,1.14887264e-02,6.00000000e-02,6.86309203e+03,1.54018165e+01,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0020,20,8,50,9.06192769e-01,2.71319181e-06,-6.77253925e-08,cosine,6.67990199e+05,True,1.87843041e-02,6.00000000e-02,1.25477310e+04,1.12138634e+01,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0020,20,22,50,1.11158220e+00,2.60834542e-06,-5.37836006e-08,cosine,8.52327144e+05,True,9.24919983e-03,6.00000000e-02,7.88334408e+03,2.31546272e+01,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0021,21,23,50,1.71156471e-02,2.23721461e-06,-7.79339846e-08,cosine,1.53008541e+04,True,2.55777712e-02,6.00000000e-02,3.91361745e+02,2.31285982e+01,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0021,21,7,50,2.12498479e-02,2.60928840e-06,-1.53507163e-07,cosine,1.62878491e+04,True,3.13877067e-02,6.00000000e-02,5.11238230e+02,2.63644748e+01,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0021,21,8,50,2.49058884e-02,2.09732794e-06,1.27489177e-09,cosine,2.37501136e+04,True,2.37893363e-02,6.00000000e-02,5.64999439e+02,2.33233165e+01,4.50000000e+00,1
fb03-087__OL22,fb03-087,fb03-087__0021,21,22,50,2.25922404e-02,2.29611609e-06,-1.07025498e-07,cosine,1.96786477e+04,True,2.68664191e-02,6.00000000e-02,5.28694797e+02,1.79490543e+01,4.50000000e+00,1
fb03-087__OL23,fb03-087,fb03-087__0024,24,23,50,4.33097007e-02,2.77599570e-06,-1.77999530e-07,cosine,3.12030027e+04,True,4.46717803e-02,6.00000000e-02,1.39389368e+03,1.25384359e+01,4.50000000e+00,1
fb03-087__OL07,fb03-087,fb03-087__0024,24,7,50,6.41626698e-02,2.59868743e-06,-1.11598328e-07,cosine,4.93808108e+04,True,2.29767813e-02,6.00000000e-02,1.13461209e+03,1.34460864e+01,4.50000000e+00,1
fb03-087__OL08,fb03-087,fb03-087__0024,24,8,50,6.08837545e-02,2.13429893e-06,1.66899828e-08,cosine,5.70526655e+04,True,1.43158036e-02,6.00000000e-02,8.16754757e+02,2.17944975e+01,4.50000000e+00,1
