index,datacase,gougeevent_id,Qinv_quart,Nvalidsensors,M0_mean,M0_std,Tw_mean,Tw_std
fb03-087,fb03-087__0004,4,50,4,5.94031154e-01,1.79160073e-01,2.55790390e-06,1.51644212e-07
fb03-087,fb03-087__0009,9,50,4,4.71354187e-02,7.49674798e-03,2.34655744e-06,3.63031436e-07
fb03-087,fb03-087__0018,18,50,4,7.57592494e-01,1.93623653e-01,2.86450741e-06,3.10991177e-07
fb03-087,fb03-087__0019,19,50,4,5.60714658e-02,1.72486221e-02,2.48460340e-06,2.69961383e-07
fb03-087,fb03-087__0020,20,50,4,8.67075478e-01,2.09969870e-01,2.76654414e-06,1.37911199e-07
fb03-087,fb03-087__0021,21,50,4,2.16730863e-02,3.11631018e-03,2.33644605e-06,2.06490717e-07
fb03-087,fb03-087__0024,24,50,4,6.58042012e-02,2.11529469e-02,2.46166691e-06,2.82579642e-07
fb03-087,fb03-087__0027,27,50,4,7.63685367e-01,2.10828972e-01,2.55290465e-06,2.01930528e-07
fb03-087,fb03-087__0030,30,50,2,5.16390868e-02,1.04585947e-02,2.61275685e-06,2.34679650e-07
fb03-087,fb03-087__0031,31,50,4,9.74691446e-01,2.62768416e-01,2.58397317e-06,2.15534525e-07
fb03-087,fb03-087__0037,37,50,3,2.45201117e-02,2.40037169e-03,2.11993728e-06,5.03397441e-07
fb03-087,fb03-087__0038,38,50,4,2.71880309e-01,9.36404680e-02,2.25069227e-06,2.28884230e-07
fb03-087,fb03-087__0040,40,50,4,2.03866652e-01,3.91294136e-02,2.16068807e-06,1.99398108e-07
fb03-087,fb03-087__0043,43,50,4,1.86633400e-01,4.78134073e-02,2.36259417e-06,1.86862428e-07
fb03-087,fb03-087__0044,44,50,4,6.95001543e-02,1.58442657e-02,2.44810841e-06,3.30028564e-07
fb03-087,fb03-087__0049,49,50,2,6.01057207e-02,2.93747217e-02,2.62965157e-06,6.03992116e-08
fb03-087,fb03-087__0050,50,50,4,3.27197124e-01,1.51255495e-01,2.57681224e-06,3.08225502e-07
fb03-087,fb03-087__0052,52,50,4,4.82490139e-01,1.24658405e-01,2.60096489e-06,2.06291896e-07
fb03-087,fb03-087__0055,55,50,2,2.86561967e-01,2.50707969e-02,2.50607481e-06,6.41583905e-09
fb03-087,fb03-087__0059,59,50,3,1.04693087e-01,6.47152316e-02,2.79557538e-06,3.32755988e-07
fb03-087,fb03-087__0061,61,50,4,7.40953619e-01,1.93410281e-01,2.61373977e-06,1.97686389e-07
fb03-087,fb03-087__0062,62,50,4,5.91411187e-01,1.65057401e-01,2.53935771e-06,1.76247283e-07
fb03-087,fb03-087__0069,69,50,4,2.58748883e-01,3.31686599e-02,2.11161178e-06,1.77279996e-07
fb03-087,fb03-087__0072,72,50,4,8.10726230e-01,1.81636529e-01,2.60537201e-06,1.73035783e-07
