X,Y
 -0.22723350,  0.40804738
 -1.32798462,  0.37037866
 -0.12157612,  0.45721123
 -1.25371336,  0.39523601
 -0.06275009,  0.44188986
 -1.66825078,  0.36360949
 -1.18283714,  0.39173032
 -0.11912874,  0.40596296
 -0.01227083,  0.41229593
 -0.56700890,  0.35301641
 -0.69242087,  0.33473272
 -0.73004543,  0.37365603
 -1.15837378,  0.38886730
 -0.48628117,  0.41144783
 -0.31773039,  0.41523198
 -0.13133232,  0.41734884
 -0.22912510,  0.40507971
 -0.58881846,  0.32471692
 -0.09223929,  0.41597978
 -0.11000785,  0.42039601
 -0.31618825,  0.36035629
  0.09870823,  0.38262630
 -0.30907858,  0.39403673
 -0.04142108,  0.44298680
 -0.08374137,  0.47024782
 -0.15698692,  0.46475158
 -0.15722369,  0.44678079
 -0.10931220,  0.44088598
 -1.88850273,  0.34856286
  0.05355389,  0.41935145
 -0.14482521,  0.39737887
