Instrument_Number,Instrument_Label,Channel_Number,Channel_Label,North,East,Down,On,Type,Axis_Number,Gain,Sensitivity,Vmax,LowFreq,HighFreq,Orientation_N,Orientation_E,Orientation_D,Motion,P_Station_Correction,S_Station_Correction,Owner_Array,Array_Instrument_Number,Array_Channel_Number
1,OL01,1,A,190,50,70,1,0,0,1,1,1,10000,5000000,0,1,0,1,0,0,,0,0
2,OL02,2,A,410,50,70,1,0,0,1,1,1,10000,5000000,0,1,0,1,0,0,,0,0
3,OL03,3,A,640,50,70,1,0,0,1,1,1,10000,5000000,0,1,0,1,0,0,,0,0
4,OL04,4,A,910,50,70,1,0,0,1,1,1,10000,5000000,0,1,0,1,0,0,,0,0
5,OL05,5,A,1160,50,70,1,0,0,1,1,1,10000,5000000,0,1,0,1,0,0,,0,0
6,OL06,6,A,1370,50,70,1,0,0,1,1,1,10000,5000000,0,1,0,1,0,0,,0,0
7,OL07,7,A,1660,50,70,1,0,0,1,1,1,10000,5000000,0,1,0,1,0,0,,0,0
8,OL08,8,A,1910,50,70,1,0,0,1,1,1,10000,5000000,0,1,0,1,0,0,,0,0
9,OL09,9,A,2160,50,70,1,0,0,1,1,1,10000,5000000,0,1,0,1,0,0,,0,0
10,OL10,10,A,2410,50,70,1,0,0,1,1,1,10000,5000000,0,1,0,1,0,0,,0,0
11,OL11,11,A,2650,50,70,1,0,0,1,1,1,10000,5000000,0,1,0,1,0,0,,0,0
12,OL12,12,A,2910,50,70,1,0,0,1,1,1,10000,5000000,0,1,0,1,0,0,,0,0
13,OL13,13,A,3160,50,70,1,0,0,1,1,1,10000,5000000,0,1,0,1,0,0,,0,0
14,OL14,14,A,3410,50,70,1,0,0,1,1,1,10000,5000000,0,1,0,1,0,0,,0,0
15,OL15,15,A,3660,50,70,1,0,0,1,1,1,10000,5000000,0,1,0,1,0,0,,0,0
16,OL16,16,A,3910,50,70,1,0,0,1,1,1,10000,5000000,0,1,0,1,0,0,,0,0
17,OL17,17,A,285,-50,70,1,0,0,1,1,1,10000,5000000,0,-1,0,1,0,0,,0,0
18,OL18,18,A,535,-50,70,1,0,0,1,1,1,10000,5000000,0,-1,0,1,0,0,,0,0
19,OL19,19,A,785,-50,70,1,0,0,1,1,1,10000,5000000,0,-1,0,1,0,0,,0,0
20,OL20,20,A,1035,-50,70,1,0,0,1,1,1,10000,5000000,0,-1,0,1,0,0,,0,0
21,OL21,21,A,1285,-50,70,1,0,0,1,1,1,10000,5000000,0,-1,0,1,0,0,,0,0
22,OL22,22,A,1535,-50,70,1,0,0,1,1,1,10000,5000000,0,-1,0,1,0,0,,0,0
23,OL23,23,A,1785,-50,70,1,0,0,1,1,1,10000,5000000,0,-1,0,1,0,0,,0,0
24,OL24,24,A,2035,-50,70,1,0,0,1,1,1,10000,5000000,0,-1,0,1,0,0,,0,0
25,OL25,25,A,2285,-50,70,1,0,0,1,1,1,10000,5000000,0,-1,0,1,0,0,,0,0
26,OL26,26,A,2535,-50,70,1,0,0,1,1,1,10000,5000000,0,-1,0,1,0,0,,0,0
27,OL27,27,A,2785,-50,70,1,0,0,1,1,1,10000,5000000,0,-1,0,1,0,0,,0,0
28,OL28,28,A,3035,-50,70,1,0,0,1,1,1,10000,5000000,0,-1,0,1,0,0,,0,0
29,OL29,29,A,3285,-50,70,1,0,0,1,1,1,10000,5000000,0,-1,0,1,0,0,,0,0
30,OL30,30,A,3535,-50,70,1,0,0,1,1,1,10000,5000000,0,-1,0,1,0,0,,0,0
31,OL31,31,A,3785,-50,70,1,0,0,1,1,1,10000,5000000,0,-1,0,1,0,0,,0,0
32,OL32,32,A,4035,-50,70,1,0,0,1,1,1,10000,5000000,0,-1,0,1,0,0,,0,0
