event_id,event_starttime,eventtype,nuc_rupturevel
1,36.645495,3,NaN
2,40.942166,2,26.3002835988919
3,42.420369,1,-161.832113866385
4,43.575068,1,-99.1327551169918
5,47.621651,1,-231.696732860559
6,49.135314,1,-112.474014872736
7,54.481607,1,-133.669389608905
8,56.681489,1,-130.792953038583
9,59.05778,1,-117.285592895212
10,63.686706,2,39.8581450100288
11,66.093929,3,NaN
12,68.443896,1,-114.750792399336
13,71.274489,1,-133.78290221795
14,75.895573,2,12.8689643262765
15,79.273316,3,NaN
16,82.171329,2,13.3387663634383
17,85.945794,1,-178.236862766275
18,91.181303,2,12.2026498323768
19,94.35567,3,NaN
20,97.267018,2,7.89999415840144
21,100.55402,3,NaN
22,105.878649,2,20.3913964570879
23,108.88775,3,NaN
24,111.755949,2,17.5027560302904
25,116.196146,1,-189.336823426757
26,120.726884,1,-110.110402903344
27,123.846744,1,-135.729528288654
28,126.724996,2,14.0586906833998
29,130.692063,1,-192.430987036177
30,135.319866,2,19.00918762585
31,138.492698,3,NaN
32,141.967194,2,23.751878512264
33,146.495298,1,-182.59258286086
34,151.614625,2,23.3637783782592
35,161.055791,3,NaN
36,163.973556,2,10.9591221646978
37,167.243858,1,-194.085328408734
38,172.168579,2,36.7903281305312
39,175.343256,3,NaN
40,178.872443,2,34.731252278879
41,186.214252,3,NaN
42,190.086495,2,37.0754215802295
43,193.731041,1,-199.726053255547
44,197.558501,2,45.2717407913387
45,207.382352,1,-211.098708508135
46,211.020943,2,34.6431141650813
47,215.364923,1,-204.84327538391
48,220.202232,2,52.4345854054009
49,225.83906,1,-205.011354486899
50,228.715161,2,36.0257194021824
51,232.159425,1,-184.292992368024
52,235.564655,2,43.6108559392044
53,241.431471,1,-205.943990931065
54,245.011447,2,48.8594225697227
55,248.860435,1,-200.453493600329
56,253.026768,3,NaN
