# Datasheet of gouge-mediated seismic event time:  ,,,,,,,
# This pick time is a crude estimation using p06_search_gougeevents.m. We need to relocate the hypocenter and event origin time from the picks listed below.,,,,,,,
"# expr_id: index of experiments, event_id: index of stick-slip main events, gouge_loc [m]: location of gouge patch,  picktime [s]: event time of seismic event, AEtype: Ordinary or LFE, rup_type: nucleation location",,,,,,,
expr_id,event_id,gouge_loc,picktime,AEtype,rup_type, gougeevent_id,doublecheck
,,,,,,,
fb03-087,2,2.75,41.025,LFE,2,0,1
fb03-087,3,1.25,42.464,LFE,1,1,1
fb03-087,3,1.25,42.4645,Ordinary,1,2,1
fb03-087,3,1.75,42.47475,Ordinary,1,3,1
fb03-087,4,1.25,43.62315,LFE,1,4,1
fb03-087,4,1.25,43.624,Ordinary,1,5,1
fb03-087,4,3.25,43.6254,Ordinary,1,6,1
fb03-087,5,3.25,47.658,Ordinary,1,7,1
fb03-087,5,1.25,47.6639,LFE,1,8,1
fb03-087,5,1.25,47.66455,Ordinary,1,9,1
fb03-087,6,3.25,49.1781,Ordinary,1,10,1
fb03-087,6,1.25,49.1822,LFE,1,11,1
fb03-087,6,1.25,49.1828,Ordinary,1,12,1
fb03-087,6,3.25,49.1859,Ordinary,1,13,1
fb03-087,7,0.75,54.52535,Ordinary,1,14,1
fb03-087,7,2.75,54.5434,Ordinary,1,15,1
fb03-087,8,1.75,56.727,Ordinary,1,16,1
fb03-087,9,1.75,59.1035,Ordinary,1,17,1
fb03-087,10,2.75,63.757,LFE,2,18,1
fb03-087,10,2.75,63.7579,Ordinary,2,19,1
fb03-087,12,1.25,68.4899,Ordinary,1,20,1
fb03-087,14,1.75,76.0184,Ordinary,2,21,1
fb03-087,14,2.75,76.0235,LFE,2,22,1
fb03-087,15,2.75,79.3167,Ordinary,3,23,1
fb03-087,15,1.75,79.3201,Ordinary,3,24,1
fb03-087,15,3.25,79.3254,Ordinary,3,25,1
fb03-087,15,2.75,79.3334,Ordinary,3,26,1
fb03-087,16,2.75,82.2861,LFE,2,27,1
fb03-087,17,3.25,85.9811,Ordinary,1,28,1
fb03-087,17,2.75,85.9859,Ordinary,1,29,1
fb03-087,17,1.75,85.9885,Ordinary,1,30,1
fb03-087,17,1.25,85.9891,LFE,1,31,1
fb03-087,18,1.75,91.3007,Ordinary,2,32,1
fb03-087,18,2.75,91.3023,LFE,2,33,1
fb03-087,18,2.75,91.3031,Ordinary,2,34,1
fb03-087,18,1.75,91.311,Ordinary,2,35,1
fb03-087,19,1.75,94.40734,Ordinary,3,36,1
fb03-087,19,1.75,94.40745,Ordinary,3,37,1
fb03-087,19,0.75,94.4188,Ordinary,3,38,1
fb03-087,20,2.75,97.3604,LFE,2,39,1
fb03-087,21,3.25,100.5903,Ordinary,3,40,1
fb03-087,21,1.75,100.5958,Ordinary,3,41,1
fb03-087,21,0.75,100.6006,Ordinary,3,42,1
fb03-087,21,1.75,100.60335,Ordinary,3,43,1
fb03-087,22,2.75,105.9759,LFE,2,44,1
fb03-087,23,3.25,108.9514,Ordinary,3,45,1
fb03-087,23,1.75,108.9568,Ordinary,3,46,1
fb03-087,23,2.75,108.9583,Ordinary,3,47,1
fb03-087,23,2.75,108.9612,Ordinary,3,48,1
fb03-087,24,2.75,111.8541,LFE,2,49,1
fb03-087,25,1.25,116.2386,LFE,1,50,1
fb03-087,25,1.75,116.2403,Ordinary,1,51,1
fb03-087,26,1.75,120.77835,Ordinary,1,52,1
fb03-087,26,0.75,120.7843,Ordinary,1,53,1
fb03-087,27,2.75,123.8879,Ordinary,1,54,1
fb03-087,27,2.25,123.8888,Ordinary,1,55,1
fb03-087,27,0.75,123.9008,Ordinary,1,56,1
fb03-087,27,3.25,123.90585,Ordinary,1,57,1
fb03-087,27,1.75,123.9217,Ordinary,1,58,1
fb03-087,28,2.75,126.8502,LFE,2,59,1
fb03-087,29,3.25,130.72715,Ordinary,1,60,1
fb03-087,29,1.75,130.7345,Ordinary,1,61,1
fb03-087,30,2.25,135.4104,Ordinary,2,62,1
fb03-087,30,2.75,135.4123,LFE,2,63,1
fb03-087,32,0.75,142.0484,Ordinary,2,64,1
fb03-087,32,2.75,142.0548,LFE,2,65,1
fb03-087,33,1.25,146.5386,LFE,1,66,1
fb03-087,34,1.75,151.6992,Ordinary,2,67,1
fb03-087,34,2.75,151.7031,LFE,2,68,1
fb03-087,34,1.25,151.7202,Ordinary,2,69,1
fb03-087,35,1.75,161.0972,Ordinary,3,70,1
fb03-087,35,1.75,161.1201,Ordinary,3,71,1
fb03-087,35,2.75,161.12755,Ordinary,3,72,1
fb03-087,36,2.75,164.1048,LFE,2,73,1
fb03-087,36,3.25,164.1099,Ordinary,2,74,1
fb03-087,36,2.75,164.1184,Ordinary,2,75,1
fb03-087,37,3.25,167.2857,Ordinary,1,76,1
fb03-087,37,1.75,167.2868,Ordinary,1,77,1
fb03-087,38,0.75,172.2182,Ordinary,2,78,1
fb03-087,38,2.75,172.2403,LFE,2,79,1
fb03-087,39,2.25,175.3845,Ordinary,3,80,1
fb03-087,39,1.75,175.3855,Ordinary,3,81,1
fb03-087,39,1.75,175.3911,Ordinary,3,82,1
fb03-087,40,2.75,178.9464,LFE,2,83,1
fb03-087,41,2.75,186.2612,Ordinary,3,84,1
fb03-087,41,0.75,186.2631,Ordinary,3,85,1
fb03-087,41,0.75,186.2679,Ordinary,3,86,1
fb03-087,41,2.75,186.28,Ordinary,3,87,1
fb03-087,41,2.75,186.28615,Ordinary,3,88,1
fb03-087,41,2.75,186.2869,Ordinary,3,89,1
fb03-087,42,1.75,190.1604,Ordinary,2,90,1
fb03-087,43,1.75,193.7842,Ordinary,1,91,1
fb03-087,44,0.75,197.6219,Ordinary,2,92,1
fb03-087,44,2.75,197.6244,LFE,2,93,1
fb03-087,44,2.75,197.6325,Ordinary,2,94,1
fb03-087,45,3.25,207.4609,Ordinary,1,95,1
fb03-087,46,2.25,211.0911,LFE,2,96,1
fb03-087,46,1.75,211.1024,Ordinary,2,97,1
fb03-087,48,0.75,220.2576,Ordinary,2,98,1
fb03-087,49,1.75,225.8907,Ordinary,1,99,1
fb03-087,50,0.75,228.7646,Ordinary,2,100,1
fb03-087,51,0.75,232.2121,Ordinary,1,101,1
fb03-087,52,2.75,235.6308,LFE,2,102,1
fb03-087,53,3.25,241.467,Ordinary,1,103,1
fb03-087,54,1.75,245.07105,Ordinary,2,104,1
fb03-087,54,2.75,245.0747,LFE,2,105,1
fb03-087,55,1.75,248.902,Ordinary,1,106,1
fb03-087,55,2.25,248.9081,Ordinary,1,107,1
