# Datasheet of gouge-mediated seismic event time:  ,,,,,,,,
# This pick time is a crude estimation using p06_search_gougeevents.m. We need to relocate the hypocenter and event origin time from the picks listed below.,,,,,,,,
"# expr_id: index of experiments, event_id: index of stick-slip main events, gouge_loc [m]: location of gouge patch,  picktime [s]: event time of seismic event, eventtype: Ordinary or LFE, rup_type: nucleation location",,,,,,,,
expr_id,event_id,gouge_loc,picktime,AEtype,rup_type, gougeevent_id,doublecheck,old_gougeevent_id
,,,,,,,,
fb03-087,2,2.75,41.025,LFE,2,0,1,0
fb03-087,3,1.25,42.464,LFE,1,1,1,1
fb03-087,3,1.25,42.4645,Ordinary,1,2,1,2
fb03-087,3,3.25,42.4679,Ordinary,1,3,1,212
fb03-087,3,1.75,42.47475,Ordinary,1,4,1,3
fb03-087,4,1.25,43.62315,LFE,1,5,1,4
fb03-087,4,1.25,43.624,Ordinary,1,6,1,5
fb03-087,4,3.25,43.6254,Ordinary,1,7,1,6
fb03-087,5,3.25,47.658,Ordinary,1,8,1,7
fb03-087,5,1.75,47.6627,Ordinary,1,9,1,201
fb03-087,5,1.25,47.6639,LFE,1,10,1,8
fb03-087,5,1.25,47.66455,Ordinary,1,11,1,9
fb03-087,6,3.25,49.1781,Ordinary,1,12,1,10
fb03-087,6,1.25,49.1822,LFE,1,13,1,11
fb03-087,6,1.25,49.1828,Ordinary,1,14,1,12
fb03-087,6,3.25,49.1859,Ordinary,1,15,1,13
fb03-087,7,0.75,54.52535,Ordinary,1,16,1,14
fb03-087,7,2.75,54.5434,Ordinary,1,17,1,15
fb03-087,8,1.75,56.727,Ordinary,1,18,1,16
fb03-087,9,1.75,59.10315,Ordinary,1,19,1,202
fb03-087,9,1.75,59.1035,Ordinary,1,20,1,17
fb03-087,10,1.75,63.7523,Ordinary,2,21,1,203
fb03-087,10,2.75,63.757,LFE,2,22,1,18
fb03-087,10,2.75,63.7579,Ordinary,2,23,1,19
fb03-087,11,1.75,66.1869,Ordinary,3,24,1,204
fb03-087,12,3.25,68.4881,Ordinary,1,25,1,213
fb03-087,12,1.25,68.4899,Ordinary,1,26,1,20
fb03-087,14,1.75,76.0184,Ordinary,2,27,1,21
fb03-087,14,2.75,76.0235,LFE,2,28,1,22
fb03-087,15,2.75,79.3167,Ordinary,3,29,1,23
fb03-087,15,1.75,79.31985,Ordinary,3,30,1,214
fb03-087,15,1.75,79.3201,Ordinary,3,31,1,24
fb03-087,15,3.25,79.3254,Ordinary,3,32,1,25
fb03-087,15,2.75,79.3334,Ordinary,3,33,1,26
fb03-087,16,2.75,82.2861,LFE,2,34,1,27
fb03-087,17,3.25,85.9811,Ordinary,1,35,1,28
fb03-087,17,2.75,85.9859,Ordinary,1,36,1,29
fb03-087,17,1.75,85.98745,Ordinary,1,37,1,205
fb03-087,17,1.75,85.9885,Ordinary,1,38,1,30
fb03-087,17,1.25,85.9891,LFE,1,39,1,31
fb03-087,18,1.75,91.3007,Ordinary,2,40,1,32
fb03-087,18,2.75,91.3023,LFE,2,41,1,33
fb03-087,18,2.75,91.3031,Ordinary,2,42,1,34
fb03-087,18,1.75,91.311,Ordinary,2,43,1,35
fb03-087,19,1.75,94.40734,Ordinary,3,44,1,36
fb03-087,19,1.75,94.40745,Ordinary,3,45,1,37
fb03-087,19,0.75,94.4188,Ordinary,3,46,1,38
fb03-087,20,2.75,97.3604,LFE,2,47,1,39
fb03-087,21,3.25,100.5903,Ordinary,3,48,1,40
fb03-087,21,1.75,100.59555,Ordinary,3,49,1,206
fb03-087,21,1.75,100.5958,Ordinary,3,50,1,41
