,diameter[um],frequency,cumulative_volume
0,  0.0400,  0.0000,  0.0000
1,  0.0450,  0.0000, -0.0004
2,  0.0506,  0.0001, -0.0007
3,  0.0570,  0.0034,  0.0010
4,  0.0641,  0.0094,  0.0074
5,  0.0721,  0.0187,  0.0215
6,  0.0812,  0.0317,  0.0467
7,  0.0913,  0.0486,  0.0869
8,  0.1027,  0.0690,  0.1457
9,  0.1156,  0.0928,  0.2267
10,  0.1301,  0.1212,  0.3337
11,  0.1463,  0.1568,  0.4727
12,  0.1647,  0.2032,  0.6527
13,  0.1853,  0.2664,  0.8875
14,  0.2085,  0.3551,  1.1983
15,  0.2345,  0.4716,  1.6117
16,  0.2639,  0.5957,  2.1453
17,  0.2969,  0.6850,  2.7856
18,  0.3341,  0.6766,  3.4664
19,  0.3759,  0.5533,  4.0813
20,  0.4229,  0.3385,  4.5273
21,  0.4759,  0.1036,  4.7483
22,  0.5354,  0.0000,  4.7944
23,  0.6025,  0.0003,  4.7889
24,  0.6778,  0.0000,  4.7882
25,  0.7627,  0.1476,  4.8612
26,  0.8581,  0.3435,  5.1067
27,  0.9655,  0.4939,  5.5254
28,  1.0864,  0.6695,  6.1071
29,  1.2223,  0.8674,  6.8756
30,  1.3753,  1.1169,  7.8678
31,  1.5474,  1.3272,  9.0898
32,  1.7411,  1.6288, 10.5678
33,  1.9590,  1.9622, 12.3633
34,  2.2042,  2.2960, 14.4924
35,  2.4800,  2.5433, 16.9120
36,  2.7904,  2.7508, 19.5590
37,  3.1396,  2.8426, 22.3557
38,  3.5326,  2.8963, 25.2251
39,  3.9747,  2.8856, 28.1161
40,  4.4721,  2.8939, 31.0058
41,  5.0318,  2.9205, 33.9131
42,  5.6616,  3.0559, 36.9013
43,  6.3701,  3.2238, 40.0412
44,  7.1674,  3.5487, 43.4274
45,  8.0644,  4.0088, 47.2062
46,  9.0737,  4.5326, 51.4769
47, 10.2093,  4.8435, 56.1650
48, 11.4870,  5.1380, 61.1557
49, 12.9246,  5.2713, 66.3604
50, 14.5422,  5.1289, 71.5605
51, 16.3621,  4.7382, 76.4941
52, 18.4099,  4.1996, 80.9630
53, 20.7139,  3.5722, 84.8490
54, 23.3063,  3.0622, 88.1662
55, 26.2232,  2.7289, 91.0617
56, 29.5051,  2.2660, 93.5592
57, 33.1977,  1.9092, 95.6468
58, 37.3525,  1.4864, 97.3446
59, 42.0273,  1.0866, 98.6311
60, 47.2871,  0.6115, 99.4802
61, 53.2052,  0.2129, 99.8924
62, 59.8639,  0.0023,100.0000
63, 67.3561,  0.0000,100.0000
64, 75.7858,  0.0000,100.0000
65, 85.2706,  0.0000,100.0000
66, 95.9424,  0.0000,100.0000
67,107.9499,  0.0000,100.0000
68,121.4601,  0.0000,100.0000
69,136.6611,  0.0000,100.0000
70,153.7646,  0.0000,100.0000
71,173.0086,  0.0000,100.0000
72,194.6610,  0.0000,100.0000
73,219.0233,  0.0000,100.0000
74,246.4346,  0.0000,100.0000
75,277.2765,  0.0000,100.0000
76,311.9784,  0.0000,100.0000
77,351.0232,  0.0000,100.0000
78,394.9547,  0.0000,100.0000
79,444.3842,  0.0000,100.0000
80,500.0000,  0.0000,100.0000
