event_id,location,event_onset_time,stickslip_id,event_label,Q_correction_quart,Nvalidsensors,M0,M0_std,Mw,Tw,Tw_std
4,        1.75,   42.474772,3,A,50,4,  0.59403115,  0.17916007,  -6.2174605,2.5579039e-06,1.5164421e-07
9,        1.75,   47.662693,5,F,50,4, 0.047135419, 0.007496748,  -6.9511018,2.3465574e-06,3.6303144e-07
18,        1.75,   56.727044,8,F,50,4,  0.75759249,  0.19362365,  -6.1470429,2.8645074e-06,3.1099118e-07
19,        1.75,   59.103175,9,F,50,4, 0.056071466, 0.017248622,  -6.9008387,2.4846034e-06,2.6996138e-07
20,        1.75,   59.103526,9,F,50,4,  0.86707548,  0.20996987,  -6.1079621,2.7665441e-06,1.379112e-07
21,        1.75,     63.7523,10,F,50,4, 0.021673086,0.0031163102,  -7.1760528,2.3364461e-06,2.0649072e-07
24,        1.75,   66.186944,11,F,50,4, 0.065804201, 0.021152947,  -6.8544976,2.4616669e-06,2.8257964e-07
27,        1.75,   76.018478,14,F,50,4,  0.76368537,  0.21082897,  -6.1447237,2.5529046e-06,2.0193053e-07
30,        1.75,    79.31985,15,F,50,2, 0.051639087, 0.010458595,   -6.924681,2.6127569e-06,2.3467965e-07
31,        1.75,   79.320093,15,F,50,4,  0.97469145,  0.26276842,  -6.0740886,2.5839732e-06,2.1553453e-07
37,        1.75,   85.987481,17,F,50,3, 0.024520112,0.0024003717,  -7.1403184,2.1199373e-06,5.0339744e-07
38,        1.75,   85.988544,17,F,50,4,  0.27188031, 0.093640468,  -6.4437482,2.2506923e-06,2.2888423e-07
40,        1.75,   91.300839,18,F,50,4,  0.20386665, 0.039129414,  -6.5271025,2.1606881e-06,1.9939811e-07
43,        1.75,   91.311134,18,A,50,4,   0.1866334, 0.047813407,  -6.5526738,2.3625942e-06,1.8686243e-07
44,        1.75,   94.407337,19,F,50,4, 0.069500154, 0.015844266,  -6.8386762,2.4481084e-06,3.3002856e-07
49,        1.75,   100.59554,21,F,50,2, 0.060105721, 0.029374722,  -6.8807228,2.6296516e-06,6.0399212e-08
50,        1.75,   100.59586,21,F,50,4,  0.32719712,  0.15125549,   -6.390127,2.5768122e-06,3.082255e-07
52,        1.75,   100.60336,21,A,50,4,  0.48249014,   0.1246584,  -6.2776744,2.6009649e-06,2.062919e-07
55,        1.75,   108.95683,23,F,50,2,  0.28656197, 0.025070797,   -6.428521,2.5060748e-06,6.4158391e-09
59,        1.75,   116.23728,25,F,50,3,  0.10469309, 0.064715232,  -6.7200547,2.7955754e-06,3.3275599e-07
61,        1.75,   116.24032,25,F,50,4,  0.74095362,  0.19341028,  -6.1534727,2.6137398e-06,1.9768639e-07
62,        1.75,   120.77836,26,A,50,4,  0.59141119,   0.1650574,  -6.2187403,2.5393577e-06,1.7624728e-07
69,        1.75,   123.92172,27,A,50,4,  0.25874888,  0.03316866,   -6.458081,2.1116118e-06,  1.7728e-07
72,        1.75,   130.73455,29,F,50,4,  0.81072623,  0.18163653,  -6.1274172,2.605372e-06,1.7303578e-07
75,        1.75,   138.54831,31,F,50,3,  0.28946929, 0.046079475,  -6.4255983,2.5234357e-06,3.4697218e-07
76,        1.75,   138.54953,31,A,50,2,  0.79528101,  0.30619036,  -6.1329863,2.4965348e-06,7.1402946e-08
77,        1.75,   138.55082,31,A,50,4,  0.77831224,  0.35657024,  -6.1392308,2.6311887e-06,1.8488117e-07
81,        1.75,   146.53696,33,F,50,3, 0.049614178, 0.010707317,  -6.9362628,2.448613e-06,3.5667573e-07
85,        1.75,   151.69923,34,F,50,4,  0.48482737,  0.13262447,  -6.2762752,2.2924307e-06,2.0541084e-07
88,        1.75,   161.09724,35,F,50,4,   1.2587427,  0.64568195,   -6.000042,2.4135627e-06,2.3085934e-07
89,        1.75,   161.12013,35,A,50,4,  0.49201005,  0.13014844,  -6.2720174,2.4753112e-06,1.5564581e-07
95,        1.75,   167.28681,37,F,50,4,  0.91216195,  0.26796896,  -6.0932854,2.7754947e-06,1.1849152e-07
99,        1.75,   175.38555,39,F,50,4,  0.82606332,  0.24374973,  -6.1219911,2.9501036e-06,2.3160335e-07
100,        1.75,   175.39123,39,A,50,4,   0.6977111,  0.34548176,  -6.1708829,2.9128903e-06,4.4903757e-07
102,        1.75,   178.95463,40,A,50,2, 0.083256756,   0.0173619,   -6.786387,2.2124058e-06,4.3587434e-07
109,        1.75,   190.16055,42,A,50,4,  0.69736181,  0.30295676,  -6.1710279,2.7943483e-06,1.8595591e-07
110,        1.75,   193.77201,43,F,50,2, 0.054112687, 0.021724692,  -6.9111339,2.728243e-06,3.4320048e-08
111,        1.75,   193.78425,43,A,50,3,  0.85667107,  0.40306824,  -6.1114573,2.8435376e-06,1.7534125e-07
118,        1.75,   211.10242,46,A,50,4, 0.076430595, 0.010246752,  -6.8111552,2.001404e-06,2.194983e-07
120,        1.75,   225.89072,49,A,50,4,   0.7788112,  0.35222534,  -6.1390452,2.7569458e-06,2.4481929e-07
126,        1.75,   235.63152,52,F,50,4, 0.017069127,0.0025422073,  -7.2451925,1.9911995e-06,2.9509513e-07
128,        1.75,   241.51294,53,A,50,4, 0.012986748,0.0022214478,  -7.3243331,2.234111e-06,2.3227973e-07
129,        1.75,   245.07106,54,F,50,4,   1.1341194,  0.40747514,  -6.0302275,2.6255954e-06,1.733592e-07
131,        1.75,   248.90204,55,F,50,4,  0.71902646,  0.24278884,  -6.1621701,2.4945112e-06,8.1955965e-08
