event_id,location,event_onset_time,stickslip_id,event_label,Q_correction_quart,Nvalidsensors,M0,M0_std,Mw,Tw,Tw_std,cumulativelocalslip[mm],localslipvelocity[mm/s]
4,1.75,42.474772,3,A,50,4,0.59260663,0.17867131,-6.2181557,2.558865e-06,1.5303145e-07,0.0211092789943232,1.13461461525631
9,1.75,47.662693,5,F,50,4,0.046991075,0.0074188857,-6.9519897,2.3462736e-06,3.643121e-07,0.00104099484290776,1.72343013719464
18,1.75,56.727044,8,F,50,4,0.75582958,0.19250668,-6.1477174,2.8655714e-06,3.1008817e-07,0.00263946077464849,2.89418463477887
19,1.75,59.103175,9,F,50,4,0.055755363,0.016951287,-6.9024756,2.4844829e-06,2.699155e-07,0.00113204855900227,2.43457955088702
20,1.75,59.103526,9,F,50,4,0.86546579,0.21025046,-6.1085001,2.76624e-06,1.3526595e-07,0.00211577244196494,3.09283759412659
21,1.75,63.7523,10,F,50,4,0.021465906,0.0032697371,-7.1788339,2.3099868e-06,2.1625096e-07,0.00228316312412759,0.817076922152872
24,1.75,66.186944,11,F,50,4,0.065639137,0.021127742,-6.8552248,2.4645085e-06,2.8130461e-07,0.00099719098150243,1.62813155388393
27,1.75,76.018478,14,F,50,4,0.76010093,0.20794263,-6.1460858,2.5466131e-06,1.9881359e-07,0.00238718528900588,0.795375096811271
30,1.75,79.31985,15,F,50,2,0.051444241,0.010458725,-6.9257755,2.6104408e-06,2.3258885e-07,0.00113338385560347,2.96384987647836
31,1.75,79.320093,15,F,50,4,0.9721408,0.26248481,-6.0748472,2.5840203e-06,2.161975e-07,0.00196602622473001,3.86410459902016
37,1.75,85.987481,17,F,50,3,0.024417508,0.002451028,-7.1415324,2.1218305e-06,5.1005789e-07,0.000900623590861624,1.52583440496779
38,1.75,85.988544,17,F,50,4,0.27101361,0.092862331,-6.4446726,2.2543244e-06,2.3703669e-07,0.00242598156180706,1.18034347296483
40,1.75,91.300839,18,F,50,4,0.20303884,0.038686632,-6.5282806,2.1613879e-06,1.9996092e-07,0.00478509941756867,0.951025993679796
43,1.75,91.311134,18,A,50,4,0.18618924,0.047578684,-6.5533636,2.3640466e-06,1.8744071e-07,0.0236211634249385,1.07383762805249
44,1.75,94.407337,19,F,50,4,0.06944264,0.016098599,-6.8389159,2.448315e-06,3.2719205e-07,0.00101175208393342,1.63002211040599
49,1.75,100.59554,21,F,50,2,0.059749939,0.028949691,-6.8824417,2.6201288e-06,7.9001422e-08,0.00106025530216412,1.71421789105621
50,1.75,100.59586,21,F,50,4,0.32637646,0.15080821,-6.3908541,2.5789792e-06,3.0884156e-07,0.00161632585279367,1.72741735434654
52,1.75,100.60336,21,A,50,4,0.48113795,0.1237959,-6.2784869,2.6015488e-06,2.0848795e-07,0.0201118501788977,1.0129231148444
55,1.75,108.95683,23,F,50,2,0.28626437,0.025268382,-6.4288218,2.5097173e-06,4.1698397e-09,0.00171338373019328,3.26037980426481
59,1.75,116.23728,25,F,50,3,0.10481746,0.065196047,-6.7197109,2.7981648e-06,3.3643141e-07,0.00103583417197559,1.7390946150407
