Stickslip_eventID,mainshock_onset_all,mainshock_termination_all,mainshock_duration_all
1,36.68355,36.720155,0.036605
2,41.028781,41.043626,0.014845
3,42.465061,42.479129,0.014068
4,43.624988,43.638608,0.01362
5,47.665642,47.699931,0.034289
6,49.183333,49.197074,0.013741
7,54.525015,54.540227,0.015212
8,56.727986,56.743029,0.015043
9,59.104157,59.11978,0.015623
10,63.761063,63.775926,0.014863
11,66.188456,66.202549,0.014093
12,68.490874,68.505496,0.014622
13,71.3186,71.333269,0.014669
14,76.027709,76.042113,0.014404
15,79.320616,79.336216,0.0156
16,82.290291,82.305009,0.014718
17,85.991394,86.010134,0.01874
18,91.306014,91.321363,0.015349
19,94.408841,94.42419,0.015349
20,97.364626,97.378798,0.014172
21,100.59715,100.61204,0.01489
22,105.979949,105.994469,0.01452
23,108.957473,108.97177,0.014297
24,111.858247,111.873109,0.014862
25,116.240923,116.259866,0.018943
26,120.772683,120.788084,0.015401
27,123.89138,123.907024,0.015644
28,126.854386,126.867256,0.01287
29,130.737162,130.756703,0.019541
30,135.416037,135.431266,0.015229
31,138.549089,138.565038,0.015949
32,142.058885,142.073314,0.014429
33,146.540841,146.558798,0.017957
34,151.707162,151.721925,0.014763
35,161.098444,161.120391,0.021947
36,164.106765,164.123656,0.016891
37,167.288822,167.306778,0.017956
38,172.244125,172.258979,0.014854
39,175.386046,175.402296,0.01625
40,178.950256,178.965423,0.015167
41,186.255026,186.278732,0.023706
42,190.155723,190.171735,0.016012
43,193.775222,193.794921,0.019699
44,197.626738,197.642561,0.015823
45,207.429398,207.451252,0.021854
46,211.094338,211.111863,0.017525
47,215.409605,215.430063,0.020458
48,220.263721,220.279232,0.015511
49,225.882833,225.90548,0.022647
50,228.790514,228.805661,0.015147
51,232.204186,232.225085,0.020899
52,235.634487,235.649635,0.015148
53,241.475347,241.508891,0.033544
54,245.077849,245.094187,0.016338
55,248.90466,248.926755,0.022095
56,253.076855,253.094368,0.017513
