,onset_npt,sensor,onset_t[ms],onset_d_ref[mm]
fb03-087__0033,313,OL11,      0.0213,      132.06
fb03-087__0065,315,OL11,      0.0215,       133.3
fb03-087__0029,312,OL11,      0.0212,      131.44
fb03-087__0080,314,OL11,      0.0214,      132.68
fb03-087__0090,312,OL11,      0.0212,      131.44
fb03-087__0115,313,OL11,      0.0213,      132.06
fb03-087__0114,315,OL11,      0.0215,       133.3
fb03-087__0036,311,OL11,      0.0211,      130.82
fb03-087__0093,312,OL11,      0.0212,      131.44
fb03-087__0106,314,OL11,      0.0214,      132.68
fb03-087__0107,316,OL11,      0.0216,      133.92
fb03-087__0108,312,OL11,      0.0212,      131.44
fb03-087__0103,314,OL11,      0.0214,      132.68
fb03-087__0023,315,OL11,      0.0215,       133.3
fb03-087__0042,317,OL11,      0.0217,      134.54
fb03-087__0017,317,OL11,      0.0217,      134.54
