gougeevent_id,stickslip_id,exprID,origin_time,X,Y,V,Vs,dx_best,dy_best
17,7,fb03-087, 54.54341395,  2.74600000, -0.00325000,6200,3600,  0.00000000,  0.00000000
23,10,fb03-087, 63.75793066,  2.74700000, -0.00325000,6200,3600,  0.00000000,  0.00000000
29,15,fb03-087, 79.31675302,  2.74200000, -0.00575000,6200,3600,  0.00000000,  0.00000000
33,15,fb03-087, 79.33349131,  2.74700000, -0.01100000,6200,3600,  0.00500000,  0.00000000
36,17,fb03-087, 85.98590292,  2.74450000, -0.00400000,6200,3600,  0.00000000,  0.00000000
42,18,fb03-087, 91.30309834,  2.74950000,  0.00275000,6200,3600,  0.00000000,  0.00000000
65,27,fb03-087,123.88801337,  2.74200000, -0.00350000,6200,3600,  0.00000000,  0.00000000
80,32,fb03-087,142.06588602,  2.74600000, -0.00275000,6200,3600,  0.00000000,  0.00000000
90,35,fb03-087,161.12757882,  2.74200000, -0.00525000,6200,3600,  0.00000000,  0.00000000
93,36,fb03-087,164.11842244,  2.74250000, -0.00175000,6200,3600,  0.00000000,  0.00000000
103,41,fb03-087,186.26117489,  2.74300000, -0.00275000,6200,3600,  0.00000000,  0.00000000
106,41,fb03-087,186.28000188,  2.74550000, -0.00175000,6200,3600,  0.00000000,  0.00000000
107,41,fb03-087,186.28616856,  2.74500000, -0.00375000,6200,3600,  0.00000000,  0.00000000
108,41,fb03-087,186.28691816,  2.74450000, -0.00100000,6200,3600,  0.00000000,  0.00000000
114,44,fb03-087,197.63267938,  2.74500000, -0.00575000,6200,3600,  0.00000000,  0.00000000
115,45,fb03-087,207.42906741,  2.74500000, -0.00325000,6200,3600,  0.00000000,  0.00000000
