,OL,datacase,xs,ys,zs,xi,eta,zeta,xi1,eta1,zeta1,incidentangle,azimuth,rlen_sourcedist,llen
OL10__fb03-087__0017,OL10,fb03-087__0017,  2.41000000,  0.05000000,  0.07000000,  2.74600000, -0.00325000,0,  0.33600000, -0.05325000,0, 81.18082329, 80.99453913,  0.34732055,  0.34019342
OL10__fb03-087__0023,OL10,fb03-087__0023,  2.41000000,  0.05000000,  0.07000000,  2.74700000, -0.00325000,0,  0.33700000, -0.05325000,0, 81.20551630, 81.02082555,  0.34828805,  0.34118113
OL10__fb03-087__0029,OL10,fb03-087__0029,  2.41000000,  0.05000000,  0.07000000,  2.74200000, -0.00575000,0,  0.33200000, -0.05575000,0, 80.66914893, 80.46772815,  0.34384889,  0.33664828
OL10__fb03-087__0033,OL10,fb03-087__0033,  2.41000000,  0.05000000,  0.07000000,  2.74700000, -0.01100000,0,  0.33700000, -0.06100000,0, 79.95005003, 79.74004444,  0.34955686,  0.34247628
OL10__fb03-087__0036,OL10,fb03-087__0036,  2.41000000,  0.05000000,  0.07000000,  2.74450000, -0.00400000,0,  0.33450000, -0.05400000,0, 81.02081020, 80.82957516,  0.34598591,  0.33883071
OL10__fb03-087__0042,OL10,fb03-087__0042,  2.41000000,  0.05000000,  0.07000000,  2.74950000,  0.00275000,0,  0.33950000, -0.04725000,0, 82.23796256, 82.07674072,  0.34984684,  0.34277225
OL10__fb03-087__0065,OL10,fb03-087__0065,  2.41000000,  0.05000000,  0.07000000,  2.74200000, -0.00350000,0,  0.33200000, -0.05350000,0, 81.03949503, 80.84579194,  0.34349127,  0.33628299
OL10__fb03-087__0080,OL10,fb03-087__0080,  2.41000000,  0.05000000,  0.07000000,  2.74600000, -0.00275000,0,  0.33600000, -0.05275000,0, 81.26234862, 81.07773078,  0.34724424,  0.34011551
OL10__fb03-087__0090,OL10,fb03-087__0090,  2.41000000,  0.05000000,  0.07000000,  2.74200000, -0.00525000,0,  0.33200000, -0.05525000,0, 80.75138122, 80.55167114,  0.34376818,  0.33656584
OL10__fb03-087__0093,OL10,fb03-087__0093,  2.41000000,  0.05000000,  0.07000000,  2.74250000, -0.00175000,0,  0.33250000, -0.05175000,0, 81.34036368, 81.15351197,  0.34370672,  0.33650306
OL10__fb03-087__0103,OL10,fb03-087__0103,  2.41000000,  0.05000000,  0.07000000,  2.74300000, -0.00275000,0,  0.33300000, -0.05275000,0, 81.18812642, 80.99866034,  0.34434222,  0.33715214
OL10__fb03-087__0106,OL10,fb03-087__0106,  2.41000000,  0.05000000,  0.07000000,  2.74550000, -0.00175000,0,  0.33550000, -0.05175000,0, 81.41344240, 81.23138139,  0.34660974,  0.33946769
OL10__fb03-087__0107,OL10,fb03-087__0107,  2.41000000,  0.05000000,  0.07000000,  2.74500000, -0.00375000,0,  0.33500000, -0.05375000,0, 81.07428409, 80.88471037,  0.34643046,  0.33928463
OL10__fb03-087__0108,OL10,fb03-087__0108,  2.41000000,  0.05000000,  0.07000000,  2.74450000, -0.00100000,0,  0.33450000, -0.05100000,0, 81.51217930, 81.33108175,  0.34553039,  0.33836556
OL10__fb03-087__0114,OL10,fb03-087__0114,  2.41000000,  0.05000000,  0.07000000,  2.74500000, -0.00575000,0,  0.33500000, -0.05575000,0, 80.74780772, 80.55154582,  0.34674640,  0.33960722
OL10__fb03-087__0115,OL10,fb03-087__0115,  2.41000000,  0.05000000,  0.07000000,  2.74500000, -0.00325000,0,  0.33500000, -0.05325000,0, 81.15599542, 80.96809964,  0.34635323,  0.33920578
OL11__fb03-087__0017,OL11,fb03-087__0017,  2.65000000,  0.05000000,  0.07000000,  2.74600000, -0.00325000,0,  0.09600000, -0.05325000,0, 65.85847453, 60.98341566,  0.13019817,  0.10977961
OL11__fb03-087__0023,OL11,fb03-087__0023,  2.65000000,  0.05000000,  0.07000000,  2.74700000, -0.00325000,0,  0.09700000, -0.05325000,0, 66.00334144, 61.23457557,  0.13093725,  0.11065515
OL11__fb03-087__0029,OL11,fb03-087__0029,  2.65000000,  0.05000000,  0.07000000,  2.74200000, -0.00575000,0,  0.09200000, -0.05575000,0, 64.25408368, 58.78504796,  0.12834353,  0.10757352
