,index,gid
0,OL10__fb03-087__0017,0
1,OL10__fb03-087__0023,1
2,OL10__fb03-087__0029,2
3,OL10__fb03-087__0033,3
4,OL10__fb03-087__0036,4
5,OL10__fb03-087__0042,5
6,OL10__fb03-087__0065,6
7,OL10__fb03-087__0080,7
8,OL10__fb03-087__0090,8
9,OL10__fb03-087__0093,9
10,OL10__fb03-087__0103,10
11,OL10__fb03-087__0106,11
12,OL10__fb03-087__0107,12
13,OL10__fb03-087__0108,13
14,OL10__fb03-087__0114,14
15,OL10__fb03-087__0115,15
16,OL11__fb03-087__0017,16
17,OL11__fb03-087__0023,17
18,OL11__fb03-087__0029,18
19,OL11__fb03-087__0033,19
20,OL11__fb03-087__0036,20
21,OL11__fb03-087__0042,21
22,OL11__fb03-087__0065,22
23,OL11__fb03-087__0080,23
24,OL11__fb03-087__0090,24
25,OL11__fb03-087__0093,25
26,OL11__fb03-087__0103,26
27,OL11__fb03-087__0106,27
28,OL11__fb03-087__0107,28
29,OL11__fb03-087__0108,29
30,OL11__fb03-087__0114,30
31,OL11__fb03-087__0115,31
32,OL12__fb03-087__0017,32
33,OL12__fb03-087__0023,33
34,OL12__fb03-087__0029,34
35,OL12__fb03-087__0033,35
36,OL12__fb03-087__0036,36
37,OL12__fb03-087__0042,37
38,OL12__fb03-087__0065,38
39,OL12__fb03-087__0080,39
40,OL12__fb03-087__0090,40
41,OL12__fb03-087__0093,41
42,OL12__fb03-087__0103,42
43,OL12__fb03-087__0106,43
44,OL12__fb03-087__0107,44
45,OL12__fb03-087__0108,45
46,OL12__fb03-087__0114,46
47,OL12__fb03-087__0115,47
48,OL26__fb03-087__0017,48
49,OL26__fb03-087__0023,49
50,OL26__fb03-087__0029,50
51,OL26__fb03-087__0033,51
52,OL26__fb03-087__0036,52
53,OL26__fb03-087__0042,53
54,OL26__fb03-087__0065,54
55,OL26__fb03-087__0080,55
56,OL26__fb03-087__0090,56
57,OL26__fb03-087__0093,57
58,OL26__fb03-087__0103,58
59,OL26__fb03-087__0106,59
60,OL26__fb03-087__0107,60
61,OL26__fb03-087__0108,61
62,OL26__fb03-087__0114,62
63,OL26__fb03-087__0115,63
64,OL27__fb03-087__0017,64
65,OL27__fb03-087__0023,65
66,OL27__fb03-087__0029,66
67,OL27__fb03-087__0033,67
68,OL27__fb03-087__0036,68
69,OL27__fb03-087__0042,69
70,OL27__fb03-087__0065,70
71,OL27__fb03-087__0080,71
72,OL27__fb03-087__0090,72
73,OL27__fb03-087__0093,73
74,OL27__fb03-087__0103,74
75,OL27__fb03-087__0106,75
76,OL27__fb03-087__0107,76
77,OL27__fb03-087__0108,77
78,OL27__fb03-087__0114,78
79,OL27__fb03-087__0115,79
80,OL28__fb03-087__0017,80
81,OL28__fb03-087__0023,81
82,OL28__fb03-087__0029,82
83,OL28__fb03-087__0033,83
84,OL28__fb03-087__0036,84
85,OL28__fb03-087__0042,85
86,OL28__fb03-087__0065,86
87,OL28__fb03-087__0080,87
88,OL28__fb03-087__0090,88
89,OL28__fb03-087__0093,89
90,OL28__fb03-087__0103,90
91,OL28__fb03-087__0106,91
92,OL28__fb03-087__0107,92
93,OL28__fb03-087__0108,93
94,OL28__fb03-087__0114,94
95,OL28__fb03-087__0115,95
