# AE event loc for green's function
#     x     y    z    gid
# --------------------------------------------------------------------------------------------
3.36000000e-04 0.00000000e+00 5.32500000e-05 0
3.37000000e-04 0.00000000e+00 5.32500000e-05 1
3.32000000e-04 0.00000000e+00 5.57500000e-05 2
3.37000000e-04 0.00000000e+00 6.10000000e-05 3
3.34500000e-04 0.00000000e+00 5.40000000e-05 4
3.39500000e-04 0.00000000e+00 4.72500000e-05 5
3.32000000e-04 0.00000000e+00 5.35000000e-05 6
3.36000000e-04 0.00000000e+00 5.27500000e-05 7
3.32000000e-04 0.00000000e+00 5.52500000e-05 8
3.32500000e-04 0.00000000e+00 5.17500000e-05 9
3.33000000e-04 0.00000000e+00 5.27500000e-05 10
3.35500000e-04 0.00000000e+00 5.17500000e-05 11
3.35000000e-04 0.00000000e+00 5.37500000e-05 12
3.34500000e-04 0.00000000e+00 5.10000000e-05 13
3.35000000e-04 0.00000000e+00 5.57500000e-05 14
3.35000000e-04 0.00000000e+00 5.32500000e-05 15
9.60000000e-05 0.00000000e+00 5.32500000e-05 16
9.70000000e-05 0.00000000e+00 5.32500000e-05 17
9.20000000e-05 0.00000000e+00 5.57500000e-05 18
9.70000000e-05 0.00000000e+00 6.10000000e-05 19
9.45000000e-05 0.00000000e+00 5.40000000e-05 20
9.95000000e-05 0.00000000e+00 4.72500000e-05 21
9.20000000e-05 0.00000000e+00 5.35000000e-05 22
9.60000000e-05 0.00000000e+00 5.27500000e-05 23
9.20000000e-05 0.00000000e+00 5.52500000e-05 24
9.25000000e-05 0.00000000e+00 5.17500000e-05 25
9.30000000e-05 0.00000000e+00 5.27500000e-05 26
9.55000000e-05 0.00000000e+00 5.17500000e-05 27
9.50000000e-05 0.00000000e+00 5.37500000e-05 28
9.45000000e-05 0.00000000e+00 5.10000000e-05 29
9.50000000e-05 0.00000000e+00 5.57500000e-05 30
9.50000000e-05 0.00000000e+00 5.32500000e-05 31
-1.64000000e-04 0.00000000e+00 5.32500000e-05 32
-1.63000000e-04 0.00000000e+00 5.32500000e-05 33
-1.68000000e-04 0.00000000e+00 5.57500000e-05 34
-1.63000000e-04 0.00000000e+00 6.10000000e-05 35
-1.65500000e-04 0.00000000e+00 5.40000000e-05 36
-1.60500000e-04 0.00000000e+00 4.72500000e-05 37
-1.68000000e-04 0.00000000e+00 5.35000000e-05 38
-1.64000000e-04 0.00000000e+00 5.27500000e-05 39
-1.68000000e-04 0.00000000e+00 5.52500000e-05 40
-1.67500000e-04 0.00000000e+00 5.17500000e-05 41
-1.67000000e-04 0.00000000e+00 5.27500000e-05 42
-1.64500000e-04 0.00000000e+00 5.17500000e-05 43
-1.65000000e-04 0.00000000e+00 5.37500000e-05 44
-1.65500000e-04 0.00000000e+00 5.10000000e-05 45
-1.65000000e-04 0.00000000e+00 5.57500000e-05 46
-1.65000000e-04 0.00000000e+00 5.32500000e-05 47
