,VR_P_best,M0_best,TR_best,rake_best
fb03-087__0017,    0.83,    0.04,    2.20,    0.00
fb03-087__0023,    0.77,    0.06,    2.30,    0.00
fb03-087__0029,    0.78,    0.18,    2.60,    0.00
fb03-087__0033,    0.86,    0.66,    2.90,    0.00
fb03-087__0036,    0.76,    0.13,    2.80,    0.00
fb03-087__0042,    0.77,    0.06,    2.20,    0.00
fb03-087__0065,    0.83,    0.25,    2.30,    0.00
fb03-087__0080,    0.89,    0.17,    2.60,    0.00
fb03-087__0090,    0.85,    0.16,    2.40,    0.00
fb03-087__0093,    0.84,    0.12,    2.30,    0.00
fb03-087__0103,    0.88,    0.11,    2.50,    0.00
fb03-087__0106,    0.84,    0.12,    2.60,    0.00
fb03-087__0107,    0.84,    0.12,    2.40,    0.00
fb03-087__0108,    0.80,    0.12,    2.50,    0.00
fb03-087__0114,    0.85,    0.14,    2.50,    0.00
fb03-087__0115,    0.82,    0.16,    2.70,    0.00
