,VR_P_best,M0_best,TR_best,rake_best,max_cc
fb03-087__0017,0.83,0.04,2.2,0.0,0.6770512305572748
fb03-087__0023,0.77,0.06,2.3,0.0,0.6321319856802318
fb03-087__0029,0.78,0.18,2.6,0.0,0.8550567989113526
fb03-087__0033,0.86,0.66,2.9,0.0,0.8449085846194484
fb03-087__0036,0.76,0.13,2.8,0.0,0.8636680247479637
fb03-087__0042,0.77,0.06,2.2,0.0,0.622199789472424
fb03-087__0065,0.83,0.25,2.3,0.0,0.8540779943145868
fb03-087__0080,0.89,0.17,2.6,0.0,0.748497221179995
fb03-087__0090,0.85,0.16,2.4,0.0,0.821827773475986
fb03-087__0093,0.84,0.12,2.3,0.0,0.7891940590488946
fb03-087__0103,0.88,0.11,2.5,0.0,0.7602627509313016
fb03-087__0106,0.84,0.12,2.6,0.0,0.549750745334621
fb03-087__0107,0.84,0.12,2.4,0.0,0.7873697524758568
fb03-087__0108,0.8,0.12,2.5,0.0,0.557908722465826
fb03-087__0114,0.85,0.14,2.5,0.0,0.766400260749691
fb03-087__0115,0.82,0.16,2.7,0.0,0.6327965423089252
