#      x     y     z       stnm   zsw
# --------------------------------------------------------------------------------------------
-3.36000000e-04 7.00000000e-05 1.00000000e-06 OL10 dep
-3.37000000e-04 7.00000000e-05 1.00000000e-06 OL10 dep
-3.32000000e-04 7.00000000e-05 1.00000000e-06 OL10 dep
-3.37000000e-04 7.00000000e-05 1.00000000e-06 OL10 dep
-3.34500000e-04 7.00000000e-05 1.00000000e-06 OL10 dep
-3.39500000e-04 7.00000000e-05 1.00000000e-06 OL10 dep
-3.32000000e-04 7.00000000e-05 1.00000000e-06 OL10 dep
-3.36000000e-04 7.00000000e-05 1.00000000e-06 OL10 dep
-3.32000000e-04 7.00000000e-05 1.00000000e-06 OL10 dep
-3.32500000e-04 7.00000000e-05 1.00000000e-06 OL10 dep
-3.33000000e-04 7.00000000e-05 1.00000000e-06 OL10 dep
-3.35500000e-04 7.00000000e-05 1.00000000e-06 OL10 dep
-3.35000000e-04 7.00000000e-05 1.00000000e-06 OL10 dep
-3.34500000e-04 7.00000000e-05 1.00000000e-06 OL10 dep
-3.35000000e-04 7.00000000e-05 1.00000000e-06 OL10 dep
-3.35000000e-04 7.00000000e-05 1.00000000e-06 OL10 dep
-9.60000000e-05 7.00000000e-05 1.00000000e-06 OL11 dep
-9.70000000e-05 7.00000000e-05 1.00000000e-06 OL11 dep
-9.20000000e-05 7.00000000e-05 1.00000000e-06 OL11 dep
-9.70000000e-05 7.00000000e-05 1.00000000e-06 OL11 dep
-9.45000000e-05 7.00000000e-05 1.00000000e-06 OL11 dep
-9.95000000e-05 7.00000000e-05 1.00000000e-06 OL11 dep
-9.20000000e-05 7.00000000e-05 1.00000000e-06 OL11 dep
-9.60000000e-05 7.00000000e-05 1.00000000e-06 OL11 dep
-9.20000000e-05 7.00000000e-05 1.00000000e-06 OL11 dep
-9.25000000e-05 7.00000000e-05 1.00000000e-06 OL11 dep
-9.30000000e-05 7.00000000e-05 1.00000000e-06 OL11 dep
-9.55000000e-05 7.00000000e-05 1.00000000e-06 OL11 dep
-9.50000000e-05 7.00000000e-05 1.00000000e-06 OL11 dep
-9.45000000e-05 7.00000000e-05 1.00000000e-06 OL11 dep
-9.50000000e-05 7.00000000e-05 1.00000000e-06 OL11 dep
-9.50000000e-05 7.00000000e-05 1.00000000e-06 OL11 dep
1.64000000e-04 7.00000000e-05 1.00000000e-06 OL12 dep
1.63000000e-04 7.00000000e-05 1.00000000e-06 OL12 dep
1.68000000e-04 7.00000000e-05 1.00000000e-06 OL12 dep
1.63000000e-04 7.00000000e-05 1.00000000e-06 OL12 dep
1.65500000e-04 7.00000000e-05 1.00000000e-06 OL12 dep
1.60500000e-04 7.00000000e-05 1.00000000e-06 OL12 dep
1.68000000e-04 7.00000000e-05 1.00000000e-06 OL12 dep
1.64000000e-04 7.00000000e-05 1.00000000e-06 OL12 dep
1.68000000e-04 7.00000000e-05 1.00000000e-06 OL12 dep
1.67500000e-04 7.00000000e-05 1.00000000e-06 OL12 dep
1.67000000e-04 7.00000000e-05 1.00000000e-06 OL12 dep
1.64500000e-04 7.00000000e-05 1.00000000e-06 OL12 dep
1.65000000e-04 7.00000000e-05 1.00000000e-06 OL12 dep
1.65500000e-04 7.00000000e-05 1.00000000e-06 OL12 dep
1.65000000e-04 7.00000000e-05 1.00000000e-06 OL12 dep
1.65000000e-04 7.00000000e-05 1.00000000e-06 OL12 dep
-2.11000000e-04 7.00000000e-05 9.90000000e-05 OL26 dep
-2.12000000e-04 7.00000000e-05 9.90000000e-05 OL26 dep
-2.07000000e-04 7.00000000e-05 9.90000000e-05 OL26 dep
-2.12000000e-04 7.00000000e-05 9.90000000e-05 OL26 dep
-2.09500000e-04 7.00000000e-05 9.90000000e-05 OL26 dep
-2.14500000e-04 7.00000000e-05 9.90000000e-05 OL26 dep
-2.07000000e-04 7.00000000e-05 9.90000000e-05 OL26 dep
-2.11000000e-04 7.00000000e-05 9.90000000e-05 OL26 dep
-2.07000000e-04 7.00000000e-05 9.90000000e-05 OL26 dep
-2.07500000e-04 7.00000000e-05 9.90000000e-05 OL26 dep
-2.08000000e-04 7.00000000e-05 9.90000000e-05 OL26 dep
-2.10500000e-04 7.00000000e-05 9.90000000e-05 OL26 dep
-2.10000000e-04 7.00000000e-05 9.90000000e-05 OL26 dep
-2.09500000e-04 7.00000000e-05 9.90000000e-05 OL26 dep
-2.10000000e-04 7.00000000e-05 9.90000000e-05 OL26 dep
-2.10000000e-04 7.00000000e-05 9.90000000e-05 OL26 dep
3.90000000e-05 7.00000000e-05 9.90000000e-05 OL27 dep
3.80000000e-05 7.00000000e-05 9.90000000e-05 OL27 dep
4.30000000e-05 7.00000000e-05 9.90000000e-05 OL27 dep
3.80000000e-05 7.00000000e-05 9.90000000e-05 OL27 dep
4.05000000e-05 7.00000000e-05 9.90000000e-05 OL27 dep
3.55000000e-05 7.00000000e-05 9.90000000e-05 OL27 dep
4.30000000e-05 7.00000000e-05 9.90000000e-05 OL27 dep
3.90000000e-05 7.00000000e-05 9.90000000e-05 OL27 dep
4.30000000e-05 7.00000000e-05 9.90000000e-05 OL27 dep
4.25000000e-05 7.00000000e-05 9.90000000e-05 OL27 dep
4.20000000e-05 7.00000000e-05 9.90000000e-05 OL27 dep
3.95000000e-05 7.00000000e-05 9.90000000e-05 OL27 dep
4.00000000e-05 7.00000000e-05 9.90000000e-05 OL27 dep
4.05000000e-05 7.00000000e-05 9.90000000e-05 OL27 dep
4.00000000e-05 7.00000000e-05 9.90000000e-05 OL27 dep
4.00000000e-05 7.00000000e-05 9.90000000e-05 OL27 dep
2.89000000e-04 7.00000000e-05 9.90000000e-05 OL28 dep
