,t,loc_slip,loc_traction
0,0.0,0.0,4795299.0
1,9.777979e-09,-9.125863e-26,4795299.0
2,1.955596e-08,1.4779928e-25,4795299.0
3,2.933394e-08,8.755361e-26,4795299.0
4,3.911191e-08,2.116236e-25,4795298.5
5,4.888989e-08,7.160474e-26,4795299.0
6,5.866787e-08,4.579419e-26,4795299.0
7,6.844585e-08,3.852454e-26,4795299.5
8,7.822383e-08,3.8279712e-25,4795299.0
9,8.800181e-08,2.5738823e-25,4795298.0
10,9.777979e-08,6.743259e-25,4795299.0
11,1.075578e-07,4.0709026e-25,4795300.0
12,1.173357e-07,2.3640677e-25,4795299.0
13,1.271137e-07,6.443309e-25,4795298.0
14,1.368917e-07,8.392106e-26,4795299.0
15,1.466697e-07,1.5192206e-25,4795300.0
16,1.564477e-07,3.2947456e-25,4795299.5
17,1.662256e-07,2.2136608e-25,4795298.5
18,1.760036e-07,3.7025201e-25,4795298.5
19,1.857816e-07,2.7690884e-25,4795299.5
20,1.955596e-07,6.9113297e-25,4795300.0
21,2.053375e-07,9.253493e-25,4795299.0
22,2.151155e-07,1.0547429e-24,4795297.0
23,2.248935e-07,5.652516e-25,4795299.5
24,2.346715e-07,6.2162737e-25,4795301.5
25,2.444495e-07,3.3802907e-25,4795299.0
26,2.542274e-07,5.6290205e-25,4795296.5
27,2.640054e-07,2.3962192e-25,4795299.5
28,2.737834e-07,2.7337787e-25,4795303.0
29,2.835614e-07,5.7428226e-25,4795298.5
30,2.933394e-07,5.937052e-25,4795295.5
31,3.031173e-07,6.466792e-25,4795299.5
32,3.128953e-07,7.8516213e-25,4795304.5
33,3.226733e-07,6.4030504e-25,4795309.0
34,3.324513e-07,7.5138927e-25,4795336.5
35,3.422292e-07,1.2212313e-24,4795399.5
36,3.520072e-07,7.5183882e-25,4795495.0
37,3.617852e-07,5.6484615e-25,4795619.5
38,3.715632e-07,2.2247002e-25,4795792.5
39,3.813412e-07,4.6157997e-25,4796027.5
40,3.911191e-07,7.368642e-25,4796315.0
41,4.008971e-07,1.1550473e-24,4796659.5
42,4.106751e-07,1.2332058e-24,4797086.0
43,4.204531e-07,1.5441802e-24,4797599.0
44,4.302311e-07,1.3112261e-24,4798186.0
45,4.40009e-07,1.4592433e-24,4798870.0
46,4.49787e-07,1.4537099e-24,4799688.5
47,4.59565e-07,1.5997904e-24,4800616.5
48,4.69343e-07,1.35300285e-24,4801658.0
49,4.791209e-07,1.6551239e-24,4802863.5
50,4.888989e-07,1.4238298e-24,4804256.5
51,4.986769e-07,1.4205098e-24,4805794.0
52,5.084549e-07,1.3850964e-24,4807535.0
53,5.182329e-07,8.074144e-25,4809534.0
54,5.280108e-07,6.414139e-25,4811763.5
55,5.377888e-07,4.355732e-25,4814057.5
56,5.475668e-07,9.357882e-25,4816381.5
57,5.573448e-07,9.86695e-25,4818816.5
58,5.671228e-07,5.2632016e-25,4821345.5
59,5.769007e-07,-1.15215955e-26,4824080.0
60,5.866787e-07,1.0799879e-25,4827094.5
61,5.964567e-07,2.9391942e-25,4830239.0
62,6.062347e-07,3.8687972e-25,4833681.0
63,6.160126e-07,9.471876e-26,4837577.0
64,6.257906e-07,-1.1776194e-25,4841660.5
65,6.355686e-07,-2.240023e-25,4846195.0
66,6.453466e-07,-5.294433e-25,4851382.0
67,6.551246e-07,-6.6224375e-25,4856870.5
68,6.649025e-07,-8.52591e-25,4863052.0
69,6.746805e-07,-9.411247e-25,4870258.0
70,6.844585e-07,-9.145646e-25,4877984.5
71,6.942365e-07,-7.197906e-25,4887037.5
72,7.040145e-07,-1.1181919e-24,4897579.0
73,7.137924e-07,-1.0030982e-24,4909137.0
74,7.235704e-07,-8.348843e-25,4923591.5
75,7.333484e-07,-9.942448e-25,4939328.5
76,7.431264e-07,-1.2067256e-24,4958991.0
77,7.529043e-07,-8.348843e-25,4982696.0
78,7.626823e-07,-5.515767e-25,5011160.0
79,7.724603e-07,-3.39096e-25,5051365.0
80,7.822383e-07,-7.2864395e-25,5108468.0
81,7.920163e-07,1.4518304e-11,5183419.5
82,8.017942e-07,1.6802e-10,5176148.0
83,8.115722e-07,4.232684e-10,5164056.5
84,8.213502e-07,8.455018e-10,5144054.5
85,8.311282e-07,1.5159481e-09,5112295.0
86,8.409062e-07,2.41455e-09,5069727.0
87,8.506841e-07,3.5659782e-09,5015182.5
88,8.604621e-07,4.997282e-09,4947380.0
89,8.702401e-07,6.7152883e-09,4865996.0
90,8.800181e-07,8.770208e-09,4768652.0
91,8.89796e-07,1.1188674e-08,4654086.0
92,8.99574e-07,1.4001817e-08,4520824.0
93,9.09352e-07,1.7267128e-08,4366142.5
94,9.1913e-07,2.102386e-08,4188181.5
95,9.28908e-07,2.5318181e-08,3984754.5
96,9.386859e-07,3.022154e-08,3752476.5
97,9.484639e-07,3.578351e-08,3488999.2
98,9.582419e-07,4.189501e-08,3199490.0
99,9.680199e-07,4.840126e-08,2891281.2
100,9.777979e-07,5.5189602e-08,2569709.5
101,9.875758e-07,6.2154335e-08,2239781.8
102,9.973538e-07,6.9155945e-08,1908107.1
103,1.007132e-06,7.576439e-08,1800000.0
104,1.01691e-06,8.186793e-08,1800000.0
105,1.026688e-06,8.7720295e-08,1800000.0
