gougeevent_id,M0_mean,Tw_mean,Mw_mean,hat_sn_patch,hat_sn_background,delsig_withmargin_try,slip_try,initialstress_fraction,delsigma_factor,fp_patch,hat_fr,hat_fp_background,hat_fr_background,dc_try,hat_ds_factor_rapidnuc_nuc,hat_ds_factor_rapidnuc_patch,tau_c_nuc,tau_r_nuc,tau_c_patch,tau_r_patch,tau_c_background,tau_r_background,tau_0_nuc,tau_0_patch,tau_0_background,GIIC_nuc,GIIC_patch,GIIC_background,Sratio_nuc,Sratio_patch,Ainit_nuc,Ainit_patch,Anuc_nuc,Anuc_patch,rnuc_nuc,rnuc_patch
4,5.94031154e-01,2.55790390e-06,-6.22079385e+00,6.00000000e+06,2.00000000e+06,3.82654469e+06,2.94859978e-07,9.25000000e-01,6.00000000e-01,7.38004832e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,4.84640813e-08,10000,10000,4.42802899e+06,1.80000000e+06,4.42802899e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.17784535e+06,4.09592682e+06,2.80000000e+05,6.36825053e-02,6.36825053e-02,0.00000000e+00,0,1.44648415e-01,3.82000000e+00,3.82764750e+00,1.92792182e-06,1.93178145e-06,7.83375117e-01,7.84158870e-01
9,4.71354187e-02,2.34655744e-06,-6.95443509e+00,6.00000000e+06,2.00000000e+06,3.03630180e+05,2.33966660e-08,9.25000000e-01,6.00000000e-01,3.57149209e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,1.05960225e-08,10000,10000,2.14289525e+06,1.80000000e+06,2.14289525e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.02182167e+06,1.98217811e+06,2.80000000e+05,1.81666291e-03,1.81666291e-03,0.00000000e+00,0,8.82197897e-01,3.82000000e+00,5.05049134e+00,5.41343037e-06,7.15719455e-06,1.31268747e+00,1.50937265e+00
18,7.57592494e-01,2.86450741e-06,-6.15037622e+00,6.00000000e+06,2.00000000e+06,4.88015068e+06,3.76047122e-07,9.25000000e-01,6.00000000e-01,8.51908181e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.60784303e-08,10000,10000,5.11144909e+06,1.80000000e+06,5.11144909e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.82265221e+06,4.72809041e+06,2.80000000e+05,9.28504335e-02,9.28504335e-02,0.00000000e+00,0,1.30924469e-01,3.82000000e+00,3.82577918e+00,1.62579314e-06,1.62825276e-06,7.19378919e-01,7.19922879e-01
19,5.60714658e-02,2.48460340e-06,-6.90417206e+00,6.00000000e+06,2.00000000e+06,3.61193127e+05,2.78322627e-08,9.25000000e-01,6.00000000e-01,3.63372230e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,1.17592493e-08,10000,10000,2.18023338e+06,1.80000000e+06,2.18023338e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.05705019e+06,2.01671588e+06,2.80000000e+05,2.23562955e-03,2.23562955e-03,0.00000000e+00,0,7.54524802e-01,3.82000000e+00,4.61305013e+00,5.42211179e-06,6.54776793e-06,1.31373962e+00,1.44368254e+00
20,8.67075478e-01,2.76654414e-06,-6.11129540e+00,6.00000000e+06,2.00000000e+06,5.58540246e+06,4.30391326e-07,9.25000000e-01,6.00000000e-01,9.28151617e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,6.08091025e-08,10000,10000,5.56890970e+06,1.80000000e+06,5.56890970e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,5.25426631e+06,5.15124148e+06,2.80000000e+05,1.14592008e-01,1.14592008e-01,0.00000000e+00,0,1.24630896e-01,3.82000000e+00,3.82503207e+00,1.47575912e-06,1.47770313e-06,6.85382168e-01,6.85833445e-01
21,2.16730863e-02,2.33644605e-06,-7.17938616e+00,6.00000000e+06,2.00000000e+06,1.39610579e+05,1.07578966e-08,9.25000000e-01,6.00000000e-01,3.39417360e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,6.64793719e-09,10000,10000,2.03650416e+06,1.80000000e+06,2.03650416e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,1.92144167e+06,1.88376635e+06,2.80000000e+05,7.86132398e-04,7.86132398e-04,0.00000000e+00,0,1.82337916e+00,3.82000000e+00,1.32846025e+01,4.47925721e-06,1.55772648e-05,1.19406526e+00,2.22674592e+00
24,6.58042012e-02,2.46166691e-06,-6.85783092e+00,6.00000000e+06,2.00000000e+06,4.23888066e+05,3.26633126e-08,9.80000000e-01,6.95000000e-01,3.56224865e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,1.29445401e-08,10000,10000,2.13734919e+06,1.80000000e+06,2.13734919e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.13649425e+06,2.09460221e+06,2.80000000e+05,2.18341505e-03,2.18341505e-03,0.00000000e+00,0,1.45100692e-01,3.82000000e+00,3.82771488e+00,8.34687018e-06,8.36372754e-06,1.62999733e+00,1.63164247e+00
27,7.63685367e-01,2.55290465e-06,-6.14805702e+00,6.00000000e+06,2.00000000e+06,4.91939887e+06,3.79071449e-07,9.25000000e-01,6.00000000e-01,8.56151229e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.63486003e-08,10000,10000,5.13690738e+06,1.80000000e+06,5.13690738e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.84667211e+06,4.75163932e+06,2.80000000e+05,9.40150300e-02,9.40150300e-02,0.00000000e+00,0,1.30526806e-01,3.82000000e+00,3.82572999e+00,1.61654469e-06,1.61896950e-06,7.17329879e-01,7.17867674e-01
31,9.74691446e-01,2.58397317e-06,-6.07742190e+00,6.00000000e+06,2.00000000e+06,6.27862757e+06,4.83808797e-07,9.25000000e-01,6.00000000e-01,1.00309487e+00,3.00000000e-01,4.00000000e-01,4.00000000e-01,6.52311063e-08,10000,10000,6.01856923e+06,1.80000000e+06,6.01856923e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,5.67852007e+06,5.56717654e+06,2.80000000e+05,1.37590969e-01,1.37590969e-01,0.00000000e+00,0,1.19822548e-01,3.82000000e+00,3.82450538e+00,1.35546678e-06,1.35706544e-06,6.56854989e-01,6.57242229e-01
38,2.71880309e-01,2.25069227e-06,-6.44708150e+00,6.00000000e+06,2.00000000e+06,1.75135958e+06,1.34953565e-07,9.25000000e-01,6.00000000e-01,5.13660495e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,3.03222277e-08,10000,10000,3.08196297e+06,1.80000000e+06,3.08196297e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.90783206e+06,2.85081575e+06,2.80000000e+05,1.94359865e-02,1.94359865e-02,0.00000000e+00,0,2.19969317e-01,3.82000000e+00,3.84483565e+00,3.17161891e-06,3.19223912e-06,1.00476746e+00,1.00802841e+00
