model_id,delsigma_factor,M0_obs,Tw_obs,M0_model,Tw_model
24,        0.68, 0.065639137,2.4645085e-06, 0.064086867,2.4903436e-06
24,       0.685, 0.065639137,2.4645085e-06, 0.064902417,2.482467e-06
24,        0.69, 0.065639137,2.4645085e-06, 0.065741719,2.4772003e-06
24,       0.695, 0.065639137,2.4645085e-06, 0.066547887,2.4703494e-06
24,         0.7, 0.065639137,2.4645085e-06,   0.0673703,2.4651186e-06
24,       0.705, 0.065639137,2.4645085e-06, 0.068209031,2.4611873e-06
24,        0.71, 0.065639137,2.4645085e-06, 0.068968231,2.453108e-06
24,       0.715, 0.065639137,2.4645085e-06, 0.069813335,2.450536e-06
24,        0.72, 0.065639137,2.4645085e-06, 0.070612298,2.4461773e-06
50,       0.465,  0.32637646,2.5789792e-06,  0.28138366,2.5802851e-06
50,        0.47,  0.32637646,2.5789792e-06,  0.28584064,2.5784205e-06
50,       0.475,  0.32637646,2.5789792e-06,   0.2903014,2.576371e-06
50,        0.48,  0.32637646,2.5789792e-06,  0.29480874,2.5748479e-06
50,       0.485,  0.32637646,2.5789792e-06,  0.29914268,2.5713648e-06
50,        0.49,  0.32637646,2.5789792e-06,  0.30361793,2.5695034e-06
50,       0.495,  0.32637646,2.5789792e-06,  0.30802311,2.5671221e-06
50,         0.5,  0.32637646,2.5789792e-06,   0.3127144,2.5676918e-06
50,       0.505,  0.32637646,2.5789792e-06,  0.31714057,2.565422e-06
50,        0.51,  0.32637646,2.5789792e-06,  0.32168525,2.5644172e-06
50,       0.515,  0.32637646,2.5789792e-06,  0.32612621,2.561831e-06
50,        0.52,  0.32637646,2.5789792e-06,  0.33059792,2.5598361e-06
50,       0.525,  0.32637646,2.5789792e-06,  0.33513232,2.5587434e-06
50,        0.53,  0.32637646,2.5789792e-06,  0.33942281,2.5548991e-06
50,       0.535,  0.32637646,2.5789792e-06,  0.34371686,2.5514827e-06
50,        0.54,  0.32637646,2.5789792e-06,  0.34790842,2.5467742e-06
52,        0.44,  0.48113795,2.6015488e-06,  0.43646741,2.6027776e-06
52,       0.445,  0.48113795,2.6015488e-06,  0.44329018,2.5988073e-06
52,        0.45,  0.48113795,2.6015488e-06,  0.45051547,2.5988063e-06
52,       0.455,  0.48113795,2.6015488e-06,  0.45744403,2.5964596e-06
52,        0.46,  0.48113795,2.6015488e-06,  0.46420804,2.5926786e-06
52,       0.465,  0.48113795,2.6015488e-06,  0.47100074,2.5896948e-06
52,        0.47,  0.48113795,2.6015488e-06,   0.4777453,2.5868386e-06
52,       0.475,  0.48113795,2.6015488e-06,  0.48430855,2.5827923e-06
52,        0.48,  0.48113795,2.6015488e-06,  0.49055298,2.5766266e-06
72,       0.405,  0.80865023,2.6060322e-06,  0.76938382,2.650978e-06
72,        0.41,  0.80865023,2.6060322e-06,   0.7799083,2.6446464e-06
72,       0.415,  0.80865023,2.6060322e-06,  0.79008084,2.6374057e-06
72,        0.42,  0.80865023,2.6060322e-06,  0.79985018,2.6295417e-06
72,       0.425,  0.80865023,2.6060322e-06,  0.80965355,2.6229388e-06
72,        0.43,  0.80865023,2.6060322e-06,  0.81896337,2.6149069e-06
72,       0.435,  0.80865023,2.6060322e-06,   0.8279278,2.6066711e-06
72,        0.44,  0.80865023,2.6060322e-06,  0.83668806,2.5988872e-06
72,       0.445,  0.80865023,2.6060322e-06,  0.84535122,2.5916186e-06
129,       0.385,   1.1312377,2.626343e-06,     1.08827,2.6755741e-06
129,        0.39,   1.1312377,2.626343e-06,   1.1001167,2.6661139e-06
129,       0.395,   1.1312377,2.626343e-06,   1.1117423,2.6571114e-06
129,         0.4,   1.1312377,2.626343e-06,   1.1234879,2.6500834e-06
129,       0.405,   1.1312377,2.626343e-06,   1.1344228,2.6413024e-06
129,        0.41,   1.1312377,2.626343e-06,   1.1448812,2.6330821e-06
129,       0.415,   1.1312377,2.626343e-06,    1.155656,2.626497e-06
129,        0.42,   1.1312377,2.626343e-06,   1.1659669,2.6198688e-06
129,       0.425,   1.1312377,2.626343e-06,   1.1756705,2.6132261e-06
