,t,loc_slip,loc_traction
0,0.0,0.0,4045640.5
1,9.777979e-09,7.422377e-26,4045640.5
2,1.955596e-08,2.479232e-25,4045640.8
3,2.933394e-08,4.39444e-25,4045640.8
4,3.911191e-08,6.6511087e-25,4045640.2
5,4.888989e-08,5.967855e-25,4045640.5
6,5.866787e-08,3.3281351e-25,4045640.8
7,6.844585e-08,4.8052397e-25,4045640.8
8,7.822383e-08,6.8434275e-25,4045640.5
9,8.800181e-08,5.2998757e-25,4045639.8
10,9.777979e-08,4.0788443e-25,4045640.5
11,1.075578e-07,4.5254943e-25,4045641.2
12,1.173357e-07,4.7659993e-25,4045640.5
13,1.271137e-07,5.6155956e-25,4045639.8
14,1.368917e-07,5.4195997e-25,4045640.2
15,1.466697e-07,4.0820623e-25,4045641.0
16,1.564477e-07,4.6384055e-25,4045641.2
17,1.662256e-07,6.820056e-25,4045640.5
18,1.760036e-07,6.9957363e-25,4045639.2
19,1.857816e-07,4.016291e-25,4045640.8
20,1.955596e-07,2.7996676e-25,4045642.0
21,2.053375e-07,5.440267e-25,4045640.8
22,2.151155e-07,3.0377976e-25,4045638.5
23,2.248935e-07,5.13601e-25,4045641.0
24,2.346715e-07,6.1021374e-25,4045642.0
25,2.444495e-07,5.1108084e-25,4045641.0
26,2.542274e-07,3.8943866e-25,4045639.5
27,2.640054e-07,2.1018644e-25,4045640.5
28,2.737834e-07,5.828544e-26,4045641.8
29,2.835614e-07,-6.635574e-26,4045642.0
30,2.933394e-07,-1.3845933e-25,4045640.2
31,3.031173e-07,1.9865658e-26,4045638.5
32,3.128953e-07,-8.5386335e-27,4045641.8
33,3.226733e-07,-1.5629654e-25,4045652.8
34,3.324513e-07,-1.4048343e-26,4045675.8
35,3.422292e-07,5.4802974e-26,4045720.2
36,3.520072e-07,-1.0097816e-25,4045800.2
37,3.617852e-07,-1.1067882e-25,4045913.5
38,3.715632e-07,-3.282087e-25,4046053.8
39,3.813412e-07,-3.1997783e-25,4046237.0
40,3.911191e-07,-3.6507465e-25,4046477.2
41,4.008971e-07,-4.7629504e-25,4046769.8
42,4.106751e-07,-6.088188e-25,4047105.8
43,4.204531e-07,-8.551913e-25,4047507.8
44,4.302311e-07,-9.240815e-25,4047991.0
45,4.40009e-07,-8.872847e-25,4048551.2
46,4.49787e-07,-1.0148284e-24,4049176.2
47,4.59565e-07,-1.0662886e-24,4049895.2
48,4.69343e-07,-1.12604885e-24,4050731.8
49,4.791209e-07,-9.689016e-25,4051672.5
50,4.888989e-07,-1.0956154e-24,4052714.8
51,4.986769e-07,-1.192449e-24,4053888.2
52,5.084549e-07,-1.3606629e-24,4055227.5
53,5.182329e-07,-1.0795687e-24,4056712.5
54,5.280108e-07,-9.6447495e-25,4058342.5
55,5.377888e-07,-8.60448e-25,4060020.0
56,5.475668e-07,-9.4787495e-25,4061655.0
