gougeevent_id,M0_mean,Tw_mean,Mw_mean,hat_sn_patch,hat_sn_background,delsig_withmargin_try,slip_try,initialstress_fraction,delsigma_factor,fp_patch,hat_fr,hat_fp_background,hat_fr_background,dc_try,hat_ds_factor_rapidnuc_nuc,hat_ds_factor_rapidnuc_patch,tau_c_nuc,tau_r_nuc,tau_c_patch,tau_r_patch,tau_c_background,tau_r_background,tau_0_nuc,tau_0_patch,tau_0_background,GIIC_nuc,GIIC_patch,GIIC_background,Sratio_nuc,Sratio_patch,Ainit_nuc,Ainit_patch,Anuc_nuc,Anuc_patch,rnuc_nuc,rnuc_patch
4,5.92606625e-01,2.55886501e-06,-6.22148900e+00,6.00000000e+06,2.00000000e+06,3.81736837e+06,2.94152882e-07,9.25000000e-01,6.00000000e-01,7.37012796e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,4.83499248e-08,10000,10000,4.42207678e+06,1.80000000e+06,4.42207678e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.17222944e+06,4.09042102e+06,2.80000000e+05,6.33886076e-02,6.33886076e-02,0.00000000e+00,0,1.44801220e-01,3.82000000e+00,3.82767022e+00,1.92757174e-06,1.93144213e-06,7.83303990e-01,7.84089999e-01
9,4.69910750e-02,2.34627361e-06,-6.95532308e+00,6.00000000e+06,2.00000000e+06,3.02700368e+05,2.33250179e-08,9.25000000e-01,6.00000000e-01,3.57048688e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,1.05668400e-08,10000,10000,2.14229213e+06,1.80000000e+06,2.14229213e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.02125263e+06,1.98162022e+06,2.80000000e+05,1.80847308e-03,1.80847308e-03,0.00000000e+00,0,8.84658708e-01,3.82000000e+00,5.06016059e+00,5.40264192e-06,7.15660622e-06,1.31137879e+00,1.50931061e+00
18,7.55829577e-01,2.86557135e-06,-6.15105074e+00,6.00000000e+06,2.00000000e+06,4.86879457e+06,3.75172061e-07,9.25000000e-01,6.00000000e-01,8.50680494e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.59487298e-08,10000,10000,5.10408296e+06,1.80000000e+06,5.10408296e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.81570228e+06,4.72127674e+06,2.80000000e+05,9.24296226e-02,9.24296226e-02,0.00000000e+00,0,1.31040725e-01,3.82000000e+00,3.82579362e+00,1.62550507e-06,1.62797040e-06,7.19315184e-01,7.19860453e-01
19,5.57553625e-02,2.48448287e-06,-6.90580890e+00,6.00000000e+06,2.00000000e+06,3.59156898e+05,2.76753582e-08,9.25000000e-01,6.00000000e-01,3.63152097e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,1.17086787e-08,10000,10000,2.17891258e+06,1.80000000e+06,2.17891258e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.05580402e+06,2.01549414e+06,2.80000000e+05,2.21828284e-03,2.21828284e-03,0.00000000e+00,0,7.58342870e-01,3.82000000e+00,4.62437841e+00,5.41311776e-06,6.55295941e-06,1.31264957e+00,1.44425474e+00
20,8.65465789e-01,2.76624004e-06,-6.11183340e+00,6.00000000e+06,2.00000000e+06,5.57503340e+06,4.29592323e-07,9.25000000e-01,6.00000000e-01,9.27030638e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,6.06856272e-08,10000,10000,5.56218383e+06,1.80000000e+06,5.56218383e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,5.24792044e+06,5.14502004e+06,2.80000000e+05,1.14155243e-01,1.14155243e-01,0.00000000e+00,0,1.24711895e-01,3.82000000e+00,3.82504126e+00,1.47503192e-06,1.47697852e-06,6.85213283e-01,6.85665273e-01
21,2.14659059e-02,2.30998676e-06,-7.18216719e+00,6.00000000e+06,2.00000000e+06,1.38275994e+05,1.06550582e-08,9.25000000e-01,6.00000000e-01,3.39273080e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,6.60367110e-09,10000,10000,2.03563848e+06,1.80000000e+06,2.03563848e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,1.92062491e+06,1.88296560e+06,2.80000000e+05,7.78039519e-04,7.78039519e-04,0.00000000e+00,0,1.84019513e+00,3.82000000e+00,1.35319299e+01,4.45233862e-06,1.57719200e-05,1.19047192e+00,2.24061555e+00
24,6.56391369e-02,2.46450849e-06,-6.85855809e+00,6.00000000e+06,2.00000000e+06,4.22824778e+05,3.25813795e-08,9.80000000e-01,6.95000000e-01,3.56099187e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,1.29131923e-08,10000,10000,2.13659512e+06,1.80000000e+06,2.13659512e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.13574049e+06,2.09386322e+06,2.80000000e+05,2.17325878e-03,2.17325878e-03,0.00000000e+00,0,1.45414259e-01,3.82000000e+00,3.82776182e+00,8.34375132e-06,8.36070491e-06,1.62969277e+00,1.63134761e+00
27,7.60100931e-01,2.54661307e-06,-6.14941916e+00,6.00000000e+06,2.00000000e+06,4.89630917e+06,3.77292238e-07,9.25000000e-01,6.00000000e-01,8.53655045e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,5.61382229e-08,10000,10000,5.12193027e+06,1.80000000e+06,5.12193027e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,4.83254121e+06,4.73778550e+06,2.80000000e+05,9.32436310e-02,9.32436310e-02,0.00000000e+00,0,1.30759979e-01,3.82000000e+00,3.82575880e+00,1.61899702e-06,1.62143773e-06,7.17873776e-01,7.18414684e-01
31,9.72140797e-01,2.58402034e-06,-6.07818055e+00,6.00000000e+06,2.00000000e+06,6.26219717e+06,4.82542728e-07,9.25000000e-01,6.00000000e-01,1.00131861e+00,3.00000000e-01,4.00000000e-01,4.00000000e-01,6.50688908e-08,10000,10000,6.00791167e+06,1.80000000e+06,6.00791167e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,5.66846467e+06,5.55731830e+06,2.80000000e+05,1.36902073e-01,1.36902073e-01,0.00000000e+00,0,1.19924196e-01,3.82000000e+00,3.82451613e+00,1.35557431e-06,1.35717691e-06,6.56881042e-01,6.57269221e-01
38,2.71013612e-01,2.25432440e-06,-6.44800593e+00,6.00000000e+06,2.00000000e+06,1.74577662e+06,1.34523361e-07,9.25000000e-01,6.00000000e-01,5.13056932e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,3.02364336e-08,10000,10000,3.07834159e+06,1.80000000e+06,3.07834159e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.90441529e+06,2.84746597e+06,2.80000000e+05,1.93262453e-02,1.93262453e-02,0.00000000e+00,0,2.20413479e-01,3.82000000e+00,3.84497683e+00,3.17159004e-06,3.19232727e-06,1.00476289e+00,1.00804233e+00
40,2.03038845e-01,2.16138792e-06,-6.53161391e+00,6.00000000e+06,2.00000000e+06,1.30790651e+06,1.00782642e-07,9.25000000e-01,6.00000000e-01,4.65719623e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,2.54263126e-08,10000,10000,2.79431774e+06,1.80000000e+06,2.79431774e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.63643879e+06,2.58474391e+06,2.80000000e+05,1.26409168e-02,1.26409168e-02,0.00000000e+00,0,2.67060156e-01,3.82000000e+00,3.86283607e+00,3.70703037e-06,3.74859964e-06,1.08627088e+00,1.09234442e+00
43,1.86189238e-01,2.36404656e-06,-6.55669695e+00,6.00000000e+06,2.00000000e+06,1.19936713e+06,9.24189820e-08,9.25000000e-01,6.00000000e-01,4.53985636e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,2.41384093e-08,10000,10000,2.72391381e+06,1.80000000e+06,2.72391381e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.57001268e+06,2.51962028e+06,2.80000000e+05,1.11509049e-02,1.11509049e-02,0.00000000e+00,0,2.83890744e-01,3.82000000e+00,3.87086195e+00,3.86958263e-06,3.92110475e-06,1.10983170e+00,1.11719578e+00
44,6.94426399e-02,2.44831501e-06,-6.84224919e+00,6.00000000e+06,2.00000000e+06,4.47325639e+05,3.44693289e-08,9.25000000e-01,6.00000000e-01,3.72683853e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,1.33570833e-08,10000,10000,2.23610312e+06,1.80000000e+06,2.23610312e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.10976329e+06,2.06839538e+06,2.80000000e+05,2.91253284e-03,2.91253284e-03,0.00000000e+00,0,6.24853274e-01,3.82000000e+00,4.28684678e+00,5.31807726e-06,5.96800586e-06,1.30107516e+00,1.37828708e+00
50,3.26376462e-01,2.57897916e-06,-6.39418745e+00,6.00000000e+06,2.00000000e+06,2.10240509e+06,1.62003888e-07,9.25000000e-01,5.00000000e-01,5.13730188e-01,3.00000000e-01,4.00000000e-01,4.00000000e-01,3.38039305e-08,10000,10000,3.08238113e+06,1.80000000e+06,3.08238113e+06,1.80000000e+06,8.00000000e+05,8.00000000e+05,2.90822659e+06,2.85120254e+06,2.80000000e+05,2.16747612e-02,2.16747612e-02,0.00000000e+00,0,2.19918213e-01,3.82000000e+00,3.84481944e+00,3.93921711e-06,3.96481113e-06,1.11977308e+00,1.12340490e+00
