,index,gid
0,OL06__fb03-087__0004,0
1,OL06__fb03-087__0009,1
2,OL06__fb03-087__0018,2
3,OL06__fb03-087__0019,3
4,OL06__fb03-087__0020,4
5,OL06__fb03-087__0021,5
6,OL06__fb03-087__0024,6
7,OL06__fb03-087__0027,7
8,OL06__fb03-087__0030,8
9,OL06__fb03-087__0031,9
10,OL06__fb03-087__0037,10
11,OL06__fb03-087__0038,11
12,OL06__fb03-087__0040,12
13,OL06__fb03-087__0043,13
14,OL06__fb03-087__0044,14
15,OL06__fb03-087__0049,15
16,OL06__fb03-087__0050,16
17,OL06__fb03-087__0052,17
18,OL06__fb03-087__0055,18
19,OL06__fb03-087__0059,19
20,OL06__fb03-087__0061,20
21,OL06__fb03-087__0062,21
22,OL06__fb03-087__0069,22
23,OL06__fb03-087__0072,23
24,OL06__fb03-087__0075,24
25,OL06__fb03-087__0076,25
26,OL06__fb03-087__0077,26
27,OL06__fb03-087__0081,27
28,OL06__fb03-087__0085,28
29,OL06__fb03-087__0088,29
30,OL06__fb03-087__0089,30
31,OL06__fb03-087__0095,31
32,OL06__fb03-087__0099,32
33,OL06__fb03-087__0100,33
34,OL06__fb03-087__0102,34
35,OL06__fb03-087__0109,35
36,OL06__fb03-087__0110,36
37,OL06__fb03-087__0111,37
38,OL06__fb03-087__0118,38
39,OL06__fb03-087__0120,39
40,OL06__fb03-087__0126,40
41,OL06__fb03-087__0128,41
42,OL06__fb03-087__0129,42
43,OL06__fb03-087__0131,43
44,OL07__fb03-087__0004,44
45,OL07__fb03-087__0009,45
46,OL07__fb03-087__0018,46
47,OL07__fb03-087__0019,47
48,OL07__fb03-087__0020,48
49,OL07__fb03-087__0021,49
50,OL07__fb03-087__0024,50
51,OL07__fb03-087__0027,51
52,OL07__fb03-087__0030,52
53,OL07__fb03-087__0031,53
54,OL07__fb03-087__0037,54
55,OL07__fb03-087__0038,55
56,OL07__fb03-087__0040,56
57,OL07__fb03-087__0043,57
58,OL07__fb03-087__0044,58
59,OL07__fb03-087__0049,59
60,OL07__fb03-087__0050,60
61,OL07__fb03-087__0052,61
62,OL07__fb03-087__0055,62
63,OL07__fb03-087__0059,63
64,OL07__fb03-087__0061,64
65,OL07__fb03-087__0062,65
66,OL07__fb03-087__0069,66
67,OL07__fb03-087__0072,67
68,OL07__fb03-087__0075,68
69,OL07__fb03-087__0076,69
70,OL07__fb03-087__0077,70
71,OL07__fb03-087__0081,71
72,OL07__fb03-087__0085,72
73,OL07__fb03-087__0088,73
74,OL07__fb03-087__0089,74
75,OL07__fb03-087__0095,75
76,OL07__fb03-087__0099,76
77,OL07__fb03-087__0100,77
78,OL07__fb03-087__0102,78
79,OL07__fb03-087__0109,79
80,OL07__fb03-087__0110,80
81,OL07__fb03-087__0111,81
82,OL07__fb03-087__0118,82
83,OL07__fb03-087__0120,83
84,OL07__fb03-087__0126,84
85,OL07__fb03-087__0128,85
86,OL07__fb03-087__0129,86
87,OL07__fb03-087__0131,87
88,OL08__fb03-087__0004,88
89,OL08__fb03-087__0009,89
90,OL08__fb03-087__0018,90
91,OL08__fb03-087__0019,91
92,OL08__fb03-087__0020,92
93,OL08__fb03-087__0021,93
94,OL08__fb03-087__0024,94
95,OL08__fb03-087__0027,95
96,OL08__fb03-087__0030,96
97,OL08__fb03-087__0031,97
98,OL08__fb03-087__0037,98
99,OL08__fb03-087__0038,99
100,OL08__fb03-087__0040,100
101,OL08__fb03-087__0043,101
102,OL08__fb03-087__0044,102
103,OL08__fb03-087__0049,103
104,OL08__fb03-087__0050,104
105,OL08__fb03-087__0052,105
106,OL08__fb03-087__0055,106
107,OL08__fb03-087__0059,107
108,OL08__fb03-087__0061,108
109,OL08__fb03-087__0062,109
110,OL08__fb03-087__0069,110
111,OL08__fb03-087__0072,111
112,OL08__fb03-087__0075,112
113,OL08__fb03-087__0076,113
114,OL08__fb03-087__0077,114
115,OL08__fb03-087__0081,115
116,OL08__fb03-087__0085,116
117,OL08__fb03-087__0088,117
118,OL08__fb03-087__0089,118
119,OL08__fb03-087__0095,119
120,OL08__fb03-087__0099,120
121,OL08__fb03-087__0100,121
122,OL08__fb03-087__0102,122
123,OL08__fb03-087__0109,123
124,OL08__fb03-087__0110,124
125,OL08__fb03-087__0111,125
126,OL08__fb03-087__0118,126
127,OL08__fb03-087__0120,127
128,OL08__fb03-087__0126,128
129,OL08__fb03-087__0128,129
130,OL08__fb03-087__0129,130
131,OL08__fb03-087__0131,131
132,OL22__fb03-087__0004,132
133,OL22__fb03-087__0009,133
134,OL22__fb03-087__0018,134
135,OL22__fb03-087__0019,135
136,OL22__fb03-087__0020,136
137,OL22__fb03-087__0021,137
138,OL22__fb03-087__0024,138
139,OL22__fb03-087__0027,139
140,OL22__fb03-087__0030,140
141,OL22__fb03-087__0031,141
142,OL22__fb03-087__0037,142
143,OL22__fb03-087__0038,143
144,OL22__fb03-087__0040,144
145,OL22__fb03-087__0043,145
146,OL22__fb03-087__0044,146
147,OL22__fb03-087__0049,147
148,OL22__fb03-087__0050,148
149,OL22__fb03-087__0052,149
150,OL22__fb03-087__0055,150
151,OL22__fb03-087__0059,151
152,OL22__fb03-087__0061,152
153,OL22__fb03-087__0062,153
154,OL22__fb03-087__0069,154
155,OL22__fb03-087__0072,155
156,OL22__fb03-087__0075,156
157,OL22__fb03-087__0076,157
158,OL22__fb03-087__0077,158
159,OL22__fb03-087__0081,159
160,OL22__fb03-087__0085,160
161,OL22__fb03-087__0088,161
162,OL22__fb03-087__0089,162
163,OL22__fb03-087__0095,163
164,OL22__fb03-087__0099,164
165,OL22__fb03-087__0100,165
166,OL22__fb03-087__0102,166
167,OL22__fb03-087__0109,167
168,OL22__fb03-087__0110,168
169,OL22__fb03-087__0111,169
170,OL22__fb03-087__0118,170
171,OL22__fb03-087__0120,171
172,OL22__fb03-087__0126,172
173,OL22__fb03-087__0128,173
174,OL22__fb03-087__0129,174
175,OL22__fb03-087__0131,175
176,OL23__fb03-087__0004,176
177,OL23__fb03-087__0009,177
178,OL23__fb03-087__0018,178
179,OL23__fb03-087__0019,179
180,OL23__fb03-087__0020,180
181,OL23__fb03-087__0021,181
182,OL23__fb03-087__0024,182
183,OL23__fb03-087__0027,183
184,OL23__fb03-087__0030,184
185,OL23__fb03-087__0031,185
186,OL23__fb03-087__0037,186
187,OL23__fb03-087__0038,187
188,OL23__fb03-087__0040,188
189,OL23__fb03-087__0043,189
190,OL23__fb03-087__0044,190
191,OL23__fb03-087__0049,191
192,OL23__fb03-087__0050,192
193,OL23__fb03-087__0052,193
194,OL23__fb03-087__0055,194
195,OL23__fb03-087__0059,195
196,OL23__fb03-087__0061,196
197,OL23__fb03-087__0062,197
198,OL23__fb03-087__0069,198
199,OL23__fb03-087__0072,199
200,OL23__fb03-087__0075,200
201,OL23__fb03-087__0076,201
202,OL23__fb03-087__0077,202
203,OL23__fb03-087__0081,203
204,OL23__fb03-087__0085,204
205,OL23__fb03-087__0088,205
206,OL23__fb03-087__0089,206
207,OL23__fb03-087__0095,207
208,OL23__fb03-087__0099,208
209,OL23__fb03-087__0100,209
210,OL23__fb03-087__0102,210
211,OL23__fb03-087__0109,211
212,OL23__fb03-087__0110,212
213,OL23__fb03-087__0111,213
214,OL23__fb03-087__0118,214
215,OL23__fb03-087__0120,215
216,OL23__fb03-087__0126,216
217,OL23__fb03-087__0128,217
218,OL23__fb03-087__0129,218
219,OL23__fb03-087__0131,219
220,OL24__fb03-087__0004,220
221,OL24__fb03-087__0009,221
222,OL24__fb03-087__0018,222
223,OL24__fb03-087__0019,223
224,OL24__fb03-087__0020,224
225,OL24__fb03-087__0021,225
226,OL24__fb03-087__0024,226
227,OL24__fb03-087__0027,227
228,OL24__fb03-087__0030,228
229,OL24__fb03-087__0031,229
230,OL24__fb03-087__0037,230
231,OL24__fb03-087__0038,231
232,OL24__fb03-087__0040,232
233,OL24__fb03-087__0043,233
234,OL24__fb03-087__0044,234
235,OL24__fb03-087__0049,235
236,OL24__fb03-087__0050,236
237,OL24__fb03-087__0052,237
238,OL24__fb03-087__0055,238
239,OL24__fb03-087__0059,239
240,OL24__fb03-087__0061,240
241,OL24__fb03-087__0062,241
242,OL24__fb03-087__0069,242
243,OL24__fb03-087__0072,243
244,OL24__fb03-087__0075,244
245,OL24__fb03-087__0076,245
246,OL24__fb03-087__0077,246
247,OL24__fb03-087__0081,247
248,OL24__fb03-087__0085,248
249,OL24__fb03-087__0088,249
250,OL24__fb03-087__0089,250
251,OL24__fb03-087__0095,251
252,OL24__fb03-087__0099,252
253,OL24__fb03-087__0100,253
254,OL24__fb03-087__0102,254
255,OL24__fb03-087__0109,255
256,OL24__fb03-087__0110,256
257,OL24__fb03-087__0111,257
258,OL24__fb03-087__0118,258
259,OL24__fb03-087__0120,259
260,OL24__fb03-087__0126,260
261,OL24__fb03-087__0128,261
262,OL24__fb03-087__0129,262
263,OL24__fb03-087__0131,263
