# AE event loc for green's function
#     x     y    z    gid
# --------------------------------------------------------------------------------------------
3.77500000e-04 0.00000000e+00 4.49500000e-05 0
3.72500000e-04 0.00000000e+00 4.62500000e-05 1
3.76000000e-04 0.00000000e+00 4.62500000e-05 2
3.72500000e-04 0.00000000e+00 4.70000000e-05 3
3.76000000e-04 0.00000000e+00 4.67500000e-05 4
3.77000000e-04 0.00000000e+00 4.57500000e-05 5
3.72000000e-04 0.00000000e+00 4.57500000e-05 6
3.76000000e-04 0.00000000e+00 4.75500000e-05 7
3.80500000e-04 0.00000000e+00 4.00000000e-05 8
3.74500000e-04 0.00000000e+00 4.30500000e-05 9
3.84500000e-04 0.00000000e+00 4.72500000e-05 10
3.74000000e-04 0.00000000e+00 4.95000000e-05 11
3.75000000e-04 0.00000000e+00 5.19000000e-05 12
3.79000000e-04 0.00000000e+00 4.57500000e-05 13
3.72000000e-04 0.00000000e+00 5.12500000e-05 14
3.72000000e-04 0.00000000e+00 4.67500000e-05 15
3.77500000e-04 0.00000000e+00 4.77500000e-05 16
3.74500000e-04 0.00000000e+00 4.46500000e-05 17
3.82000000e-04 0.00000000e+00 4.82500000e-05 18
3.72000000e-04 0.00000000e+00 4.62500000e-05 19
3.76500000e-04 0.00000000e+00 4.65000000e-05 20
3.76500000e-04 0.00000000e+00 4.47500000e-05 21
3.74500000e-04 0.00000000e+00 4.97000000e-05 22
3.76500000e-04 0.00000000e+00 4.50000000e-05 23
3.76000000e-04 0.00000000e+00 5.07500000e-05 24
3.75000000e-04 0.00000000e+00 4.87500000e-05 25
3.77000000e-04 0.00000000e+00 4.55000000e-05 26
3.70500000e-04 0.00000000e+00 4.77500000e-05 27
3.73000000e-04 0.00000000e+00 5.27500000e-05 28
3.77000000e-04 0.00000000e+00 4.47500000e-05 29
3.76000000e-04 0.00000000e+00 4.77500000e-05 30
3.76000000e-04 0.00000000e+00 4.47500000e-05 31
3.76000000e-04 0.00000000e+00 4.62500000e-05 32
3.75500000e-04 0.00000000e+00 4.65000000e-05 33
3.76500000e-04 0.00000000e+00 4.70000000e-05 34
3.76500000e-04 0.00000000e+00 4.36500000e-05 35
3.85000000e-04 0.00000000e+00 4.90000000e-05 36
3.75500000e-04 0.00000000e+00 4.50000000e-05 37
3.73000000e-04 0.00000000e+00 5.15000000e-05 38
3.77000000e-04 0.00000000e+00 4.60000000e-05 39
3.74000000e-04 0.00000000e+00 5.05000000e-05 40
3.78000000e-04 0.00000000e+00 4.37500000e-05 41
3.73500000e-04 0.00000000e+00 4.87500000e-05 42
3.73000000e-04 0.00000000e+00 5.00000000e-05 43
8.75000000e-05 0.00000000e+00 4.49500000e-05 44
8.25000000e-05 0.00000000e+00 4.62500000e-05 45
8.60000000e-05 0.00000000e+00 4.62500000e-05 46
8.25000000e-05 0.00000000e+00 4.70000000e-05 47
8.60000000e-05 0.00000000e+00 4.67500000e-05 48
8.70000000e-05 0.00000000e+00 4.57500000e-05 49
8.20000000e-05 0.00000000e+00 4.57500000e-05 50
8.60000000e-05 0.00000000e+00 4.75500000e-05 51
9.05000000e-05 0.00000000e+00 4.00000000e-05 52
8.45000000e-05 0.00000000e+00 4.30500000e-05 53
9.45000000e-05 0.00000000e+00 4.72500000e-05 54
8.40000000e-05 0.00000000e+00 4.95000000e-05 55
8.50000000e-05 0.00000000e+00 5.19000000e-05 56
8.90000000e-05 0.00000000e+00 4.57500000e-05 57
8.20000000e-05 0.00000000e+00 5.12500000e-05 58
8.20000000e-05 0.00000000e+00 4.67500000e-05 59
8.75000000e-05 0.00000000e+00 4.77500000e-05 60
8.45000000e-05 0.00000000e+00 4.46500000e-05 61
9.20000000e-05 0.00000000e+00 4.82500000e-05 62
8.20000000e-05 0.00000000e+00 4.62500000e-05 63
8.65000000e-05 0.00000000e+00 4.65000000e-05 64
8.65000000e-05 0.00000000e+00 4.47500000e-05 65
8.45000000e-05 0.00000000e+00 4.97000000e-05 66
8.65000000e-05 0.00000000e+00 4.50000000e-05 67
8.60000000e-05 0.00000000e+00 5.07500000e-05 68
8.50000000e-05 0.00000000e+00 4.87500000e-05 69
8.70000000e-05 0.00000000e+00 4.55000000e-05 70
8.05000000e-05 0.00000000e+00 4.77500000e-05 71
8.30000000e-05 0.00000000e+00 5.27500000e-05 72
8.70000000e-05 0.00000000e+00 4.47500000e-05 73
8.60000000e-05 0.00000000e+00 4.77500000e-05 74
8.60000000e-05 0.00000000e+00 4.47500000e-05 75
8.60000000e-05 0.00000000e+00 4.62500000e-05 76
8.55000000e-05 0.00000000e+00 4.65000000e-05 77
8.65000000e-05 0.00000000e+00 4.70000000e-05 78
8.65000000e-05 0.00000000e+00 4.36500000e-05 79
9.50000000e-05 0.00000000e+00 4.90000000e-05 80
8.55000000e-05 0.00000000e+00 4.50000000e-05 81
8.30000000e-05 0.00000000e+00 5.15000000e-05 82
8.70000000e-05 0.00000000e+00 4.60000000e-05 83
8.40000000e-05 0.00000000e+00 5.05000000e-05 84
8.80000000e-05 0.00000000e+00 4.37500000e-05 85
8.35000000e-05 0.00000000e+00 4.87500000e-05 86
8.30000000e-05 0.00000000e+00 5.00000000e-05 87
-1.62500000e-04 0.00000000e+00 4.49500000e-05 88
-1.67500000e-04 0.00000000e+00 4.62500000e-05 89
-1.64000000e-04 0.00000000e+00 4.62500000e-05 90
-1.67500000e-04 0.00000000e+00 4.70000000e-05 91
-1.64000000e-04 0.00000000e+00 4.67500000e-05 92
-1.63000000e-04 0.00000000e+00 4.57500000e-05 93
-1.68000000e-04 0.00000000e+00 4.57500000e-05 94
-1.64000000e-04 0.00000000e+00 4.75500000e-05 95
-1.59500000e-04 0.00000000e+00 4.00000000e-05 96
-1.65500000e-04 0.00000000e+00 4.30500000e-05 97
-1.55500000e-04 0.00000000e+00 4.72500000e-05 98
-1.66000000e-04 0.00000000e+00 4.95000000e-05 99
-1.65000000e-04 0.00000000e+00 5.19000000e-05 100
-1.61000000e-04 0.00000000e+00 4.57500000e-05 101
-1.68000000e-04 0.00000000e+00 5.12500000e-05 102
-1.68000000e-04 0.00000000e+00 4.67500000e-05 103
-1.62500000e-04 0.00000000e+00 4.77500000e-05 104
-1.65500000e-04 0.00000000e+00 4.46500000e-05 105
-1.58000000e-04 0.00000000e+00 4.82500000e-05 106
-1.68000000e-04 0.00000000e+00 4.62500000e-05 107
-1.63500000e-04 0.00000000e+00 4.65000000e-05 108
-1.63500000e-04 0.00000000e+00 4.47500000e-05 109
-1.65500000e-04 0.00000000e+00 4.97000000e-05 110
-1.63500000e-04 0.00000000e+00 4.50000000e-05 111
-1.64000000e-04 0.00000000e+00 5.07500000e-05 112
-1.65000000e-04 0.00000000e+00 4.87500000e-05 113
-1.63000000e-04 0.00000000e+00 4.55000000e-05 114
-1.69500000e-04 0.00000000e+00 4.77500000e-05 115
-1.67000000e-04 0.00000000e+00 5.27500000e-05 116
-1.63000000e-04 0.00000000e+00 4.47500000e-05 117
-1.64000000e-04 0.00000000e+00 4.77500000e-05 118
-1.64000000e-04 0.00000000e+00 4.47500000e-05 119
-1.64000000e-04 0.00000000e+00 4.62500000e-05 120
-1.64500000e-04 0.00000000e+00 4.65000000e-05 121
-1.63500000e-04 0.00000000e+00 4.70000000e-05 122
-1.63500000e-04 0.00000000e+00 4.36500000e-05 123
-1.55000000e-04 0.00000000e+00 4.90000000e-05 124
-1.64500000e-04 0.00000000e+00 4.50000000e-05 125
-1.67000000e-04 0.00000000e+00 5.15000000e-05 126
-1.63000000e-04 0.00000000e+00 4.60000000e-05 127
-1.66000000e-04 0.00000000e+00 5.05000000e-05 128
-1.62000000e-04 0.00000000e+00 4.37500000e-05 129
-1.66500000e-04 0.00000000e+00 4.87500000e-05 130
-1.67000000e-04 0.00000000e+00 5.00000000e-05 131
-2.12500000e-04 0.00000000e+00 5.50500000e-05 132
-2.07500000e-04 0.00000000e+00 5.37500000e-05 133
-2.11000000e-04 0.00000000e+00 5.37500000e-05 134
-2.07500000e-04 0.00000000e+00 5.30000000e-05 135
-2.11000000e-04 0.00000000e+00 5.32500000e-05 136
-2.12000000e-04 0.00000000e+00 5.42500000e-05 137
-2.07000000e-04 0.00000000e+00 5.42500000e-05 138
-2.11000000e-04 0.00000000e+00 5.24500000e-05 139
-2.15500000e-04 0.00000000e+00 6.00000000e-05 140
-2.09500000e-04 0.00000000e+00 5.69500000e-05 141
-2.19500000e-04 0.00000000e+00 5.27500000e-05 142
-2.09000000e-04 0.00000000e+00 5.05000000e-05 143
-2.10000000e-04 0.00000000e+00 4.81000000e-05 144
-2.14000000e-04 0.00000000e+00 5.42500000e-05 145
-2.07000000e-04 0.00000000e+00 4.87500000e-05 146
-2.07000000e-04 0.00000000e+00 5.32500000e-05 147
-2.12500000e-04 0.00000000e+00 5.22500000e-05 148
-2.09500000e-04 0.00000000e+00 5.53500000e-05 149
-2.17000000e-04 0.00000000e+00 5.17500000e-05 150
-2.07000000e-04 0.00000000e+00 5.37500000e-05 151
-2.11500000e-04 0.00000000e+00 5.35000000e-05 152
-2.11500000e-04 0.00000000e+00 5.52500000e-05 153
-2.09500000e-04 0.00000000e+00 5.03000000e-05 154
-2.11500000e-04 0.00000000e+00 5.50000000e-05 155
-2.11000000e-04 0.00000000e+00 4.92500000e-05 156
-2.10000000e-04 0.00000000e+00 5.12500000e-05 157
-2.12000000e-04 0.00000000e+00 5.45000000e-05 158
-2.05500000e-04 0.00000000e+00 5.22500000e-05 159
-2.08000000e-04 0.00000000e+00 4.72500000e-05 160
-2.12000000e-04 0.00000000e+00 5.52500000e-05 161
-2.11000000e-04 0.00000000e+00 5.22500000e-05 162
-2.11000000e-04 0.00000000e+00 5.52500000e-05 163
-2.11000000e-04 0.00000000e+00 5.37500000e-05 164
-2.10500000e-04 0.00000000e+00 5.35000000e-05 165
-2.11500000e-04 0.00000000e+00 5.30000000e-05 166
-2.11500000e-04 0.00000000e+00 5.63500000e-05 167
-2.20000000e-04 0.00000000e+00 5.10000000e-05 168
-2.10500000e-04 0.00000000e+00 5.50000000e-05 169
-2.08000000e-04 0.00000000e+00 4.85000000e-05 170
-2.12000000e-04 0.00000000e+00 5.40000000e-05 171
-2.09000000e-04 0.00000000e+00 4.95000000e-05 172
-2.13000000e-04 0.00000000e+00 5.62500000e-05 173
-2.08500000e-04 0.00000000e+00 5.12500000e-05 174
-2.08000000e-04 0.00000000e+00 5.00000000e-05 175
3.75000000e-05 0.00000000e+00 5.50500000e-05 176
4.25000000e-05 0.00000000e+00 5.37500000e-05 177
3.90000000e-05 0.00000000e+00 5.37500000e-05 178
4.25000000e-05 0.00000000e+00 5.30000000e-05 179
3.90000000e-05 0.00000000e+00 5.32500000e-05 180
3.80000000e-05 0.00000000e+00 5.42500000e-05 181
4.30000000e-05 0.00000000e+00 5.42500000e-05 182
3.90000000e-05 0.00000000e+00 5.24500000e-05 183
3.45000000e-05 0.00000000e+00 6.00000000e-05 184
4.05000000e-05 0.00000000e+00 5.69500000e-05 185
3.05000000e-05 0.00000000e+00 5.27500000e-05 186
4.10000000e-05 0.00000000e+00 5.05000000e-05 187
4.00000000e-05 0.00000000e+00 4.81000000e-05 188
3.60000000e-05 0.00000000e+00 5.42500000e-05 189
4.30000000e-05 0.00000000e+00 4.87500000e-05 190
4.30000000e-05 0.00000000e+00 5.32500000e-05 191
3.75000000e-05 0.00000000e+00 5.22500000e-05 192
4.05000000e-05 0.00000000e+00 5.53500000e-05 193
3.30000000e-05 0.00000000e+00 5.17500000e-05 194
4.30000000e-05 0.00000000e+00 5.37500000e-05 195
3.85000000e-05 0.00000000e+00 5.35000000e-05 196
3.85000000e-05 0.00000000e+00 5.52500000e-05 197
4.05000000e-05 0.00000000e+00 5.03000000e-05 198
3.85000000e-05 0.00000000e+00 5.50000000e-05 199
3.90000000e-05 0.00000000e+00 4.92500000e-05 200
4.00000000e-05 0.00000000e+00 5.12500000e-05 201
3.80000000e-05 0.00000000e+00 5.45000000e-05 202
4.45000000e-05 0.00000000e+00 5.22500000e-05 203
4.20000000e-05 0.00000000e+00 4.72500000e-05 204
3.80000000e-05 0.00000000e+00 5.52500000e-05 205
3.90000000e-05 0.00000000e+00 5.22500000e-05 206
3.90000000e-05 0.00000000e+00 5.52500000e-05 207
3.90000000e-05 0.00000000e+00 5.37500000e-05 208
3.95000000e-05 0.00000000e+00 5.35000000e-05 209
3.85000000e-05 0.00000000e+00 5.30000000e-05 210
3.85000000e-05 0.00000000e+00 5.63500000e-05 211
3.00000000e-05 0.00000000e+00 5.10000000e-05 212
3.95000000e-05 0.00000000e+00 5.50000000e-05 213
4.20000000e-05 0.00000000e+00 4.85000000e-05 214
3.80000000e-05 0.00000000e+00 5.40000000e-05 215
4.10000000e-05 0.00000000e+00 4.95000000e-05 216
3.70000000e-05 0.00000000e+00 5.62500000e-05 217
4.15000000e-05 0.00000000e+00 5.12500000e-05 218
4.20000000e-05 0.00000000e+00 5.00000000e-05 219
2.87500000e-04 0.00000000e+00 5.50500000e-05 220
2.92500000e-04 0.00000000e+00 5.37500000e-05 221
2.89000000e-04 0.00000000e+00 5.37500000e-05 222
2.92500000e-04 0.00000000e+00 5.30000000e-05 223
2.89000000e-04 0.00000000e+00 5.32500000e-05 224
2.88000000e-04 0.00000000e+00 5.42500000e-05 225
2.93000000e-04 0.00000000e+00 5.42500000e-05 226
2.89000000e-04 0.00000000e+00 5.24500000e-05 227
2.84500000e-04 0.00000000e+00 6.00000000e-05 228
2.90500000e-04 0.00000000e+00 5.69500000e-05 229
2.80500000e-04 0.00000000e+00 5.27500000e-05 230
2.91000000e-04 0.00000000e+00 5.05000000e-05 231
2.90000000e-04 0.00000000e+00 4.81000000e-05 232
2.86000000e-04 0.00000000e+00 5.42500000e-05 233
2.93000000e-04 0.00000000e+00 4.87500000e-05 234
2.93000000e-04 0.00000000e+00 5.32500000e-05 235
2.87500000e-04 0.00000000e+00 5.22500000e-05 236
2.90500000e-04 0.00000000e+00 5.53500000e-05 237
2.83000000e-04 0.00000000e+00 5.17500000e-05 238
2.93000000e-04 0.00000000e+00 5.37500000e-05 239
2.88500000e-04 0.00000000e+00 5.35000000e-05 240
2.88500000e-04 0.00000000e+00 5.52500000e-05 241
2.90500000e-04 0.00000000e+00 5.03000000e-05 242
2.88500000e-04 0.00000000e+00 5.50000000e-05 243
2.89000000e-04 0.00000000e+00 4.92500000e-05 244
2.90000000e-04 0.00000000e+00 5.12500000e-05 245
2.88000000e-04 0.00000000e+00 5.45000000e-05 246
2.94500000e-04 0.00000000e+00 5.22500000e-05 247
2.92000000e-04 0.00000000e+00 4.72500000e-05 248
