,VR_P_best,M0_best,TR_best,rake_best,max_cc
fb03-087__0004,0.89,0.57,3.3,0,0.8943824461019967
fb03-087__0009,0.73,0.05,3.1,0,0.6882178214406262
fb03-087__0018,0.87,0.61,3.5,0,0.7932590717220809
fb03-087__0019,0.79,0.05,3.1,0,0.7108426241689748
fb03-087__0020,0.89,0.77,3.3,0,0.8510632385284983
fb03-087__0021,0.88,0.02,3.0,0,0.7084385211225196
fb03-087__0024,0.84,0.06,3.1,0,0.6748874675949971
fb03-087__0027,0.91,0.77,3.3,0,0.8816650364929847
fb03-087__0030,0.59,0.06,3.3,0,0.5989457127584746
fb03-087__0031,0.9,0.9,3.2,0,0.6798391655751992
fb03-087__0037,0.41,0.03,3.8,0,0.38756845625218733
fb03-087__0038,0.87,0.29,2.8,0,0.5327999757096953
fb03-087__0040,0.9,0.25,2.8,0,0.3298362717705478
fb03-087__0043,0.82,0.2,3.2,0,0.8093849843062617
fb03-087__0044,0.85,0.07,3.2,0,0.6728694791938904
fb03-087__0049,0.31,0.04,2.9,0,0.6822944982841861
fb03-087__0050,0.89,0.33,3.5,0,0.18711394569965945
fb03-087__0052,0.88,0.45,3.4,0,0.8645075272186097
fb03-087__0055,0.91,0.36,3.3,0,0.14849960026176745
fb03-087__0059,0.77,0.08,3.6,0,0.6419727905596284
fb03-087__0061,0.91,0.71,3.3,0,0.9268984179131781
fb03-087__0062,0.89,0.57,3.3,0,0.8916421242451422
fb03-087__0069,0.91,0.33,2.9,0,0.3269469255152092
fb03-087__0072,0.92,0.77,3.3,0,0.931933188902489
fb03-087__0075,0.77,0.29,3.0,0,0.3478582572361194
fb03-087__0076,0.58,0.36,2.8,0,0.5220398304158573
fb03-087__0077,0.82,0.57,3.0,0,0.9322365826737302
fb03-087__0081,0.59,0.05,3.1,0,0.5973630645194103
fb03-087__0085,0.9,0.53,2.9,0,0.3892215095511167
fb03-087__0088,0.83,0.97,3.1,0,0.7429794051016176
fb03-087__0089,0.9,0.53,3.3,0,0.8752838114251668
fb03-087__0095,0.88,0.77,3.4,0,0.9358869152041523
fb03-087__0099,0.8,0.61,3.6,0,0.9020751000216938
fb03-087__0100,0.77,0.45,3.1,0,0.872649150781098
fb03-087__0102,0.69,0.1,3.3,0,0.09908171182097067
fb03-087__0109,0.7,0.42,3.0,0,0.8886268711300606
fb03-087__0110,0.32,0.06,3.7,0,0.2806023339729258
fb03-087__0111,0.69,0.45,3.0,0,0.8467133182339611
fb03-087__0118,0.84,0.1,2.8,0,0.2556906373626286
fb03-087__0120,0.81,0.57,3.4,0,0.8954704623281119
fb03-087__0126,0.88,0.02,2.8,0,0.25248048890483354
fb03-087__0128,0.84,0.01,3.1,0,0.6424828204771184
fb03-087__0129,0.88,0.97,3.3,0,0.9225535228073053
fb03-087__0131,0.85,0.66,2.7,0,0.5037537495727359
