#      x     y     z       stnm   zsw
# --------------------------------------------------------------------------------------------
-3.77500000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.72500000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.76000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.72500000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.76000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.77000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.72000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.76000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.80500000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.74500000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.84500000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.74000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.75000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.79000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.72000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.72000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.77500000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.74500000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.82000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.72000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.76500000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.76500000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.74500000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.76500000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.76000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.75000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.77000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.70500000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.73000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.77000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.76000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.76000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.76000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.75500000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.76500000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.76500000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.85000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.75500000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.73000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.77000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.74000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.78000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.73500000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-3.73000000e-04 7.00000000e-05 1.00000000e-06 OL06 dep
-8.75000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.25000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.60000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.25000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.60000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.70000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.20000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.60000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-9.05000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.45000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-9.45000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.40000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.50000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.90000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.20000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.20000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.75000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.45000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-9.20000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.20000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.65000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.65000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.45000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.65000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.60000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.50000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.70000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.05000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.30000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.70000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.60000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.60000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.60000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.55000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.65000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.65000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-9.50000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.55000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.30000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.70000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.40000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.80000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.35000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
-8.30000000e-05 7.00000000e-05 1.00000000e-06 OL07 dep
1.62500000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.67500000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.64000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.67500000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.64000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.63000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.68000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.64000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.59500000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.65500000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.55500000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.66000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.65000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.61000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.68000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.68000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.62500000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.65500000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.58000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.68000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.63500000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.63500000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.65500000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.63500000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.64000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.65000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.63000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.69500000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.67000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.63000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.64000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.64000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.64000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.64500000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.63500000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.63500000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.55000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.64500000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.67000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.63000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.66000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.62000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.66500000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
1.67000000e-04 7.00000000e-05 1.00000000e-06 OL08 dep
-2.12500000e-04 7.00000000e-05 9.90000000e-05 OL22 dep
